"";"BSBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"14";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Japan";51,3020766451205;1,60860065177764;51,0670724449135;0,972584648267277;-0,235004200207037;1,87976513292077;-0,125017852545168;2,44578079668822;0,0186325417962671;2,58596163974672;0,0156074190580804;0,140180843058506;0,0243056195856878;5,76742520651686;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"15";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Kazakhstan";51,3020766451205;1,60860065177764;49,6699715868642;0,911393676731237;-1,63210505825634;1,84884680027447;-0,882769225667617;2,44578079668822;0,0186325417962671;1,72964444125801;0,0209799222806209;-0,716136355430214;0,0280593790503377;-25,522174034767;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"16";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Jordan";51,3020766451205;1,60860065177764;50,939394053996;2,58754441711115;-0,362682591124468;3,04679867523644;-0,119037268222628;2,44578079668822;0,0186325417962671;1,89720855478353;0,0261473164367526;-0,54857224190469;0,0321069115710825;-17,0857991336285;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"17";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Korea, Republic of";51,3020766451205;1,60860065177764;47,4150705937311;0,547594236563721;-3,88700605138938;1,69925145426369;-2,28748137401105;2,44578079668822;0,0186325417962671;2,56370642396627;0,0143649479608093;0,117925627278051;0,0235270768202597;5,01233655923216;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"18";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Kuwait";51,3020766451205;1,60860065177764;51,1376221200505;2,64430132110286;-0,164454525069957;3,09514547859802;-0,0531330518087466;2,44578079668822;0,0186325417962671;2,23803787229784;0,033285182385383;-0,207742924390383;0,0381454450782508;-5,44607420267934;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"19";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Lebanon";51,3020766451205;1,60860065177764;53,7229031224758;1,62203431572831;2,4208264773553;2,2844236424752;1,05970995586979;2,44578079668822;0,0186325417962671;1,96477208322601;0,0260158345109746;-0,481008713462205;0,0319999259232276;-15,0315570922325;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"20";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Lithuania";51,3020766451205;1,60860065177764;49,7718106586018;0,819977329267301;-1,53026598651866;1,8055356206433;-0,847541288591936;2,44578079668822;0,0186325417962671;2,31076597569166;0,0282494850337146;-0,135014820996556;0,0338408779209361;-3,98969616899409;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"21";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Malaysia";51,3020766451205;1,60860065177764;49,775358503078;1,80477181344175;-1,52671814204248;2,41760157087417;-0,631501137505646;2,44578079668822;0,0186325417962671;1,81556272624631;0,0201488781135394;-0,63021807044191;0,0274435584978317;-22,9641527898688;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"22";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Malta";51,3020766451205;1,60860065177764;49,2553401825197;0,327647999625625;-2,04673646260078;1,64163006446584;-1,24677082060309;2,44578079668822;0,0186325417962671;2,40398843705803;0,0168835267228863;-0,0417923596301879;0,0251440865491681;-1,66211484948816;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"23";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Morocco";51,3020766451205;1,60860065177764;46,333634997189;0,761291964831629;-4,96844164793153;1,77965207628251;-2,79180504669768;2,44578079668822;0,0186325417962671;1,73183880204478;0,0182198071300456;-0,713941994643434;0,0260601800770006;-27,3958964417719;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
