IDCNTRY;BSBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Chinese Taipei;Boy;BSDGSLM;2907;136486,008192;2502,73711821642;136777,483787;2518,68498872027;51,2478928056123;,812099106603198;51,2802300788513;,815828094772361;2,38150241580626;,019260196327411;,71013994292475;,00852161110426063;,504298738537168;,0121027956035299;2,13834890945841;,213102030341418;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;Girl;BSDGSLM;1923;18307,900776;569,936868096984;18387,096427;569,298706712965;47,672239857473;,878873310968185;47,2276144102368;,861430232043523;2,14605512662082;,0254055810732759;,747434835704386;,0102370579480705;,558658833624442;,0153026215278885;2,22172795150202;,430713197782046;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;Boy;BSDGSLM;2057;20095,792507;730,958278195426;20545,838587;762,533676766236;52,327760142527;,878873310968175;52,7723855897632;,861430232043524;2,06075115398284;,0293261112197265;,732182618518143;,00793681385097455;,536091386860085;,011621887304721;3,29992763820273;2,19044882541206;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;Girl;BSDGSLM;1962;27988,0176450001;1271,88294140083;28072,2209530001;1270,3936685836;47,4644511747261;2,08602616217306;47,4516023062429;2,07690738058785;2,43431870117358;,0192624474050143;,675248177468547;,0107263631975847;,455960101174595;,0144850778570418;1,59659620818873;,299952426781541;68;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;Boy;BSDGSLM;2170;30978,2549070002;1354,27975575006;31087,4693180002;1352,13117877092;52,5355488252739;2,08602616217306;52,5483976937571;2,07690738058785;2,21329768031919;,017704408723518;,731407235117766;,00786267829884669;,534956543582616;,0115016645731022;1,2714640463055;,351313289231822;68;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;Girl;BSDGSLM;2470;42167,1637649999;1334,56782133326;42188,3675729999;1331,67193699853;49,6719748367791;,869826505644273;49,6372120223581;,869124199632891;2,51088406282333;,0192894476235214;,658292618083626;,0110579542904219;,433349171023395;,0145584234854392;2,12079438895062;,0502598446439303;74;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;Boy;BSDGSLM;2417;42724,0931329997;1267,29073228096;42805,0594429997;1266,27233146443;50,3280251632209;,869826505644265;50,3627879776419;,869124199632896;2,43731749139384;,0228483048281528;,701426592951066;,0115392518817481;,491999265298941;,0161873588614067;2,56460311023358;,189151261681617;74;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;Girl;BSDGSLM;2990;455891,873214002;10412,1643037532;456937,280395002;10397,0478222982;47,6797911281928;,873414326196503;47,6053022201225;,86741248454996;2,037398444883;,0339271315439537;,783938511204117;,00615228335565964;,614559589348927;,00964532109934987;5,60017339490272;,228785705577862;44;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;Boy;BSDGSLM;3110;500261,378356002;9214,40418533213;502908,071037002;9172,19887848672;52,3202088718072;,873414326196507;52,3946977798775;,867412484549964;1,88683160650328;,0260035393895169;,765507098728553;,00826172447635029;,586001118203806;,012648150024492;3,58861504476024;,526277630729308;46;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;Girl;BSDGSLM;2406;29211,296903;914,502712909573;29230,035364;915,718117693957;50,3792410942604;1,12884855327495;50,2654161566775;1,12633203447195;2,41952322745866;,0206836837907491;,714021367330863;,00843049579379419;,509826513005035;,0120388181075183;2,01896590853532;,0641068707808628;64;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
