IDCNTRY;BSBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Singapore;Boy;BSDGSLM;3124;24391,0812970002;285,515845478907;24493,8970820002;282,862250762039;51,4804519388027;,590812191193036;51,4847943793237;,595231544086496;2,05188313829102;,0180728648463945;,760756930445463;,00809521214029752;,578751107220802;,0123168713888717;1,76308476228035;,419760827179911;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;Girl;BSDGSLM;2045;8238,211899;139,323752639124;8250,432326;140,160381705453;48,4524873166596;,738197917686465;48,4273664492718;,739240774738132;2,64238705351127;,0182172797508207;,580996479224935;,015170706227189;,337556908871771;,017627053977923;2,010543001404;,148118625995988;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;Boy;BSDGSLM;2190;8764,448553;154,136809289879;8786,282513;154,813861664158;51,5475126833404;,738197917686453;51,5726335507282;,73924077473814;2,58939744545958;,0168615423060281;,59153641955844;,0117986034799553;,349915335664019;,0139577210297107;1,77940878867915;,248500545796188;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;Girl;BSDGSLM;6307;437634,936064002;13269,947531304;445654,496821002;13630,0838406893;51,4247997812033;1,13839638689514;51,30221985556;1,13660117667667;1,82838519826711;,0236244570370331;,740280887659776;,00804421688826782;,548015792634346;,0119084401199878;6,42322933929911;1,79950181456849;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;Boy;BSDGSLM;5943;413384,295758006;14546,0051517575;423030,129450006;14699,6109036258;48,5752002187967;1,13839638689513;48,69778014444;1,13660117667666;1,77245819314075;,021513779245926;,726062406230583;,00846581585999614;,527166617741344;,0122913892770126;5,21784585428741;2,28017652183329;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;Girl;BSDGSLM;1961;46140,604775;1449,67704889915;46157,241556;1448,88501970182;48,1225140179502;,963690035834178;48,10353040735;,962131043099486;2,46104729837711;,0236463774298303;,6859873293851;,0119983780200152;,470578616076902;,0164609474331562;2,33010042996128;,0360437072042434;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;Boy;BSDGSLM;2083;49740,9295060001;2205,26127372982;49796,7168440001;2210,217462895;51,8774859820498;,963690035834177;51,89646959265;,962131043099488;2,31401438841459;,0332681808768427;,733663029465466;,0194022314537809;,538261440804445;,0284293261285843;4,28305950830894;,112030152860814;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;Girl;BSDGSLM;3502;360732,426582995;13211,9022461184;361555,426689995;13280,5904722649;53,8410877951735;1,50674858586197;53,7445063525753;1,51282545288289;2,04293487561602;,0191815699434334;,652829606112978;,00855640704106495;,426186494617625;,0111714791002484;3,02332446183901;,227627646066465;74;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;Boy;BSDGSLM;2957;309262,258433997;11774,1045915441;311174,590249997;11923,5780190008;46,1589122048265;1,50674858586197;46,2554936474247;1,51282545288289;2,02229496957345;,0206010501740269;,647653679743691;,00866510597071892;,419455288885543;,0112233477734618;2,99188136980444;,614552690328486;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;Girl;BSDGSLM;8825;28596,5193810003;1482,94425203859;28624,8849160003;1484,03269515273;50,2925366899977;2,54971708566406;50,1850177963601;2,54802305790216;2,13008764620742;,0219862968652155;,758443184518563;,00512148799349312;,575236064142659;,00776861052350787;7,41605228845242;,0990939704499726;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;Boy;BSDGSLM;9008;28263,8445280002;1550,13740365128;28413,8214010002;1556,15258894261;49,7074633100023;2,54971708566406;49,8149822036399;2,54802305790215;2,02248708732352;,0190974391154205;,74407561236498;,00514939108070274;,55364851691632;,00766291471460527;5,93395850249778;,527830702119921;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;Girl;BSDGSLM;2927;570665,234794996;14453,1297281592;571617,935326996;14297,8567502626;48,3789854897568;,786544193107855;48,2857175499246;,78794067157245;2,00738711717654;,0221310038336058;,76371092860672;,00760420277894164;,583254382473339;,0116146661232606;2,45791544476717;,166667361732624;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;Boy;BSDGSLM;3098;608907,319317;16734,5642309277;612206,111061;16760,5010946734;51,6210145102432;,786544193107852;51,7142824500754;,787940671572448;2,03588137009998;,0222836891894269;,757269669128523;,0078377935670485;,573457351782023;,0118704194636897;2,68259106221905;,538836787872461;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;Girl;BSDGSLM;3956;697785,487659992;32260,5012949225;709958,804766993;33071,8935469014;53,0837329006994;2,30732887232994;52,9785605426151;2,31805286577627;1,83932185300534;,0315146407328789;,762323603352929;,0088293589171202;,581137276228994;,0134606371692511;6,76086509893498;1,71465119176813;68;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;Boy;BSDGSLM;3723;616714,170767004;31589,9589531391;630128,199288004;32173,6329634089;46,9162670993006;2,30732887232994;47,0214394573849;2,31805286577628;1,7816765774434;,0248894728547102;,715709043491581;,00767308155298576;,512239434935634;,0109830066272681;4,50247617755609;2,12877768939032;63;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;Girl;BSDGSLM;5073;1809260,69013498;33411,0732547464;1815159,05306798;33654,3704243674;50,1124232069602;,622368153345308;49,9384942104483;,633533842587333;2,32032687767664;,0169590659546759;,751232496076357;,00594047081547151;,564350263161113;,00892523978533172;2,58535382994359;,324950197781874;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;Boy;BSDGSLM;5017;1801142,82729798;32878,8857010004;1819630,26480498;33185,2437530298;49,8875767930398;,622368153345299;50,0615057895517;,633533842587336;2,27008239010883;,0174878874401256;,741365862335644;,00697786738332148;,549623341836673;,0103461735996112;2,79160283838432;1,01599967117393;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
England;Girl;BSDGSLM;2384;277097,397945001;10107,7591799464;278249,405237001;10159,55071511;50,7651336092472;1,52865782779698;50,6834252719028;1,53092796890565;2,42774960475279;,0227767717838705;,688505375208735;,0107843643819244;,474039651691321;,0148493911958658;2,60901106733975;,414019678144063;72;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
England;Boy;BSDGSLM;2336;268744,557437001;10932,4447631453;270745,465856001;10992,983096192;49,2348663907528;1,52865782779698;49,3165747280972;1,53092796890565;2,24649486215745;,0264627820556615;,71420833485407;,00867759230829337;,510093545575023;,0123947222794512;3,20696344956287;,739036723172385;72;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);Girl;BSDGSLM;2375;28874,0165969998;686,867337737428;28913,5818849998;684,659788815742;49,92585276285;,725039453263171;49,850005498702;,723725795579753;2,34441316986822;,0198111932513532;,726964796578204;,00932722443277057;,528477815463989;,0135607619114562;1,7638356721416;,136839801299493;72;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);Boy;BSDGSLM;2370;28959,7809229998;678,981897063618;29087,5789889998;682,127389692303;50,07414723715;,725039453263169;50,149994501298;,723725795579756;2,26277962330704;,0277126995305713;,762015241924323;,0106556664296195;,580667228924985;,0162388764545815;3,13457521714065;,439356145962955;72;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);Girl;BSDGSLM;3008;8376,302586;593,893934299435;8388,34994;593,943826767335;51,996039729868;3,65931058458615;51,9508049774796;3,65645801451821;2,08150760696506;,0276109544925925;,76483748366831;,00752266665616915;,584976376424072;,0115068054684687;3,92014692363843;,143620069336306;74;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);Boy;BSDGSLM;3110;7733,198502;590,582563172051;7758,367986;592,417782346806;48,003960270132;3,65931058458615;48,0491950225204;3,65645801451822;1,97637946989816;,031287692438975;,764616005920671;,00800710992951734;,584637636510079;,012242907805898;5,20739697744783;,324417249161401;74;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);Girl;BSDGSLM;2156;10401,304109;1076,69753819573;10406,804109;1076,81435319963;49,8229824091133;4,49047920159591;49,6002811964792;4,48706156702799;2,16097925245271;,0468234594587825;,757793150474319;,0100996841984059;,574250458905794;,0152993718288183;8,23141315702339;,0528500387092278;63;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);Boy;BSDGSLM;2586;10475,2143289999;908,333669927438;10574,5368389999;913,844899024296;50,1770175908867;4,49047920159591;50,3997188035208;4,48706156702799;2,00760285245712;,0314583135541946;,737985641108091;,00917184652104548;,54462280648172;,0135363022249982;4,69897971772675;,939261090222779;64;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);Girl;BSDGSLM;2204;67024,2229729991;1949,17529998989;67378,5767339991;1996,32187835378;49,8861948881027;1,20388307255141;49,7818840915817;1,20154041382993;2,17128822132897;,0251353933079192;,750972566872735;,0106056593796415;,563959796195425;,0159270759791455;2,46907803396112;,525914583204892;71;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);Boy;BSDGSLM;2205;67330,0269819993;2533,05764176864;67969,0059529992;2511,97243319211;50,1138051118973;1,20388307255141;50,2181159084184;1,20154041382994;2,03318312573376;,0286070983091412;,776134327485994;,00980762928146149;,602384494302137;,0152232409907394;2,9955903737701;,940103451625961;71;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);Girl;BSDGSLM;2024;37053,2394519999;1710,95012833159;37589,4739829998;1668,488367918;52,9447781614658;1,87582621042062;52,9050607704197;1,89763929736019;2,37033176753078;,0236432696282628;,690344459317546;,0125152839654448;,476575472510435;,0172781396720151;2,37407202733006;1,42655502772536;63;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);Boy;BSDGSLM;1834;32931,4516520001;1701,47087481013;33461,335591;1737,70921772146;47,0552218385342;1,87582621042061;47,0949392295803;1,89763929736019;2,31321442309918;,0320128133005557;,660292961548873;,0106113779335911;,435986795070981;,0140036118062754;4,31095688291977;1,58357079788089;62;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Argentina, Buenos Aires;Girl;BSDGSLM;1541;19509,4628469998;948,201392508762;19923,3059369998;962,493658159744;51,0418500788928;1,63464468888402;50,841902639841;1,64029047452683;2,37716624587292;,0228583666500555;,729162167150703;,0113497378824041;,531677466003909;,0165507432658908;1,51441455075487;2,07718082184065;66;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Argentina, Buenos Aires;Boy;BSDGSLM;1455;18713,0208929999;950,215028412868;19263,47682;959,848301619207;48,9581499211072;1,63464468888402;49,1580973601591;1,64029047452683;2,23923383288022;,0240180320976643;,756662254793817;,0118488916668325;,572537767829663;,0179303891481875;1,46599906934587;2,85751078137929;65;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;Girl;BSDGSLM; ; ; ; ; ;49,9781122102817;,247667190188468;49,8150937659593;,247414431660492;2,21112414822988;,00358158771618169;,714261703401548;,00141921756167582;,512717027454456;,00200776719581962; ; ; ;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;Boy;BSDGSLM; ; ; ; ; ;50,0218877897183;,247667190188468;50,1849062340407;,247414431660492;2,12366920615119;,00354255620612373;,722982306476998;,00141452197937177;,524279626246863;,00203972341671053; ; ; ;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
