"";"ASBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"13";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Georgia";47,0203445808808;0,772503629710144;49,3759691611319;0,719590817709;2,35562458025109;1,05573330100289;2,23126861491759;479,2706453246;4,34516716506875;498,069920217691;2,73102910361649;18,7992748930914;5,13215331583069;3,6630384433573;"9 to 29";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"14";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Germany";47,0203445808808;0,772503629710144;49,8231370413357;0,694311005522729;2,80279246045488;1,0386672375238;2,69845082159015;479,2706453246;4,34516716506875;547,368528429776;3,18579298044462;68,0978831051761;5,38792674473603;12,6389771671835;"58 to 79";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"15";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Hong Kong, SAR";47,0203445808808;0,772503629710144;48,8140921097145;1,55238286576557;1,79374752883372;1,73397070904842;1,03447395015;479,2706453246;4,34516716506875;573,618056489703;2,96685620965941;94,3474111651033;5,26143644465903;17,9318731980269;"84 to 105";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"16";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Hungary";47,0203445808808;0,772503629710144;49,4175409209113;0,82998674361302;2,3971963400305;1,13386059658527;2,11418965192891;479,2706453246;4,34516716506875;560,650905685079;3,38591809120758;81,3802603604797;5,50862224269902;14,7732512368839;"71 to 92";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"17";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Iran, Islamic Republic of";47,0203445808808;0,772503629710144;46,1844335673342;1,12494705593244;-0,835911013546577;1,36464930900448;-0,612546394176814;479,2706453246;4,34516716506875;455,051209118067;4,2693870198188;-24,2194362065331;6,09164536208313;-3,97584474586862;"-36 to -12";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"18";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Ireland";47,0203445808808;0,772503629710144;49,993318085055;1,57290588625034;2,97297350417414;1,75236833597173;1,69654600756385;479,2706453246;4,34516716506875;572,692866650694;2,86563167602609;93,4222213260944;5,20502858734087;17,9484549908729;"83 to 104";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"19";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Israel";47,0203445808808;0,772503629710144;50,6827556324549;1,46926464934592;3,66241105157405;1,65997002013076;2,20631156416038;479,2706453246;4,34516716506875;537,084397590919;2,90902095845501;57,8137522663191;5,22904203742159;11,0562798792925;"48 to 68";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"20";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Italy";47,0203445808808;0,772503629710144;48,7993998505377;0,849103689199227;1,7790552696569;1,14792810442426;1,54979677106971;479,2706453246;4,34516716506875;551,756844656834;2,65066092317809;72,4861993322337;5,08984096235383;14,2413485742219;"63 to 82";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"21";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Kazakhstan";47,0203445808808;0,772503629710144;48,6133633418893;0,828711110094045;1,59301876100846;1,13292716531499;1,40610871535201;479,2706453246;4,34516716506875;541,840185792133;2,84674040903574;62,5695404675333;5,19465192759136;12,0449919147028;"52 to 73";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"22";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Kuwait";47,0203445808808;0,772503629710144;51,9382793459745;1,82744592231696;4,91793476509364;1,984016244114;2,47877746953117;479,2706453246;4,34516716506875;410,581232631749;4,66473374392497;-68,6894126928508;6,37496812494807;-10,774863708579;"-81 to -56";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"23";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Latvia";47,0203445808808;0,772503629710144;50,9989634207809;1,11022212479747;3,97861883990004;1,35253651496185;2,9415980980094;479,2706453246;4,34516716506875;565,844586318483;2,13446536388255;86,5739409938829;4,84111764802363;17,8830483554198;"77 to 96";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"24";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Lithuania";47,0203445808808;0,772503629710144;50,2824998728071;0,997176527471635;3,26215529192625;1,26139719551604;2,58614439886375;479,2706453246;4,34516716506875;558,382426791175;2,71833374042823;79,1117814665755;5,12540886337296;15,4352137703436;"69 to 89";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"25";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Macao SAR";47,0203445808808;0,772503629710144;49,1015398398161;0,499105423288102;2,08119525893525;0,91971086840971;2,26287992283258;479,2706453246;4,34516716506875;546,058076952495;1,6045714751173;66,7874316278948;4,63196797389098;14,418802548799;"58 to 76";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"26";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Malta";47,0203445808808;0,772503629710144;48,1463247606731;0,595424166002327;1,1259801797923;0,97534188640441;1,15444665659056;479,2706453246;4,34516716506875;463,052633003563;2,56022680289801;-16,218012321037;5,04333609574743;-3,21573101874215;"-26 to -6";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
