IDCNTRY;rsq;arsq;rsq.se;arsq.se;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Indonesia;,125505321354242;,125503106037526;,0200490929541393;,0200491287090306; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;,144084943868673;,143950901456189;,0165704895126722;,0165728429752947; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;,154486354280124;,154473566204819;,0140767268566856;,0140769101535741; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Korea, Republic of;,0658005269301232;,0657890095463396;,00869512251917183;,00869523211915604; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Latvia;,131223556855112;,130879253401611;,0182187619765795;,0182295536500547; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Liechtenstein;,146560728585988;,126205912542724;,0377111065270157;,0386259392708213; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Lithuania;,143949672563983;,143764425063644;,0143638752407766;,0143673457849824; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Luxembourg;,173571305854445;,172314739979519;,0136922429007768;,01372023639018; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Malta;,145212690951293;,143756785720176;,0222991667051777;,0223374982375418; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Mexico;,148655499905108;,148652031164576;,0146192282223331;,0146193038613582; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Netherlands;,0955396695135281;,0954906441646039;,0288306956256798;,0288330585356877; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
New Zealand;,121412437195545;,121269451591211;,0173301122747305;,0173324663513312; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Norway;,13204596092807;,131919332429627;,0172088613738544;,0172112943533115; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Paraguay;,226730459155425;,226654876888326;,0214328901902994;,021434209421873; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Poland;,138175647124727;,138161454913083;,0153470664073418;,0153476351039264; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Russian Federation;,138162276570821;,138156746460091;,0173741933568923;,0173743147784344; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovak Republic;,114598291583688;,114476774716198;,0202432257155319;,0202465189837596; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovenia;,124953412006404;,1245306863648;,0128508377030072;,0128478795540829; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Spain;,173142586088095;,173127001150745;,0158556042131758;,0158558870504449; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Sweden;,129177555193951;,129106515978905;,0159422030953574;,015943387959376; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Switzerland;,118778452424561;,118689247928237;,0143255568280782;,0143271976144526; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Thailand;,250825019093625;,250817980284578;,0211326044390326;,0211328037018628; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Table Average;,145937815245102;,145220915687706;,00294967155501343;,00295843770633303; HISCED_d1 HISCED_d2 HISCED_d3 HISCED_d4 HISCED_d5 SGENDER_d2 SAGE OPDISC;PV_CIV;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26; 9h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
