"";"IDCNTRY";"BSBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Azerbaijan, Republic of";"Girl";"BSMMAT0";"Percentile";10;50;345,700792;8,18791297536278;482,08194;6,35321394136224;136,381148;7,90020753047372;17,2629829626542;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"2";"Azerbaijan, Republic of";"Girl";"BSMMAT0";"Percentile";10;90;345,700792;8,18791297536278;604,13112;6,22842053401988;258,430328;8,50335611779928;30,3915682725615;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3";"Azerbaijan, Republic of";"Girl";"BSMMAT0";"Percentile";50;90;482,08194;6,35321394136224;604,13112;6,22842053401988;122,04918;6,65584430191692;18,337144690246;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"4";"Azerbaijan, Republic of";"Boy";"BSMMAT0";"Percentile";10;50;339,134648;8,17381674560568;482,246016;6,2736222663208;143,111368;6,98599765734031;20,4854589164699;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"5";"Azerbaijan, Republic of";"Boy";"BSMMAT0";"Percentile";10;90;339,134648;8,17381674560568;608,91042;5,99516228588103;269,775772;9,23176235480281;29,2225646232812;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"6";"Azerbaijan, Republic of";"Boy";"BSMMAT0";"Percentile";50;90;482,246016;6,2736222663208;608,91042;5,99516228588103;126,664404;7,24506965709832;17,48284143492;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"7";"Australia";"Girl";"BSMMAT0";"Percentile";10;50;385,42484;8,46082166274706;503,304188;5,32177344181842;117,879348;7,22915540416817;16,3061023604546;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"8";"Australia";"Girl";"BSMMAT0";"Percentile";10;90;385,42484;8,46082166274706;618,558588;6,54394323277064;233,133748;9,99640349825146;23,3217624759524;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"9";"Australia";"Girl";"BSMMAT0";"Percentile";50;90;503,304188;5,32177344181842;618,558588;6,54394323277064;115,2544;5,77875946987586;19,9444881900364;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"10";"Australia";"Boy";"BSMMAT0";"Percentile";10;50;390,878984;6,17935504281847;519,250532;4,74120766271572;128,371548;6,14801376175455;20,8801660137086;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"11";"Australia";"Boy";"BSMMAT0";"Percentile";10;90;390,878984;6,17935504281847;639,461546;5,39884997243081;248,582562;7,640265667713;32,5358531772638;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"12";"Australia";"Boy";"BSMMAT0";"Percentile";50;90;519,250532;4,74120766271572;639,461546;5,39884997243081;120,211014;5,52395175305387;21,7617784104545;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"13";"Australia";"<Other>";"BSMMAT0";"Percentile";10;50;339,75352;25,3477252244399;477,723364;23,304828263589;137,969844;30,0278853507526;4,59472395036775;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"14";"Australia";"<Other>";"BSMMAT0";"Percentile";10;90;339,75352;25,3477252244399;604,703518;24,8301039086322;264,949998;32,8571919885659;8,06368353364465;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"15";"Australia";"<Other>";"BSMMAT0";"Percentile";50;90;477,723364;23,304828263589;604,703518;24,8301039086322;126,980154;31,5975724613621;4,01866802126249;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"16";"Austria";"Girl";"BSMMAT0";"Percentile";10;50;412,141486;6,53024849495686;513,726494;2,41890669112436;101,585008;6,11245656366931;16,6193423121879;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"17";"Austria";"Girl";"BSMMAT0";"Percentile";10;90;412,141486;6,53024849495686;598,88941;3,94750946800642;186,747924;7,32407671460277;25,4978110247892;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"18";"Austria";"Girl";"BSMMAT0";"Percentile";50;90;513,726494;2,41890669112436;598,88941;3,94750946800642;85,162916;3,88097271612243;21,9437038673872;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"19";"Austria";"Boy";"BSMMAT0";"Percentile";10;50;415,656524;5,71575183008203;518,305044;4,38353155818753;102,64852;5,16234151764682;19,8841009741624;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"20";"Austria";"Boy";"BSMMAT0";"Percentile";10;90;415,656524;5,71575183008203;607,857742;3,98754555426696;192,201218;6,54900322111421;29,3481636076062;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"21";"Austria";"Boy";"BSMMAT0";"Percentile";50;90;518,305044;4,38353155818753;607,857742;3,98754555426696;89,552698;4,81574402259344;18,5958177137025;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"22";"Austria";"<Other>";"BSMMAT0";"Percentile";10;50;435,354918;15,9079279166576;520,108092;16,4422528842195;84,753174;23,0491814142348;3,67705787363267;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"23";"Austria";"<Other>";"BSMMAT0";"Percentile";10;90;435,354918;15,9079279166576;604,85492;17,427894276409;169,500002;22,1519414511822;7,65169962070995;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"24";"Austria";"<Other>";"BSMMAT0";"Percentile";50;90;520,108092;16,4422528842195;604,85492;17,427894276409;84,746828;24,279323988194;3,49049372384539;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"25";"Bahrain";"Girl";"BSMMAT0";"Percentile";10;50;314,91093;4,17290448365763;427,120016;4,12483278252659;112,209086;4,1825399349864;26,8279771966756;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"26";"Bahrain";"Girl";"BSMMAT0";"Percentile";10;90;314,91093;4,17290448365763;550,781024;5,06620963155156;235,870094;6,04050302303837;39,0480880649171;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"27";"Bahrain";"Girl";"BSMMAT0";"Percentile";50;90;427,120016;4,12483278252659;550,781024;5,06620963155156;123,661008;5,40207253339533;22,8914008902202;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
