IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Denmark;HISCED;3,90230460448705;,829178160325993;57240,066460681;4168;1321,11802766627;,0247259698321383;,0149160072649608;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;HOMELIT;1,04961951967385;1,13080755297081;155213,161323941;4453;8532,40986084726;,0308882006084178;,0271384886835717;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;HISCED;3,00261658985098;1,42321842541889;155213,161323941;4453;8532,40986084726;,0480412943727298;,0312698377020897;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
England;HOMELIT;2,51283860345769;1,46454225148759;463435,154628743;2444;12548,5073415317;,0541876824680599;,0231428273553209;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
England;HISCED;3,79210184883924;1,03476276851179;463435,154628743;2444;12548,5073415317;,0328204765836541;,0158906682722233;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;HOMELIT;2,83346858722014;1,25021012719852;11394,0114524591;2665;255,079479192075;,0450196483405704;,0150063528276598;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;HISCED;3,96347781911357;,983836382243549;11394,0114524591;2665;255,079479192075;,03304598045188;,00880584400977413;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;HOMELIT;2,50156258494202;1,22551786322213;60576,3874353301;3192;1037,19131602072;,0345606561245228;,0195225480758059;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;HISCED;3,80212859343992;1,00598150363853;60576,3874353301;3192;1037,19131602072;,0233399100155638;,0142707861932186;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;HOMELIT;2,51647940650728;1,29761876415628;99193,7195503713;3101;2018,08332296332;,0366329582098209;,0195688870823454;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;HISCED;3,72242907703118;1,12345199882073;99193,7195503713;3101;2018,08332296332;,0359194592994426;,0181883382256541;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;HOMELIT;1,25525283630022;1,14676274859949;130548,831706999;3965;6138,79489009948;,037554159622121;,0193064512343274;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;HISCED;2,12486406557813;1,73810959285227;130548,831706999;3965;6138,79489009948;,0733759179662597;,0293835336479108;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;HOMELIT;1,8374376275209;1,35996214632496;76971,2599065071;2735;1592,71955697765;,0454603282453242;,0277592528777493;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;HISCED;2,88377053186132;1,16119906015496;76971,2599065071;2735;1592,71955697765;,0397383716442526;,0217478409055429;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;HOMELIT;1,57627235209145;1,09544492007372;3245756,23316308;4975;98649,4349144396;,0291749992483893;,0222742412290755;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;HISCED;2,45914653684229;1,35002061125684;3245756,23316308;4975;98649,4349144396;,0499224078598813;,0211983152823631;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;HOMELIT;2,40360692168623;1,38216299832534;51533,3377115414;3126;731,336121015542;,0502986828313418;,0190571054536927;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;HISCED;3,75839005914458;1,01236216637203;51533,3377115414;3126;731,336121015542;,0326017320034854;,015752164147297;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
