IDCNTRY;Variable;BSSSCI0_;BSMALG0_;BSSSCI0_.se;BSMALG0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
England;BSMALG0_;,782812234811452;1;,0167512572636899;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;BSSSCI0_;1;,681898641226443;0;,0149353386113302; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;BSMALG0_;,681898641226443;1;,0149353386113302;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;BSSSCI0_;1;,725999196830967;0;,0185512997976062; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;BSMALG0_;,725999196830967;1;,0185512997976062;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;BSSSCI0_;1;,807228968561713;0;,0118697187257364; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;BSMALG0_;,807228968561713;1;,0118697187257364;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;BSSSCI0_;1;,758445407543834;0;,0145727453699375; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;BSMALG0_;,758445407543834;1;,0145727453699375;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;BSSSCI0_;1;,764701495953425;0;,0138000271488518; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
