IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Korea, Republic of;RS_HOMLIT;1468,35591017565;777,581729968646;435857,773488001;2847;9047,23620558972;22,8220930324318;5,96004816243099; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;RS_HISCED;1454,85249644757;635,613469688845;435857,773488001;2847;9047,23620558972;20,3934364002613;11,1664711119639; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;RS_HOMLIT;2435,25513058353;1372,40503044174;5627,80526500011;4889;28,0803602041819;19,4097261485833;8,12868277035932; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;RS_HISCED;2448,36507766848;1328,92837065935;5627,80526500011;4889;28,0803602041819;15,7119865619473;5,60099900251379; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;RS_HOMLIT;1560,25102312798;903,355862131693;97751,9833150006;3177;2095,69882951416;21,4372783863767;10,2471306322758; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;RS_HISCED;1600,7587242672;890,356134741685;97751,9833150006;3177;2095,69882951416;30,0023448373711;8,50395651354923; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);RS_HOMLIT;1302,05513937754;759,673247691739;87691,4206399993;2767;2509,74721007783;22,5209839156623;7,84097561246815; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);RS_HISCED;1347,68722747386;612,630839875266;87691,4206399993;2767;2509,74721007783;20,7080753194804;11,1803798463962; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;RS_HOMLIT;3076,44870165119;1680,3173989536;3416766,574592;6000;56095,5948041321;34,4811278787661;10,032561362844; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;RS_HISCED;3073,57937864728;1609,54963457483;3416766,574592;6000;56095,5948041321;46,0971078660396;14,4623129652177; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;RS_HOMLIT;1268,61834933967;693,227832261534;45045,4668660002;2528;962,845021602506;21,8534853187484;8,4824136421773; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;RS_HISCED;1277,72224052605;709,506636022851;45045,4668660002;2528;962,845021602506;27,8440573608715;7,36272054065106; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;RS_HOMLIT;1543,5348370968;862,124011887419; ; ; ;6,37980018889433;2,26006828732996; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;RS_HISCED;1552,88012367179;823,659229537372; ; ; ;6,89391428971634;2,26692372044923; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
