IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Bulgaria;ASRIIE0_;58538,5895520003;552,315474598226;86,4084240336746;1050,12304559584;4,29897157178093;2,87672219141658;4281; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRINF0_;326178,916344995;540,079855950572;80,5219291292696;5003,7494389155;1,91857433154699;1,28655398312278;18245; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRIIE0_;326178,916344995;545,111465777842;75,9419620670272;5003,7494389155;1,83042968419348;1,26301973026735;18245; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASRINF0_;134196,497956999;539,457745541396;82,4167887464139;3424,22384356559;3,43426061035244;1,91191427181394;4270; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASRIIE0_;134196,497956999;548,168312577577;76,5798573406867;3424,22384356559;3,16728655086486;1,71567449108975;4270; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASRINF0_;73545,4645509995;546,662051053114;69,9489982814308;1558,63612254794;3,01837606778747;1,28651638031933;3179; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASRIIE0_;73545,4645509995;545,00871316197;65,9695817789481;1558,63612254794;2,99716990587823;1,63942390269683;3179; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASRINF0_;225459,142782;485,055287189575;82,6713246350971;4602,90337201986;2,65127414695534;1,85937494290976;4294; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASRIIE0_;225459,142782;491,143757259188;81,1025130812965;4602,90337201986;2,91440597231919;1,51190261830167;4294; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASRINF0_;197733,771073002;569,214138262955;65,2099305531276;1450,38468550588;2,16487116835396;1,0887972347634;4326; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASRIIE0_;197733,771073002;558,093031437174;64,7738803560456;1450,38468550588;2,19167176835871;1,45274420938939;4326; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASRINF0_;99203,8658470011;541,247019884762;72,1188954371522;1475,16195545025;2,27189386062582;2,00441176503205;5537; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASRIIE0_;99203,8658470011;537,904128350725;68,7814373904311;1475,16195545025;2,20341063816901;2,17525048912882;5537; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;ASRINF0_;55927,5098390007;543,283792628233;73,1626092890203;1124,7617381621;2,51042394547716;1,47906266515822;3508; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;ASRIIE0_;55927,5098390007;546,073287389138;66,0544689830748;1124,7617381621;2,15862626473381;1,73982979807628;3508; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);ASRINF0_;57947,8988429994;497,789237414343;86,9098350723023;1462,16683816551;2,3838102881602;1,75584674098127;3600; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);ASRIIE0_;57947,8988429994;503,904771259431;84,6510613339222;1462,16683816551;2,4803017268862;1,69672108078859;3600; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;ASRINF0_;1543298,61952995;331,918252788915;129,002978448654;35988,9122872712;5,78407099113372;2,84765720276452;6957; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;ASRIIE0_;1543298,61952995;339,914215180887;117,192202381135;35988,9122872712;5,70762107414745;2,88820109297529;6957; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;ASRINF0_;575923,064315009;556,423413141282;83,2462845621133;12108,187897199;2,0620045485972;1,30227483050631;5095; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;ASRIIE0_;575923,064315009;561,488966170094;78,0855703075559;12108,187897199;1,89981080465315;1,15759897407798;5095; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;ASRINF0_;54958,5624199995;568,740921295856;71,1339769698042;1411,22533164505;1,95644441672597;1,38768519978183;4896; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;ASRIIE0_;54958,5624199995;562,473024373483;67,0955806886866;1411,22533164505;1,81655894541616;1,48496401109016;4896; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;ASRINF0_;781796,389433014;510,087395545004;71,6423072218767;20251,6813841777;2,36985558006186;1,39442196072629;4767; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;ASRIIE0_;781796,389433014;501,030391664591;72,6542297913302;20251,6813841777;2,35479933545401;1,2796555470638;4767; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;ASRINF0_;41909,9408329999;486,382856410121;83,6255453057793;656,685864137675;3,12487423741473;1,65613489154206;5741; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;ASRIIE0_;41909,9408329999;489,856556206698;82,6274522667778;656,685864137675;2,87755160763733;2,04973243256922;5741; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;ASRINF0_;664678,176166997;532,92087983216;79,990760298;14271,7672905268;3,32503703459574;3,25280495920239;3959; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;ASRIIE0_;664678,176166997;530,123872432901;78,5697916835677;14271,7672905268;3,19382618449685;3,17706305633364;3959; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;ASRINF0_;49267,4417109999;576,386155318128;64,7977585432782;974,120450196594;2,75577667699081;1,54475686816192;3349; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;ASRIIE0_;49267,4417109999;568,476027351991;66,5032238866722;974,120450196594;2,89226949735183;1,9344295777682;3349; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;ASRINF0_;88865,7556310003;550,557214456485;80,365857887347;1905,27502097219;3,2870956150771;1,70254005275904;4623; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;ASRIIE0_;88865,7556310003;556,735280989753;75,2494971308111;1905,27502097219;3,00997360835368;1,76686524663603;4623; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;ASRINF0_;1200536,886367;423,784849659404;106,737231090578;36810,9448835439;4,0101983974908;2,73716751423335;4385; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;ASRIIE0_;1200536,886367;429,254853239439;104,19729853846;36810,9448835439;4,23734876746375;3,07128549624203;4385; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;ASRINF0_;61573,2220130002;564,727087101638;76,5341543752537;1726,82763594023;2,65288796346819;1,54125844353118;4607; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;ASRIIE0_;61573,2220130002;569,283701213477;74,4315736302777;1726,82763594023;2,89235650679242;1,7278007786814;4607; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;ASRINF0_;103075,534721;528,680674905681;89,9345014612672;1904,33426699556;2,49233138076483;2,00197915451355;4041; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;ASRIIE0_;103075,534721;530,049294478725;93,2549247764954;1904,33426699556;2,74116207779227;1,90283454586686;4041; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;ASRINF0_;522139,753873002;548,960227423353;65,3601252638286;6494,15133676132;2,2225674821365;1,34289852326713;3940; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;ASRIIE0_;522139,753873002;549,634468360161;64,911127392943;6494,15133676132;2,09721133512619;1,50840765993418;3940; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;ASRINF0_;251104,966152;543,594248963293;70,5446635436557;4307,55679810514;2,8301768693336;1,36048273742652;4925; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;ASRIIE0_;251104,966152;542,378450261317;62,1845143946662;4307,55679810514;2,39034809641579;1,2437229865263;4925; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;ASRINF0_;46604,3926599992;398,427531505454;114,369864765859;847,55951778656;4,30313859577391;2,91954693710201;4609; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;ASRIIE0_;46604,3926599992;388,426901559676;109,49800156647;847,55951778656;4,50207524339432;2,86487522803567;4609; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Latvia;ASRINF0_;17794,7793909999;561,315276887049;65,0294896506321;345,445650574923;1,79631554050768;,997416215265965;4157; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Latvia;ASRIIE0_;17794,7793909999;561,800241885162;60,2344088527626;345,445650574923;1,67723166721601;,950087718882224;4157; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Lithuania;ASRINF0_;24525,6538479999;550,574138192829;72,5125319843666;482,789332238741;2,62043683966904;1,76715464989728;4317; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Lithuania;ASRIIE0_;24525,6538479999;547,824208894779;68,2927731088477;482,789332238741;2,63821137158036;1,9532368656369;4317; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Macao SAR;ASRINF0_;4150,99971300002;555,505297683534;66,0007664896044;8,15379099566967;1,29259325016809;,819193933291243;4059; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Macao SAR;ASRIIE0_;4150,99971300002;543,009096631635;67,605810642395;8,15379099566967;1,60789639163038;,897948363962288;4059; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Malta;ASRINF0_;3792,99955100002;451,399283255656;84,9199358523709;10,9306581002857;1,999036945597;1,22828228822378;3647; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Malta;ASRIIE0_;3792,99955100002;451,123965145913;92,8547187878225;10,9306581002857;1,86699175736101;1,07252547843796;3647; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;ASRINF0_;664737,373551999;350,018468794901;108,308277173171;20636,023798281;4,36178811491844;1,83496057950863;5489; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;ASRIIE0_;664737,373551999;321,172776168758;123,584162780034;20636,023798281;5,28542892833671;2,31300034111909;5489; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;ASRINF0_;167266,199546998;544,693485308741;63,0999223336038;4502,83507124937;1,89665195420973;1,23758555132244;4206; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;ASRIIE0_;167266,199546998;544,386955955822;59,996079913892;4502,83507124937;1,73434832727956;1,20996204787825;4206; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;ASRINF0_;56742,4566310003;520,375944248067;94,0507738087508;856,199762777671;2,39166904772025;1,57766692300617;5646; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;ASRIIE0_;56742,4566310003;524,564777080012;92,0327263779115;856,199762777671;2,36925453250056;1,91858658415412;5646; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;ASRINF0_;22211,129464;560,782340063619;84,2718612964826;667,441593372944;2,31685955254168;1,63205352129834;3693; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;ASRIIE0_;22211,129464;567,410828763485;79,5706472288458;667,441593372944;2,21114608333017;1,33657917033604;3693; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;ASRINF0_;56609,5687119997;558,569449818485;69,1299541294512;1088,94643535485;2,37580481780702;1,5501747895057;4232; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;ASRIIE0_;56609,5687119997;558,137507711991;64,995093633018;1088,94643535485;2,40149334894036;1,46149516779058;4232; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);ASRINF0_;58308,5300759995;513,681313564602;73,9388176111008;1295,77774777006;2,16826268130589;1,34129001390368;4354; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);ASRIIE0_;58308,5300759995;512,696415043604;71,7793641474168;1295,77774777006;1,9420854331679;1,49373570999894;4354; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;ASRINF0_;52227,7505129999;425,47267010402;108,603280329662;720,219188695647;3,33372713697958;2,0185873359219;9234; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;ASRIIE0_;52227,7505129999;414,785214140467;110,424301154187;720,219188695647;3,57500351626798;1,95798414231331;9234; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
