IDCNTRY;ASBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Norway;Boy;ASDGSLR;2075;27832,519725;710,957185555647;27973,582773;698,872769046419;49,6936202208692;1,1476927507809;49,7261938052954;1,13050076916886;2,15701255287621;,0226177125497021;,687146598614334;,00843526008089722;,472170447987249;,0115922050155951;2,24810535170159;,504272367056799;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;Girl;ASDGSLR;2212;160671,594059;4634,54435409405;160959,494589;4630,20686458029;49,6915987416229;,832898032562198;49,6175017978655;,830275860335388;1,73746543637632;,0219471650399459;,69566259954785;,0103017062988662;,483946452409672;,0143325487194615;2,20163170651144;,178865205022627;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;Boy;ASDGSLR;2185;162665,948157;4108,99864706303;163441,147839;4155,01440598187;50,3084012583771;,832898032562201;50,3824982021345;,830275860335384;2,06380586804181;,0259135200697039;,7390613090332;,00822277341843267;,546211618509867;,0121540448553492;2,68623083385388;,474298970760791;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;Girl;ASDGSLR;2276;45797,9854629999;1328,02650421167;46041,2860389999;1331,89808275206;49,5120033663288;,841637824140076;49,4041463532624;,836410836898353;1,25170150663751;,0148936103259434;,499656429293336;,0141027838845238;,249656547334166;,014092049546569;2,02222405120291;,528440008808418;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;Boy;ASDGSLR;2321;46700,76706;1409,54206479338;47151,8757449999;1388,60687947452;50,4879966336712;,841637824140067;50,5958536467376;,836410836898359;1,39764500107977;,0201153354754933;,606243921357748;,0123222575862533;,367531692183219;,0149400030958971;2,55525887995999;,956714187659516;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;Girl;ASDGSLR;4640;9659,570375;463,03456387443;9750,165823;466,208747497477;50,8560783803777;2,37772233817174;50,3648853013117;2,34945890297043;1,51863160943119;,0111224341315944;,639873462965307;,00661760677436329;,409438048607214;,00846889028798144;1,40194012805278;,929168279233685;74;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;Boy;ASDGSLR;4234;9334,364436;452,287004476676;9608,889131;454,099711615043;49,1439216196223;2,37772233817173;49,6351146986883;2,34945890297043;1,76560080067566;,0179877612346656;,719241782740864;,00917145042312318;,517308742040257;,013196209448782;2,64822733756511;2,85698680937356;74;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;Girl;ASDGSLR;2270;644775,4446;13290,0890446253;645361,631312;13198,9812532269;49,1606114508642;,848428342469909;49,1527064893513;,844917470908086;1,54701088052881;,0248243832831638;,622364200248199;,0118269428331776;,38733719775058;,0147200651979142;3,61154962745091;,0908307349800608;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;Boy;ASDGSLR;2301;666793,768171997;15174,0600675265;667611,096754997;15164,2622589407;50,8393885491358;,848428342469915;50,8472935106487;,84491747090809;1,72719588764202;,0203376018194003;,679172995159866;,00936287692587885;,461275957354424;,0127178010714135;2,06326627853007;,122425853460603;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Saudi Arabia;Girl;ASDGSLR;2345;206205,199330001;12377,4598503789;207717,784270001;12346,8971000481;49,2167575330978;2,71123601198648;48,3337671986276;2,66495203601416;1,3732604176087;,0270705718962789;,560111834506102;,0164824327567456;,313725267153791;,0184571768342253;5,47757346367614;,728192314064872;56;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Saudi Arabia;Boy;ASDGSLR;2259;212768,356966003;12306,3178067903;222039,290978003;12560,3322776639;50,7832424669022;2,71123601198648;51,6662328013724;2,66495203601417;1,61782930352752;,0240396508663208;,66251626602847;,00993511395866902;,438927802752306;,0131639204799171;2,97426357166426;4,17535742037586;51;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Singapore;Girl;ASDGSLR;3230;19297,5080850003;248,98295788091;19297,5080850003;248,98295788091;49,4697546127263;,631970966074053;49,3692359688866;,631736483719226;1,77530041770675;,0160943117934194;,675212219461927;,00657058302339128;,455911541310702;,00887299925346335;1,83512967118569;0;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Singapore;Boy;ASDGSLR;3239;19711,1917480001;244,648074359502;19790,6157360001;245,038626699647;50,5302453872737;,631970966074053;50,6307640311134;,631736483719227;1,96660724960645;,0149070988187282;,700478519139207;,00599057379793647;,490670155775456;,00839249090129093;1,46692383539645;,401321459925695;74;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;Girl;ASDGSLR;2655;23020,2468080001;599,147282521739;23030,9562150001;598,095857322928;49,0161270727675;,968813575433799;48,9892229645317;,9671170037724;1,75532856819577;,0245984309112104;,687639724231594;,0094255928053667;,472848390341302;,0129622409650515;3,39748400451339;,0465000536670073;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;Boy;ASDGSLR;2785;23944,391532;622,283694232846;23981,335104;623,145723883405;50,9838729272325;,96881357543379;51,0107770354683;,967117003772399;2,08241174411817;,0260206103540036;,722196067180837;,00827625522042188;,521567159451468;,0119537945186495;3,61534644259594;,154051356356044;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovenia;Girl;ASDGSLR;2243;9628,076997;279,264728677364;9642,121417;279,219731852107;49,6096409232915;,881500133827206;49,5936916517065;,880752159676293;1,75419661717107;,0217340833077567;,638743653385661;,0112631264387281;,407993454740461;,0143883005518993;2,59692096481681;,145656950297663;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovenia;Boy;ASDGSLR;2237;9779,596225;330,866526130321;9800,112254;330,698093552801;50,3903590767085;,881500133827207;50,4063083482935;,880752159676293;2,02530732029276;,0224038714983255;,684429080736757;,0119050167395832;,468443166558162;,0162965972305454;2,39692928824153;,209344836755581;74;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;Girl;ASDGSLR;6000;460775,353859009;12074,1873836685;469743,458193009;12396,0966401301;48,0033220699704;,735454877373839;48,0064933159893;,744557748423995;1,44410996656868;,0170208891508367;,617802792802934;,0095415725676705;,381680290795105;,0117891002261981;4,55424093628027;1,90914938304796;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;Boy;ASDGSLR;6412;499106,866766004;13311,6294568156;508756,377446004;13532,1420236737;51,9966779300296;,735454877373846;51,9935066840107;,744557748423992;1,6467907837508;,0201599404741605;,684783495560037;,00891948053626944;,468928435791423;,012215490478434;5,55732039047644;1,89668594002522;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;Girl;ASDGSLR;7211;224528,592559999;4640,71107647003;225629,676813999;4623,20620295246;49,5059515974669;,618714017281761;49,3976972098326;,618326380967799;1,42636949725864;,0140924818901444;,609732039125298;,01043495680616;,371773159535894;,0127241592564267;3,85205459755343;,488005066331631;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;Boy;ASDGSLR;7274;229009,992832;4423,23182113919;231131,851675;4481,25439114876;50,4940484025331;,618714017281763;50,6023027901674;,61832638096779;1,64481614410743;,0132803747026551;,699058712448747;,00799994922336611;,4886830834505;,0111846995820365;2,62522570897414;,918029612804556;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;Girl;ASDGSLR;2199;49771,247012;1431,52130102697;50173,647238;1466,54613578565;48,7154505717573;,95896391509846;48,7411464390473;,955231667759928;2,03543539701899;,024068402391495;,694627349026473;,0107288744318642;,482507154015546;,0149048912809875;2,64007339061943;,802015097868417;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;Boy;ASDGSLR;2201;52396,0252350001;1937,17436346789;52765,3496950001;1938,19211577227;51,2845494282427;,958963915098463;51,2588535609527;,955231667759926;2,21707870772614;,0234012467005037;,681169940184999;,0106818871961227;,463992487411635;,0145525154979202;2,59768857201578;,699937481955125;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;Girl;ASDGSLR;2127;9278,096207;395,37301769476;9290,506688;397,464869173614;52,1570578047045;1,80244310858512;52,0487168687784;1,79934617600775;1,50236380891194;,0236372207848955;,638636739284618;,0135004069901965;,407856884764089;,017241317445821;2,91375153755779;,133582391324575;73;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;Boy;ASDGSLR;1973;8510,668339;363,077225385673;8559,129666;362,369623557239;47,8429421952955;1,80244310858512;47,9512831312216;1,79934617600774;1,72126844173571;,0255832186662805;,686789241522359;,0117024258167575;,471679462270857;,0160732572518701;2,73772917597182;,566194565231394;74;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;Girl;ASDGSLR;7933;36463,0249529999;1730,66287590348;36721,2418769998;1736,6495349475;49,0237262910033;2,09803197942736;48,7296571137057;2,08909363064047;1,434854748185;,0137869828930143;,594249785565058;,0069593059022684;,353132807644117;,00827104894141678;4,27009817716859;,703181348999345;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;Boy;ASDGSLR;8237;37915,2969570006;1542,92943949573;38635,8282360005;1564,02720596834;50,9762737089968;2,09803197942736;51,2703428862943;2,08909363064047;1,65517996061516;,0147143452080974;,680761461253799;,00484531950782052;,463436167128408;,00659691099205906;3,84823002396863;1,86493032994855;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;Girl;ASDGSLR;3372;754953,698617999;24431,9897464116;758222,077511999;24453,7798262635;49,5284231442046;1,16568507958291;49,4541590210219;1,16350039650557;1,45713602898794;,0275780813553869;,610991782002152;,017812311933868;,373310957674165;,0217624537293613;6,86981315044691;,431058259965831;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;Boy;ASDGSLR;3493;769330,037247994;26109,4797532884;774959,544663994;26430,5709489411;50,4715768557954;1,16568507958291;50,5458409789781;1,16350039650556;1,61623365675007;,033961768188969;,693118124324946;,0186066212460105;,480412734267731;,0257879895747443;8,38618930257069;,726425973428179;74;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United States;Girl;ASDGSLR;2159;1724477,26027701;37662,8735151255;1763256,33206901;36857,00287733;49,7005655085623;,725213470412755;49,5591204640495;,695888789858848;1,77865450469165;,0240648662805493;,737710621515436;,00967466748876419;,544216961096691;,0142738810913811;2,29745744077666;2,19928725544383;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United States;Boy;ASDGSLR;2130;1745256,419071;50018,8528760628;1794628,302603;49406,5784265084;50,2994344914377;,725213470412757;50,4408795359506;,69588878985885;1,94109398391686;,0239464818657466;,748127086936643;,00697167965211143;,559694138208307;,0104312950309445;2,18228908130091;2,75109243849487;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;Girl;ASDGSLR;2521;285268,976802001;8562,02209673695;285990,314998001;8541,79685846649;50,0080749725612;,843749385421685;50,0287426131318;,837530685276284;1,75516244044834;,0192366164038171;,714984991586464;,00913608817493226;,511203538193895;,0130638920400815;1,82488862574969;,252224693694625;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;Boy;ASDGSLR;2520;285176,850114;7379,88026159458;285661,699544;7361,2541186;49,9919250274387;,84374938542168;49,9712573868681;,837530685276279;1,93554558212333;,0211995168088479;,728468770596414;,00903850288229572;,530666749734251;,0131682710633719;2,13417775496069;,169728539308546;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;Girl;ASDGSLR;1832;11115,612855;470,221577325105;11124,26274;470,30529839742;50,3543805935627;1,2080541577136;50,2882918063974;1,2136697034166;1,69482781604128;,0233727742865135;,708057083004397;,0109460046887226;,501344832792696;,0155002735097901;1,99622484397266;,0777569282762194;70;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;Boy;ASDGSLR;1842;10959,155465;375,782998410638;10996,716797;381,580371353888;49,6456194064373;1,2080541577136;49,7117081936026;1,2136697034166;1,91757603184983;,0235983020563204;,744375658137548;,00678082774696252;,554095120427708;,0100948630715644;1,85125741807677;,341568603551264;69;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);Girl;ASDGSLR;2595;34707,848167;972,536180135748;34890,111511;953,769459565089;50,4610644025766;,942158207423091;50,4743863731034;,935196897735659;1,97154846574617;,0215538221803312;,730067097639307;,00788957922376526;,532997967055482;,0115195993523225;2,26183229538111;,522392552235142;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);Boy;ASDGSLR;2532;34073,59467;1036,77945321211;34234,278141;1036,23646889118;49,5389355974234;,942158207423087;49,5256136268966;,935196897735664;2,15783824783052;,0241776229047198;,731790788518874;,00727436385162362;,535517758161076;,010646401063999;2,76386625677541;,469364273837457;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);Girl;ASDGSLR;2246;26329,2209779998;1005,03617552003;26540,7598029998;1005,26987684527;49,969263276682;1,0358192501704;49,9598292795792;1,02979640083722;1,78741356766018;,0239774871937423;,72131039176978;,00972068648180453;,520288681275074;,0140227468177911;2,48183388220295;,797033794699768;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);Boy;ASDGSLR;2316;26361,6118489997;738,495307823277;26583,4405509998;737,633836334919;50,030736723318;1,0358192501704;50,0401707204208;1,02979640083721;2,02565742322111;,0249688681846569;,741094579536518;,00894078199990195;,549221175818408;,0132515120571025;2,62899036672349;,834461971069645;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);Girl;ASDGSLR;2137;28469,1708239999;737,857008402624;28690,2322329999;740,980077671288;49,5456945035611;,727857391697453;49,5384471894053;,715432419391159;1,88266734350464;,0231941759768204;,684210242079693;,0108862579488734;,468143655366752;,014896553756875;2,45574504279711;,770511047818331;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);Boy;ASDGSLR;2156;28991,2626389999;779,459090344285;29224,8496089999;793,586424167249;50,4543054964389;,727857391697447;50,4615528105947;,715432419391166;2,05281290494538;,0217099431883566;,693910554711655;,0103138313006252;,481511857940236;,0143134714316101;2,1103726201384;,799275182336836;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);Girl;ASDGSLR;2654;238264,606167001;8194,40268638665;239649,238282001;8244,94167161247;50,5846504791791;,814514228536928;50,5015094153549;,821091315394045;1,46078572835971;,0176971656909729;,617193667517405;,0090354355655679;,380928023223585;,011152811748777;2,18205367622569;,577774469439653;64;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);Boy;ASDGSLR;2505;232756,946636001;8534,65318854413;234889,525126001;8689,9505522262;49,4153495208209;,814514228536933;49,4984905846451;,821091315394047;1,66019861346313;,0252041241442207;,678847108307229;,010723626118376;,460833396457087;,0145583514868873;3,45308290652669;,907907020909523;64;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);Girl;ASDGSLR;3748;10253,0267089999;656,888512868823;10322,9136419999;655,54381923325;48,2676727612981;3,0379184550175;48,0757552608305;3,01654118348882;1,44094506454679;,0252868320030043;,597824368589956;,00950252101574163;,357393975679979;,011361848321196;6,70565493025002;,677007823795575;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);Boy;ASDGSLR;3980;10988,989163;638,580246397884;11149,268305;644,715859744758;51,7323272387019;3,0379184550175;51,9242447391695;3,01654118348882;1,63315418431996;,0255952505956179;,676284419299812;,00700673617899547;,457360615787684;,00947668250230556;5,70089549721803;1,43757543199603;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);Girl;ASDGSLR;1994;12782,466442;939,742116290295;12859,237995;941,29968381886;47,4925113208425;3,42034308211927;47,1937149665131;3,4432599696689;1,48309631181271;,0202668307414139;,611912541797033;,0104083572636789;,374436958808506;,0127373314893255;2,18734922065023;,597014792243914;64;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);Boy;ASDGSLR;2101;14132,2325;977,264587402915;14388,538545;1009,44646766573;52,5074886791575;3,42034308211927;52,8062850334869;3,44325996966891;1,70896357981657;,0228446913826714;,697488741509997;,00817203474238012;,4864905445332;,0113993018809335;2,25383562624514;1,78132090481883;67;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);Girl;ASDGSLR;2086;62766,7113;2260,79136123413;64152,6775470002;2319,51270430404;48,0312055649698;1,06597964324157;48,1816661722715;1,05972959999459;1,74015718623448;,0250352272140996;,705164146480467;,0100331780583986;,497256473481526;,014149403150239;2,62928057610226;2,16041839560726;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);Boy;ASDGSLR;2089;67912,3140580001;2020,65937745125;68994,8091290002;2062,47841412008;51,9687944350302;1,06597964324157;51,8183338277285;1,0597295999946;1,98600230158277;,0259352769275877;,743705381954432;,010547095635495;,553097695147987;,0156860977870006;2,54049515193517;1,56895146847359;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);Girl;ASDGSLR;1608;37616,2940830001;1184,02719378451;38001,1416650001;1177,65696828198;51,9133229850528;1,1161525886461;51,840502452157;1,11574980299717;1,74953977818198;,0253014074225185;,682505662030704;,009928286317273;,46581397870397;,0135515475886125;2,20985046584681;1,01272636857238;65;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);Boy;ASDGSLR;1525;34843,5137660001;1033,91337087573;35302,819268;1049,20604265814;48,0866770149472;1,11615258864611;48,159497547843;1,11574980299717;1,86330974057365;,0210887832441788;,704207891503295;,0100670119084224;,495908754455517;,0141781986340461;1,36763785969576;1,3010448216988;65;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;Girl;ASDGSLR;1983;18038,340755;639,245510078035;19311,0775770001;664,093459119715;49,0635024322892;1,09031476078511;49,4243907306363;1,0916412094234;1,64535784716082;,0303008995356443;,734741221773023;,0140233109895433;,539844662972515;,0206038836576133;3,37260084891446;6,59070845179482;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;Boy;ASDGSLR;2019;18726,9529170001;634,45560245483;19760,88121;602,689170309845;50,9364975677108;1,09031476078509;50,5756092693637;1,09164120942339;1,85189331407555;,0304817566755168;,767720999977448;,00934200585714178;,589395533806373;,0143435751898984;3,18280082688509;5,23219729936325;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);Girl;ASDGSLR;2060;47416,9945380001;1382,62568684638;47656,3501340001;1403,322407275;50,6113893122561;,828551657661042;50,4462166151553;,836033582699245;1,34898142934256;,0180787769079248;,581112839564784;,0139911495104035;,337692132307047;,0162598633186848;1,99381275140289;,502253310056225;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);Boy;ASDGSLR;2072;46271,392962;1189,96363078544;46813,271835;1219,26576496859;49,3886106877439;,828551657661038;49,5537833848447;,836033582699248;1,55690158731902;,0255788564634897;,691653789884773;,0160274327030911;,47838496506197;,0221685126440453;2,83383447144613;1,15753257945723;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);Girl;ASDGSLR;1757;28288,2442970001;796,230817827838;28586,8023030001;784,852672885394;50,3206872006277;,610898049956319;50,3036484325943;,607911822946222;1,96013796801381;,0212046753175759;,67528884171088;,0104800455097657;,456015019739223;,0141538857564416;1,73243068847978;1,04439105442957;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);Boy;ASDGSLR;1733;27927,6896870001;826,851252072702;28241,6846830001;835,16729605998;49,6793127993723;,610898049956322;49,6963515674057;,607911822946221;2,16075071036361;,0212524460133273;,692640597117499;,0108688443110295;,479750996775286;,0150557541655215;1,63155049833431;1,11181397117222;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation, Moscow;Girl;ASDGSLR;2121;42689,3914220002;840,592366223412;42758,4150610002;835,856606776433;49,1998686560899;,890201128264369;49,1801029288179;,883201074292059;1,65196392229795;,0196811187707506;,643441032792498;,00861748224172515;,414016362681076;,0110895169065028;1,98437034126093;,161427028811824;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation, Moscow;Boy;ASDGSLR;2156;44077,8959470001;921,429952974677;44184,0932190001;917,915926217932;50,8001313439101;,890201128264368;50,8198970711821;,883201074292058;1,80247265220035;,0220281314958875;,67936052285364;,00927562570189318;,461530720011971;,0126026506321473;2,26674916117459;,240351819541999;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);Girl;ASDGSLR;161;903,939488;106,691176770168;903,939488;106,691176770168;47,4061003596775;4,38607310989863;47,4061003596775;4,38607310989863;1,48135137780373;,071042336573624;,605573485668216;,0589335998650633;,366719246544354;,0704124398401783;2,21578004148188;0;5;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);Boy;ASDGSLR;186;1002,860441;99,1043694590343;1002,860441;99,1043694590343;52,5938996403225;4,38607310989863;52,5938996403225;4,38607310989863;1,83477116134447;,0539226703283929;,742116203878311;,0355277404031261;,550736460058755;,0525091469517833;,982000926098823;0;5;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid, Bilingual;Girl;ASDGSLR;901;11029,33118;444,914608968128;11075,631271;447,600722325795;49,5525683498547;1,50992125858689;49,4982945003108;1,4941915521946;1,41874509656351;,0317404867914494;,606530282737837;,0217828927786902;,367878983878041;,0264198938282205;2,46744214772825;,418035684532315;40;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
