IDCNTRY;S_SEX;dvar;n;TOTWGTS;sumw_se;pct;pct_se;mnpv;mnpv_se;mnpv_ci;mnx_svr;mnx_ivr;sdpv;sdpv_se;vrpv;vrpv_se;DEff1;DEff2;DEff3;DEff4;DEff5;pctmiss;nvarstrat;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Italy;Girl;PVCIL;1339;257617,506153;5278,91606616128;47,6078304111696;,635520220607412;469,28676105217;3,58442872622318;462 to 476;11,0599822189464;1,78814707442752;80,0450009820881;2,20773759031779;6407,79022157468;353,253372389921;1,37365906964259;1,9544890068381;2,3111424811173;1,16167721059843;2,68480155075989;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Boy;PVCIL;1738;116015,834845;2995,6925412659;51,6883976550375;,677974997633232;391,169255433864;5,85094047027475;380 to 403;33,7647550448738;,468749341825131;107,424878148351;3,38250070772588;11540,8257942815;727,352513374884;1,0705916864715;4,81548881988545;5,0848306103943;1,01388280001446;5,1554222968658;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Girl;PVCIL;1633;108436,537657;3203,76680558531;48,3116023449625;,677974997633229;399,426880479055;5,61460553604175;388 to 410;29,8287578387147;1,69503748663595;104,287292535598;3,99174584657963;10876,8436337891;833,247569908547;1,25448524488094;3,77273447942401;4,47835449241006;1,05682561425458;4,732839737291;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Boy;PVCIL;1497;233084,104588;6159,47232773025;53,0118436683693;,887449773185703;523,8913858382;3,91769244172243;516 to 532;14,3229509871051;1,02536308082402;96,5983021388551;2,38925359623683;9332,09135096336;462,210614829569;1,16448280179288;2,11431853759491;2,29760477274827;1,07158881446618;2,46208757454115;0;60;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Girl;PVCIL;1378;206598,970850998;5786,54520716023;46,9881563316307;,887449773185705;562,60941971239;3,4355193165435;556 to 569;11,2866221326701;,516170841673467;88,4074354920451;2,24184831758342;7817,19888209093;396,560067970312;1,09098955144349;1,90705076740203;1,98958290986442;1,04573297799874;2,08057246130791;0;62;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;Boy;PVCIL;2850;3276,181786;40,400172942025;52,7094470116788;,65086182943231;470,877994781358;1,29498523559314;468 to 473;1,45331903841078;,223667721993431;86,3939101933347;1,08860999993844;7464,1094589641;188,11723047081;1,08540241956336;,589937100013625;,554916736181621;1,15390132247769;,640319155744979;0;36;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;Girl;PVCIL;2551;2939,367744;40,6547824908434;47,2905529883212;,650861829432312;493,899653653305;1,49117928219712;491 to 497;1,52640991720472;,697205734449181;78,8686735484677;,991638823287763;6220,29795890025;156,368890952119;1,28593032686401;,709155627992302;,625994401637585;1,45676179549852;,911924728501591;0;38;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;Boy;PVCIL;1654;50935,0355460001;1522,78123288057;51,4041265361389;1,03934868328128;510,942841282463;3,24645421184343;505 to 517;10,0544329827368;,485031966859168;73,7822775940871;2,78244061278961;5444,28725615616;413,099501011215;1,1473549861422;2,79071335056062;3,05458389151714;1,04824060866405;3,20193887765934;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;Girl;PVCIL;1567;48152,4093310001;1454,69013360028;48,5958734638611;1,03934868328127;522,318737611477;2,60745884724434;517 to 527;6,38427592403521;,414565716037576;67,6848168261562;1,62077382606683;4581,52681978318;219,182751443502;1,14179213667937;2,03660422830488;2,18358655672709;1,06493543214146;2,32537869340646;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;Boy;PVCIL;3437;1950047,621898;26877,0159348046;50,6373381485471;,414458803328756;507,974053078872;2,33338298643507;503 to 513;5,05928400289642;,385392158488213;83,1490531771813;1,44386961406422;6913,99417749758;240,102436608784;1,19158142380782;2,27142735849225;2,51500922210041;1,07617523710224;2,70659064590824;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;Girl;PVCIL;3346;1900959,74380799;30070,0808038509;49,3626618514529;,414458803328754;530,517334470436;1,95705167741926;527 to 534;3,79039256620097;,0396587018885664;76,2088311089546;1,34545012251192;5808,0141483936;205,29189117257;1,02284739897816;2,15720795542294;2,18364714728118;1,01046295369039;2,20649454625934;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;Boy;PVCIL;1313;22833,516943;725,532255583458;49,2914976240555;1,02676132246567;448,095357151735;4,85767996417317;439 to 458;22,6437087111476;,95334592318192;103,834650515088;2,79941626175294;10782,7548252622;581,92131244192;1,11608751357355;2,57450976993021;2,75729069421867;1,04210202203814;2,87337820779221;0;74;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;Girl;PVCIL;1300;23489,922278;623,687966636362;50,7085023759445;1,02676132246567;452,731088208563;4,85565007356898;443 to 462;22,6670334226002;,910304214350225;97,0823034626775;2,717535680111;9426,76374848572;528,35245210111;1,12553570983949;2,88879160735221;3,12590240252003;1,04015983024239;3,25143811235952;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);Boy;PVCIL;1452;46405,3140329997;1431,54800629502;51,2292455377873;,746876009703025;546,14077310732;2,67965169290687;541 to 551;6,64994399290831;,53058920239033;68,0765590087915;1,85576112099785;4634,89844404943;253,126824789112;1,16622058307661;1,92886745623086;2,08326434640644;1,07978852197194;2,24948492948305;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);Girl;PVCIL;1400;44178,3233909998;1493,86573733571;48,7707544622127;,74687600970303;552,301611500879;2,5373494982308;547 to 557;6,21128857239016;,22685390378191;67,654871951082;2,06213899634025;4577,82966455054;279,999859748203;1,06937686383442;1,84118829878334;1,89954730484713;1,03652284081443;1,96892416868155;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;Boy;PVCIL;1008;85152,2576879999;2393,52909645294;51,8597531850013;1,095269129023;512,661978148244;3,19696605175547;506 to 519;9,4273347181501;,793257217926859;77,4046485780362;2,46997383619706;5991,96355438069;381,830283952903;1,13344595113328;1,51693371049229;1,58591642116179;1,08414437819839;1,71936237229507;0;55;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;Girl;PVCIL;983;79044,932731;2296,01365057519;48,1402468149987;1,09526912902301;516,841679768315;3,27706805409814;510 to 523;10,5008336156082;,238341415582373;72,4467845912303;2,72048290523307;5248,93878150866;395,42736992338;1,04463561517289;1,92525430257233;1,96655359755901;1,02269738044683;2,01118921273189;0;55;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;Boy;PVCIL; ; ; ;51,2917599643513;,243651005791997;492,535525161219;,964173552006482;491 to 494; ; ;84,7667467731513;,701350093678836;7306,81035743179;123,06165267615; ; ; ; ; ; ; ;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;Girl;PVCIL; ; ; ;48,7082400356487;,243651005791996;508,814496375601;,904219688342457;507 to 511; ; ;78,3209491753505;,628390591083885;6265,58014854184;106,081445431952; ; ; ; ; ; ; ;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
