IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Bulgaria;PVCIV;   10,00;   90,00;SGENDER;BOY;BOY;275,705581491475;9,4542269478427;275,705581491475;9,4542269478427;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   10,00;   90,00;SGENDER;BOY;GIRL;275,705581491475;9,4542269478427;272,340753647185;13,4986853609652;-3,36482784428957;12,7765879583346;-,263358876036585;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   10,00;   90,00;SGENDER;GIRL;BOY;272,340753647185;13,4986853609652;275,705581491475;9,4542269478427;3,36482784428957;12,7765879583346;,263358876036585;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   10,00;   90,00;SGENDER;GIRL;GIRL;272,340753647185;13,4986853609652;272,340753647185;13,4986853609652;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   50,00;   90,00;SGENDER;BOY;BOY;145,318502525255;9,86626753810666;145,318502525255;9,86626753810666;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   50,00;   90,00;SGENDER;BOY;GIRL;145,318502525255;9,86626753810666;123,026518056837;9,8864187920164;-22,2919844684183;12,6286151254602;-1,76519628217001;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   50,00;   90,00;SGENDER;GIRL;BOY;123,026518056837;9,8864187920164;145,318502525255;9,86626753810666;22,2919844684183;12,6286151254602;1,76519628217001;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   50,00;   90,00;SGENDER;GIRL;GIRL;123,026518056837;9,8864187920164;123,026518056837;9,8864187920164;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   10,00;   50,00;SGENDER;BOY;BOY;108,936301458874;6,69671542379004;108,936301458874;6,69671542379004;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   10,00;   50,00;SGENDER;BOY;GIRL;108,936301458874;6,69671542379004;106,833284056193;5,54016375571103;-2,10301740268098;9,20295409384399;-,228515472448975;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   10,00;   50,00;SGENDER;GIRL;BOY;106,833284056193;5,54016375571103;108,936301458874;6,69671542379004;2,10301740268098;9,20295409384399;,228515472448975;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   10,00;   50,00;SGENDER;GIRL;GIRL;106,833284056193;5,54016375571103;106,833284056193;5,54016375571103;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
