IDCNTRY;Variable;ASRINF0_;ASRIIE0_;ASRINF0_.se;ASRIIE0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Greece;ASRINF0_;1;,813576057709793;0;,0120964371787249; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;ASRIIE0_;,813576057709793;1;,0120964371787249;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASRINF0_;1;,782663898407174;0;,0125738134367092; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASRIIE0_;,782663898407174;1;,0125738134367092;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASRINF0_;1;,8142127164285;0;,0083154784011526; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASRIIE0_;,8142127164285;1;,0083154784011526;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASRINF0_;1;,816636253846265;0;,00636767618197406; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASRIIE0_;,816636253846265;1;,00636767618197406;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;ASRINF0_;1;,806652809489332;0;,00891522424689769; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;ASRIIE0_;,806652809489332;1;,00891522424689769;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;ASRINF0_;1;,857390362598997;0;,00697236606088926; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;ASRIIE0_;,857390362598997;1;,00697236606088926;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;ASRINF0_;1;,794626983012002;0;,0101977428976803; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;ASRIIE0_;,794626983012002;1;,0101977428976803;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;ASRINF0_;1;,799851348491376;0;,0137800975587581; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;ASRIIE0_;,799851348491376;1;,0137800975587581;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;ASRINF0_;1;,794252407509396;0;,0117144615156777; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;ASRIIE0_;,794252407509396;1;,0117144615156777;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;ASRINF0_;1;,798261780973193;0;,0153701640087648; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;ASRIIE0_;,798261780973193;1;,0153701640087648;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;ASRINF0_;1;,73908041448949;0;,016184461547573; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;ASRIIE0_;,73908041448949;1;,016184461547573;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;ASRINF0_;1;,84201472003344;0;,0105645659285855; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;ASRIIE0_;,84201472003344;1;,0105645659285855;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;ASRINF0_;1;,863717369194104;0;,00662644470043385; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;ASRIIE0_;,863717369194104;1;,00662644470043385;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;ASRINF0_;1;,842965970580433;0;,00812853134198803; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;ASRIIE0_;,842965970580433;1;,00812853134198803;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Romania;ASRINF0_;1;,86057709816269;0;,0104966515089803; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Romania;ASRIIE0_;,86057709816269;1;,0104966515089803;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;ASRINF0_;1;,799502899134311;0;,0225540737645496; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;ASRIIE0_;,799502899134311;1;,0225540737645496;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;ASRINF0_;1;,839942383396766;0;,00860359801786953; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;ASRIIE0_;,839942383396766;1;,00860359801786953;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;ASRINF0_;1;,88923842567764;0;,00874912918196008; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;ASRIIE0_;,88923842567764;1;,00874912918196008;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovak Republic;ASRINF0_;1;,820970934842648;0;,0114066386606757; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovak Republic;ASRIIE0_;,820970934842648;1;,0114066386606757;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
