IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Chinese Taipei;HISCED;SGENDER;GIRL;GIRL;48,4902413424298;,573293491840893;48,4902413424298;,573293491840893;0; ; ;3,43872161183657;,0291058977257279;3,43872161183657;,0291058977257279;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;HISCED;SGENDER;BOY;BOY;47,8076300883959;1,3723399427109;47,8076300883959;1,3723399427109;0; ; ;3,13101898604708;,0857193551234021;3,13101898604708;,0857193551234021;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;HISCED;SGENDER;BOY;GIRL;47,8076300883959;1,3723399427109;52,1923699116041;1,3723399427109;4,38473982320812;2,7446798854218;1,59754142787194;3,13101898604708;,0857193551234021;2,90690808842323;,0625433932172154;-,224110897623848;,0903403632303241;-2,48073939056979;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;HISCED;SGENDER;GIRL;BOY;52,1923699116041;1,3723399427109;47,8076300883959;1,3723399427109;-4,38473982320812;2,7446798854218;-1,59754142787194;2,90690808842323;,0625433932172154;3,13101898604708;,0857193551234021;,224110897623848;,0903403632303241;2,48073939056979;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;HISCED;SGENDER;GIRL;GIRL;52,1923699116041;1,3723399427109;52,1923699116041;1,3723399427109;0; ; ;2,90690808842323;,0625433932172154;2,90690808842323;,0625433932172154;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;HISCED;SGENDER;BOY;BOY;50,3087193962221;,618332248437928;50,3087193962221;,618332248437928;0; ; ;3,76244470980581;,0353021353446135;3,76244470980581;,0353021353446135;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;HISCED;SGENDER;BOY;GIRL;50,3087193962221;,618332248437928;49,6912806037779;,618332248437942;-,617438792444233;1,23666449687587;-,499277527578451;3,76244470980581;,0353021353446135;3,76022934690567;,0254190606653258;-,00221536290013891;,0430856689926803;-,0514176279940151;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;HISCED;SGENDER;GIRL;BOY;49,6912806037779;,618332248437942;50,3087193962221;,618332248437928;,617438792444233;1,23666449687587;,499277527578451;3,76022934690567;,0254190606653258;3,76244470980581;,0353021353446135;,00221536290013891;,0430856689926803;,0514176279940151;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;HISCED;SGENDER;GIRL;GIRL;49,6912806037779;,618332248437942;49,6912806037779;,618332248437942;0; ; ;3,76022934690567;,0254190606653258;3,76022934690567;,0254190606653258;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Czech Republic;HISCED;SGENDER;BOY;BOY;53,8962126818815;,982406693037058;53,8962126818815;,982406693037058;0; ; ;3,62463560882322;,024666371515198;3,62463560882322;,024666371515198;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
