SGENDER;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;PVCIV;IDCNTRY;Austria;Greece;50,0662457551711;1,41276078401011;49,3574998774187;1,05467477640965;-,708745877752466;1,76301784359421;-,402007206182081;496,46747778714;4,51161497981699;459,738855207228;5,11499013299962;-36,728622579913;6,82039542745086;-5,38511629869537;-50 to -23;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Guatemala;50,0662457551711;1,41276078401011;51,3146493662706;1,37658682755837;1,24840361109944;1,97253246529533;,632893822060628;496,46747778714;4,51161497981699;433,770600575479;4,25777799110606;-62,696877211661;6,20349443037198;-10,1067032324073;-75 to -51;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Hong Kong, SAR;50,0662457551711;1,41276078401011;50,749858374188;3,22150643908362;,683612619016907;3,51766922405932;,194336810960307;496,46747778714;4,51161497981699;543,345770578034;8,34214673235612;46,8782927908942;9,48399081770269;4,94288677540596;28 to 65;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Indonesia;50,0662457551711;1,41276078401011;47,3113976104194;1,11621390355547;-2,75484814475168;1,80050729277262;-1,53003998140405;496,46747778714;4,51161497981699;422,953577665082;3,52998882766749;-73,5139001220584;5,72848067549908;-12,8330536989467;-85 to -62;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Ireland;50,0662457551711;1,41276078401011;51,9578088337001;1,72990419786022;1,891563078529;2,23348641513918;,846910491914108;496,46747778714;4,51161497981699;523,430711535006;5,98253899276231;26,9632337478652;7,49302625953163;3,59844378145161;12 to 42;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Italy;50,0662457551711;1,41276078401011;51,8381867170116;,770213267114702;1,7719409618405;1,60907473713198;1,10121731511292;496,46747778714;4,51161497981699;522,058539901084;3,9103149724763;25,5910621139441;5,97036287926298;4,28634952874141;14 to 37;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Korea, Republic of;50,0662457551711;1,41276078401011;56,8232795517103;2,48768596788337;6,75703379653917;2,86085205972638;2,36189556659055;496,46747778714;4,51161497981699;555,409825545922;2,2902498859974;58,9423477587817;5,05963578396906;11,6495238541744;49 to 69;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Latvia;50,0662457551711;1,41276078401011;49,7645014737314;1,2039477449584;-,30174428143971;1,85617434672157;-,162562467244879;496,46747778714;4,51161497981699;466,492774646365;4,95796571669511;-29,9747031407756;6,70343895131694;-4,47154115349806;-43 to -17;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Liechtenstein;50,0662457551711;1,41276078401011;50,4609412906356;3,13402079290668;,394695535464487;3,4377288088516;,114812877167102;496,46747778714;4,51161497981699;526,412687611306;6,22487666839037;29,9452098241654;7,68789693367307;3,89511072826758;15 to 45;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Lithuania;50,0662457551711;1,41276078401011;51,324844591267;,98751694604244;1,25859883609589;1,72368290342448;,730180031138791;496,46747778714;4,51161497981699;488,371414184833;3,36165606275186;-8,09606360230699;5,62631328761076;-1,43896423616059;-19 to 3;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Luxembourg;50,0662457551711;1,41276078401011;49,3440757516648;1,02285463884661;-,722170003506311;1,74416875475021;-,41404824019436;496,46747778714;4,51161497981699;468,923426820968;3,39804838414432;-27,544050966173;5,64813266018911;-4,87666501892162;-39 to -16;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Malta;50,0662457551711;1,41276078401011;49,7667488037695;,954261873620482;-,299496951401601;1,70484860215871;-,175673635196915;496,46747778714;4,51161497981699;473,100145514788;3,60621685279226;-23,3673322723525;5,77576572546636;-4,04575486317283;-35 to -12;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Mexico;50,0662457551711;1,41276078401011;48,0220193792927;,874350643122074;-2,04422637587838;1,66143976116043;-1,23039451905894;496,46747778714;4,51161497981699;439,132563099628;3,0628006279997;-57,3349146875125;5,45301910990457;-10,5143432531481;-68 to -47;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Netherlands;50,0662457551711;1,41276078401011;48,6802477754529;1,91665443759434;-1,38599797971825;2,38106221380016;-,582092299682589;496,46747778714;4,51161497981699;489,579265615478;10,4068515956538;-6,88821217166225;11,3427170404657;-,60728061425567;-29 to 15;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;New Zealand;50,0662457551711;1,41276078401011;48,1176519185705;1,49062976796081;-1,94859383660065;2,05374539268326;-,948800101289462;496,46747778714;4,51161497981699;501,037498930203;6,4219003690471;4,57002114306224;7,84827841479113;,582296001942212;-11 to 20;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Norway;50,0662457551711;1,41276078401011;49,125296129576;,932361476911951;-,940949625595138;1,69268749521767;-,555890929810488;496,46747778714;4,51161497981699;504,231603557076;4,46206499852265;7,76412576993557;6,34544669642334;1,22357434257731;-5 to 20;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Paraguay;50,0662457551711;1,41276078401011;47,8311506871687;1,29903360904564;-2,23509506800238;1,91921373230472;-1,1645889305504;496,46747778714;4,51161497981699;408,412511727349;3,93506492755904;-88,0549660597911;5,98660218406186;-14,7086716892965;-100 to -76;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Poland;50,0662457551711;1,41276078401011;49,76966750861;1,0836990848174;-,296578246561164;1,7805327122159;-,16656714281428;496,46747778714;4,51161497981699;520,002424443994;5,50711983520176;23,5349466568533;7,11920210454667;3,30584050167964;10 to 37;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Russian Federation;50,0662457551711;1,41276078401011;50,271924165832;1,03318874668327;,205678410660882;1,75024913058393;,117513791075138;496,46747778714;4,51161497981699;495,916527039584;3,7506498131834;-,550950747556465;5,86703023234427;-,0939062397393379;-12 to 11;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Slovak Republic;50,0662457551711;1,41276078401011;49,2916573012874;1,20561302542043;-,774588453883692;1,85725490977955;-,417060926750024;496,46747778714;4,51161497981699;519,730984957973;4,41656068581927;23,2635071708322;6,31353134288834;3,68470605551623;11 to 36;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Slovenia;50,0662457551711;1,41276078401011;50,4415238035869;,819573643104877;,375278048415757;1,63327707058816;,229769985248501;496,46747778714;4,51161497981699;501,3884137809;3,87336854477144;4,9209359937593;5,94623020154231;,82757239914508;-7 to 17;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Spain;50,0662457551711;1,41276078401011;49,2917841903522;1,14847482336423;-,774461564818897;1,8206832378913;-,42536864661635;496,46747778714;4,51161497981699;495,552709653998;4,7883696347896;-,914768133142718;6,57899334894664;-,139043784455137;-14 to 12;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Sweden;50,0662457551711;1,41276078401011;49,9043770429257;,863193794872282;-,161868712245422;1,65559553041885;-,0977706869047122;496,46747778714;4,51161497981699;527,359244244761;4,21341569393524;30,891766457621;6,17313061063905;5,00423017202662;19 to 43;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Switzerland;50,0662457551711;1,41276078401011;50,7224626281637;1,32557009839514;,656216872992609;1,93727363028462;,33873215571318;496,46747778714;4,51161497981699;528,285887211243;5,45109927481837;31,8184094241022;7,07595597993899;4,49669408830558;18 to 46;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Thailand;50,0662457551711;1,41276078401011;47,6043826801514;1,68566236078935;-2,46186307501976;2,19939778744518;-1,11933506938709;496,46747778714;4,51161497981699;426,214129734385;4,46989725031732;-70,2533480527554;6,3509567117485;-11,0618527635049;-83 to -58;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
