"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"24";"Belize";"ASRREA0";50;90;"ASBGSEX";"BOY";"BOY";145,9073508;11,0184912113188;145,9073508;11,0184912113188;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"25";"Bulgaria";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";110,8754062;7,38745533175706;110,8754062;7,38745533175706;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"26";"Bulgaria";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";110,8754062;7,38745533175706;118,5553024;7,79423524920777;7,67989620000001;9,67802772962666;0,793539387833131;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"27";"Bulgaria";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";118,5553024;7,79423524920777;110,8754062;7,38745533175706;-7,67989620000001;9,67802772962666;-0,793539387833131;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"28";"Bulgaria";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";118,5553024;7,79423524920777;118,5553024;7,79423524920777;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"29";"Bulgaria";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";198,7802776;8,16352448687845;198,7802776;8,16352448687845;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"30";"Bulgaria";"ASRREA0";10;90;"ASBGSEX";"GIRL";"BOY";198,7802776;8,16352448687845;207,4059828;9,9391153053054;8,62570520000002;10,417212425776;0,8280243166259;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"31";"Bulgaria";"ASRREA0";10;90;"ASBGSEX";"BOY";"GIRL";207,4059828;9,9391153053054;198,7802776;8,16352448687845;-8,62570520000002;10,417212425776;-0,8280243166259;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"32";"Bulgaria";"ASRREA0";10;90;"ASBGSEX";"BOY";"BOY";207,4059828;9,9391153053054;207,4059828;9,9391153053054;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"33";"Bulgaria";"ASRREA0";50;90;"ASBGSEX";"GIRL";"GIRL";87,9048714;4,7961555459743;87,9048714;4,7961555459743;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"34";"Bulgaria";"ASRREA0";50;90;"ASBGSEX";"GIRL";"BOY";87,9048714;4,7961555459743;88,8506804;5,28690616089586;0,945809000000008;6,48269906360871;0,145897409507932;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"35";"Bulgaria";"ASRREA0";50;90;"ASBGSEX";"BOY";"GIRL";88,8506804;5,28690616089586;87,9048714;4,7961555459743;-0,945809000000008;6,48269906360871;-0,145897409507932;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"36";"Bulgaria";"ASRREA0";50;90;"ASBGSEX";"BOY";"BOY";88,8506804;5,28690616089586;88,8506804;5,28690616089586;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"37";"Colombia";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";108,7585354;6,19065225887176;108,7585354;6,19065225887176;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"38";"Colombia";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";108,7585354;6,19065225887176;106,334622;13,0488382559782;-2,42391339999999;12,7618077257399;-0,189934956872222;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"39";"Colombia";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";106,334622;13,0488382559782;108,7585354;6,19065225887176;2,42391339999999;12,7618077257399;0,189934956872222;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"40";"Colombia";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";106,334622;13,0488382559782;106,334622;13,0488382559782;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"41";"Colombia";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";212,6496302;8,65706552757774;212,6496302;8,65706552757774;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"42";"Colombia";"ASRREA0";10;90;"ASBGSEX";"GIRL";"BOY";212,6496302;8,65706552757774;203,4276992;14,5620214322057;-9,22193100000004;14,3775415616113;-0,641412230351189;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"43";"Colombia";"ASRREA0";10;90;"ASBGSEX";"BOY";"GIRL";203,4276992;14,5620214322057;212,6496302;8,65706552757774;9,22193100000004;14,3775415616113;0,641412230351189;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"44";"Colombia";"ASRREA0";10;90;"ASBGSEX";"BOY";"BOY";203,4276992;14,5620214322057;203,4276992;14,5620214322057;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"45";"Colombia";"ASRREA0";50;90;"ASBGSEX";"GIRL";"GIRL";103,8910948;5,90737843927542;103,8910948;5,90737843927542;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"46";"Colombia";"ASRREA0";50;90;"ASBGSEX";"GIRL";"BOY";103,8910948;5,90737843927542;97,0930772;4,57931539446902;-6,79801760000005;6,85874333150947;-0,991146230646882;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"47";"Colombia";"ASRREA0";50;90;"ASBGSEX";"BOY";"GIRL";97,0930772;4,57931539446902;103,8910948;5,90737843927542;6,79801760000005;6,85874333150947;0,991146230646882;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"48";"Colombia";"ASRREA0";50;90;"ASBGSEX";"BOY";"BOY";97,0930772;4,57931539446902;97,0930772;4,57931539446902;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"49";"Cyprus";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";109,8377808;5,31273620094707;109,8377808;5,31273620094707;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"50";"Cyprus";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";109,8377808;5,31273620094707;117,5522062;6,09342439343729;7,71442540000001;9,86385201876972;0,782090544882505;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"51";"Cyprus";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";117,5522062;6,09342439343729;109,8377808;5,31273620094707;-7,71442540000001;9,86385201876972;-0,782090544882505;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"52";"Cyprus";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";117,5522062;6,09342439343729;117,5522062;6,09342439343729;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"53";"Cyprus";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";203,4465478;10,0727193659311;203,4465478;10,0727193659311;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"54";"Cyprus";"ASRREA0";10;90;"ASBGSEX";"GIRL";"BOY";203,4465478;10,0727193659311;211,9289856;7,07740676666551;8,4824378;12,0734822810371;0,702567627346643;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"55";"Cyprus";"ASRREA0";10;90;"ASBGSEX";"BOY";"GIRL";211,9289856;7,07740676666551;203,4465478;10,0727193659311;-8,4824378;12,0734822810371;-0,702567627346643;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"56";"Cyprus";"ASRREA0";10;90;"ASBGSEX";"BOY";"BOY";211,9289856;7,07740676666551;211,9289856;7,07740676666551;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"57";"Cyprus";"ASRREA0";50;90;"ASBGSEX";"GIRL";"GIRL";93,608767;7,61289482956374;93,608767;7,61289482956374;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"58";"Cyprus";"ASRREA0";50;90;"ASBGSEX";"GIRL";"BOY";93,608767;7,61289482956374;94,3767794;6,73764984454515;0,768012399999998;9,57311828616111;0,0802259386171208;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"59";"Cyprus";"ASRREA0";50;90;"ASBGSEX";"BOY";"GIRL";94,3767794;6,73764984454515;93,608767;7,61289482956374;-0,768012399999998;9,57311828616111;-0,0802259386171208;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"60";"Cyprus";"ASRREA0";50;90;"ASBGSEX";"BOY";"BOY";94,3767794;6,73764984454515;94,3767794;6,73764984454515;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"61";"Czech Republic";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";86,1060634;5,43784088889797;86,1060634;5,43784088889797;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
