"";"IDCNTRY";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"25";"Austria";10;"ASRREA0";"ASBG01";"Girl";"Girl";460,588878;5,52903839664492;460,588878;5,52903839664492;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"26";"Austria";10;"ASRREA0";"ASBG01";"Girl";"Boy";460,588878;5,52903839664492;447,832992;6,96227823602262;-12,755886;6,60627138676547;-1,9308752627926;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"27";"Austria";10;"ASRREA0";"ASBG01";"Boy";"Girl";447,832992;6,96227823602262;460,588878;5,52903839664492;12,755886;6,60627138676547;1,9308752627926;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"28";"Austria";10;"ASRREA0";"ASBG01";"Boy";"Boy";447,832992;6,96227823602262;447,832992;6,96227823602262;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"29";"Austria";50;"ASRREA0";"ASBG01";"Girl";"Girl";547,160858;3,24143477161175;547,160858;3,24143477161175;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"30";"Austria";50;"ASRREA0";"ASBG01";"Girl";"Boy";547,160858;3,24143477161175;543,792848;3,76941615776148;-3,36801;4,10171144338794;-0,821123096172287;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"31";"Austria";50;"ASRREA0";"ASBG01";"Boy";"Girl";543,792848;3,76941615776148;547,160858;3,24143477161175;3,36801;4,10171144338794;0,821123096172287;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"32";"Austria";50;"ASRREA0";"ASBG01";"Boy";"Boy";543,792848;3,76941615776148;543,792848;3,76941615776148;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"33";"Austria";90;"ASRREA0";"ASBG01";"Girl";"Girl";621,369634;3,79793890406568;621,369634;3,79793890406568;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"34";"Austria";90;"ASRREA0";"ASBG01";"Girl";"Boy";621,369634;3,79793890406568;618,696818;3,42397438236528;-2,67281600000001;4,37417444141475;-0,611044675011985;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
