"";"IDCNTRY";"Variable";"BSDAGE";"BSMMAT0_";"BSDAGE.se";"BSMMAT0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"28";"Hong Kong, SAR";"BSMMAT0_";-0,0722164558249477;1;0,022797185523506;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"29";"Hungary";"BSDAGE";1;-0,185152687974213;0;0,0302857798162547;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"30";"Hungary";"BSMMAT0_";-0,185152687974213;1;0,0302857798162547;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"31";"Iran, Islamic Republic of";"BSDAGE";1;-0,120993087553493;0;0,0226515718897255;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"32";"Iran, Islamic Republic of";"BSMMAT0_";-0,120993087553493;1;0,0226515718897255;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"33";"Ireland";"BSDAGE";1;-0,0341182584179103;0;0,0348635444986273;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"34";"Ireland";"BSMMAT0_";-0,0341182584179103;1;0,0348635444986273;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"35";"Israel";"BSDAGE";1;-0,0363475816959895;0;0,0171916668314425;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"36";"Israel";"BSMMAT0_";-0,0363475816959895;1;0,0171916668314425;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"37";"Italy";"BSDAGE";1;-0,0567367172705393;0;0,0259360395810614;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
