IDCNTRY;Variable;ASDHHER;ASDGSATR;ASDHHER.se;ASDGSATR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Greece;ASDGSATR;,0538790623440542;1;,0253376507600655;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASDHHER;1;,0876550336676782;0;,0129755005099915;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASDGSATR;,0876550336676782;1;,0129755005099915;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASDHHER;1;,156574185879951;0;,0190471162847146;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASDGSATR;,156574185879951;1;,0190471162847146;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASDHHER;1;,122551053672926;0;,0176441403435324;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASDGSATR;,122551053672926;1;,0176441403435324;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;ASDHHER;1;,160962875985974;0;,0307617799097253;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;ASDGSATR;,160962875985974;1;,0307617799097253;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;ASDHHER;1;,0756168526995371;0;,0258861772102218;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
