"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina, Buenos Aires";"(CONSTANT)";301,976952203989;NA;47,8443931466698;NA;6,3116476632541;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"2";"Argentina, Buenos Aires";"BSDAGE";-10,2994868689666;-0,078920606719576;3,35061946698859;0,0251913893712226;-3,07390527943878;-3,13284057328458;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"3";"Argentina, Buenos Aires";"BSDGSLM_D2";-14,1488013660492;-0,0651060560773499;5,8517190154609;0,0274835590974423;-2,41788803062253;-2,36890920300816;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"4";"Argentina, Buenos Aires";"BSDGSLM_D3";-37,8278255751922;-0,182459423002094;7,28395515038794;0,035561626899313;-5,19330841475287;-5,13079515508945;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"5";"Argentina, Buenos Aires";"BSBG01_D2";-5,61676164627815;-0,0271852253828931;5,52215430028226;0,0268030718742792;-1,01713232569236;-1,01425782501373;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"6";"Argentina, Buenos Aires";"BSSSCI0_";0,616664261987551;0,585888221461562;0,0288024274924612;0,0227388026190635;21,4101489240432;25,7660102546636;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"7";"Australia";"(CONSTANT)";161,693763252869;NA;35,675609229717;NA;4,532333623561;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"8";"Australia";"BSDAGE";-1,46344259262001;-0,00799232292417579;2,5680108922796;0,0141356215644705;-0,569873981850959;-0,565403005996162;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"9";"Australia";"BSDGSLM_D2";-17,1395079868633;-0,0980177671914613;3,2759080325801;0,0183367096081174;-5,23198692283321;-5,34543924653036;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"10";"Australia";"BSDGSLM_D3";-43,195238784103;-0,256719800037839;3,22105024794958;0,0179286783390563;-13,4102964744495;-14,318947285623;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
