"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Australia";"Girl";"BSMMAT0";5125;134620,746785001;398,137218;6,65676303580608;506,253796;4,57420547992829;608,437388;5,34010781775931;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"2";"Australia";"Boy";"BSMMAT0";4974;128480,893473001;397,788376;6,00624366719132;509,324522;4,26525375571299;611,729488;4,1831882734816;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"3";"Bahrain";"Girl";"BSMMAT0";2296;6974,170787;368,672566;7,10700461182033;461,687372;2,91065521684961;555,081594;3,80479494078935;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"4";"Bahrain";"Boy";"BSMMAT0";2618;7490,659148;338,034284;3,88941334192523;443,402434;3,36014782579219;558,734326;3,56277419406367;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"5";"Botswana";"Girl";"BSMMAT0";3026;21053,1424439999;296,508176;4,88587875231839;403,96053;2,75458060913998;497,89178;4,07005960043955;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"6";"Botswana";"Boy";"BSMMAT0";2927;20122,4970329999;265,159086;5,29861525495824;383,829024;3,59608471281835;492,489396;3,80066427671482;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"7";"Canada";"Girl";"BSMMAT0";4389;113351,146068001;435,566202;3,83680496733075;529,43225;2,75872507810942;609,002784;2,81497978838498;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"8";"Canada";"Boy";"BSMMAT0";4229;110435,749958;433,355528;5,79905445069828;535,125916;2,95705318531744;619,067652;3,21537350848289;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"9";"Chile";"Girl";"BSMMAT0";2305;114404,713621999;316,723026;6,33097177140017;418,671428;4,74759868548975;519,125464;5,18352498802173;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"10";"Chile";"Boy";"BSMMAT0";2505;125719,476250999;332,499944;6,15420867827425;436,424314;4,5494561760551;542,370188;6,81794579988459;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"11";"Chinese Taipei";"Girl";"BSMMAT0";2794;129948,081946;465,305694;5,27356159616876;609,874582;3,6795506540587;710,815776;3,8752244776382;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"12";"Chinese Taipei";"Boy";"BSMMAT0";2912;136777,483787;454,719;5,8814046155064;613,974172;3,61999404498742;717,340078;4,00619716749989;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"13";"Georgia";"Girl";"BSMMAT0";1931;18387,096427;338,417844;8,58510127787062;457,756346;5,79745796315989;563,474428;5,51840244612817;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"14";"Georgia";"Boy";"BSMMAT0";2098;20545,838587;326,709278;6,9732188001377;453,888878;4,77961212038424;575,637594;5,40790720245419;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"15";"Hong Kong, SAR";"Girl";"BSMMAT0";1968;28072,2209530001;497,14825;10,8100683255181;598,463086;4,46746697166255;677,368738;6,86144059010889;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"16";"Hong Kong, SAR";"Boy";"BSMMAT0";2178;31087,4693180001;481,459938;13,2521494570403;606,951602;5,31897468150063;693,558996;5,46559555152738;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"17";"Hungary";"Girl";"BSMMAT0";2471;42188,3675729997;384,780506;8,55387421330861;515,490122;6,05354943471961;625,108848;5,56559398875486;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"18";"Hungary";"Boy";"BSMMAT0";2419;42805,0594429997;397,380284;7,15906551957557;521,527368;5,04122679267994;639,311224;6,96370525427494;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"19";"Iran, Islamic Republic of";"Girl";"BSMMAT0";2999;456937,280395;322,496774;6,70567555402258;436,595746;6,24224426944876;556,119448;8,41804509879011;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"20";"Iran, Islamic Republic of";"Boy";"BSMMAT0";3128;502908,071036996;310,400698;5,11699851726421;431,081312;7,88603173273694;563,652168;13,6562208965019;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"21";"Ireland";"Girl";"BSMMAT0";2408;29230,035364;426,931638;5,99269495726872;527,388044;2,97355669909556;606,461382;3,34173291644676;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"22";"Ireland";"Boy";"BSMMAT0";2264;28921,349025;424,814166;7,50999390570897;532,348946;4,04416637643975;619,25329;4,98979969324216;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"23";"Israel";"Girl";"BSMMAT0";2691;46926,15975;376,883946;7,06052118132622;517,388356;5,28718495187615;631,076192;5,50014600451065;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"24";"Israel";"Boy";"BSMMAT0";2796;48406,4790259999;367,918354;7,63792263454963;520,900856;6,24495436857039;642,438526;4,96559151441363;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"25";"Italy";"Girl";"BSMMAT0";2213;258693,1684;393,991462;6,05738667108301;493,811364;3,18845383390071;583,647468;5,60165589350627;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"26";"Italy";"Boy";"BSMMAT0";2255;268547,418542;398,67957;5,46432544271476;501,668452;3,61925649979443;592,51291;5,52294610393858;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"27";"Japan";"Girl";"BSMMAT0";2417;583547,369178999;472,43579;5,57115816690749;589,433702;3,1636221505173;698,55375;6,13004160225032;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"28";"Japan";"Boy";"BSMMAT0";2325;560322,202065997;467,404394;6,49809715975192;587,610692;3,52078877508206;700,33792;5,91428310208346;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"29";"Kazakhstan";"Girl";"BSMMAT0";2387;114422,142459;410,105288;8,05588957901385;532,102538;7,38779946050136;648,804018;8,87670807626081;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"30";"Kazakhstan";"Boy";"BSMMAT0";2500;116903,789789001;398,509548;7,56014973589373;527,230842;6,46340837513182;643,116856;7,05986233335083;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"31";"Jordan";"Girl";"BSMMAT0";4278;62850,4691020001;278,210844;6,47393298319698;396,49981;5,15979028294173;508,084922;5,11097841861068;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"32";"Jordan";"Boy";"BSMMAT0";3585;61671,64772;249,12406;7,60552519717146;377,62495;6,05780746662354;501,768888;5,62040501838297;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"33";"Korea, Republic of";"Girl";"BSMMAT0";2605;268958,512374001;497,20833;4,72236012503072;609,306376;3,34111252817469;706,270258;5,86543041355313;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"34";"Korea, Republic of";"Boy";"BSMMAT0";2703;298298,363421999;486,05628;4,44227000508076;613,799702;3,5396545702913;714,644418;5,09126878830843;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"35";"Kuwait";"Girl";"BSMMAT0";2132;18302,778577;292,768408;7,94765237000109;393,762144;4,41397721688682;501,55364;7,13657682985756;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"36";"Kuwait";"Boy";"BSMMAT0";2044;17799,7940429999;266,993724;10,1727827615444;383,213544;8,7428341410921;522,007546;15,207722618958;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"37";"Lebanon";"Girl";"BSMMAT0";2075;31692,8381070001;344,479238;5,1068974117554;441,08326;5,29911626111563;537,806582;3,57601674205863;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"38";"Lebanon";"Boy";"BSMMAT0";1792;27680,3869960001;344,654374;8,22134679610258;445,494392;5,64658816798639;540,886422;6,74230666055423;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"39";"Lithuania";"Girl";"BSMMAT0";2101;13528,543494;409,852398;7,12863226407519;514,171928;4,89206861577438;604,84586;4,6122294326194;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"40";"Lithuania";"Boy";"BSMMAT0";2238;13687,149722;407,916106;5,67892344035692;514,891742;3,64446458809437;611,52308;5,18013350224488;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"41";"Malaysia";"Girl";"BSMMAT0";5014;222157,864403998;357,439348;7,05849754945726;471,885672;5,78175437070563;579,37778;3,47849455065553;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"42";"Malaysia";"Boy";"BSMMAT0";4710;224666,645077;348,529888;5,85090860120663;456,246868;4,27157434453552;581,137686;3,64194351158912;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"43";"Malta";"Girl";"BSMMAT0";1878;1943,486073;375,57671;3,72211239299941;504,725912;2,73347762137425;598,221024;4,53106156042339;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"44";"Malta";"Boy";"BSMMAT0";1930;2027,248377;364,97075;4,7230001526593;502,75755;2,61751365207519;604,183322;2,99914457060575;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"45";"Morocco";"Girl";"BSMMAT0";6194;206453,987628999;285,641224;3,52920411715531;380,784612;3,41839256570161;494,554894;3,47348234428879;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"46";"Morocco";"Boy";"BSMMAT0";6751;240692,768951999;283,087872;3,83096431675551;380,62933;3,36541994437843;490,141432;3,93411025835369;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"47";"Oman";"Girl";"BSMMAT0";4365;22252,232033;305,316528;5,6307975623471;419,887056;2,85878387416328;535,513866;4,20161592397455;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"48";"Oman";"Boy";"BSMMAT0";4492;24136,5103650002;256,302666;5,13928446480307;389,083442;4,14690428104074;518,568014;4,81684544671056;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"49";"New Zealand";"Girl";"BSMMAT0";4239;28259,456839;383,64756;5,1400642686274;496,72371;2,73933472431538;599,770732;3,95641903825465;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"50";"New Zealand";"Boy";"BSMMAT0";3762;26725,0921650001;369,533132;8,27439347589803;491,538846;4,74880852997634;613,393634;8,05265026128142;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"51";"Norway";"Girl";"BSMMAT0";2340;29574,127337;420,14939;4,83519205298507;514,47338;3,46870432671626;598,194216;4,57152315261624;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"52";"Norway";"Boy";"BSMMAT0";2328;29591,0307089999;419,882404;4,11941411047324;515,239618;2,92697846926893;601,61121;5,33846335166124;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"53";"Qatar";"Girl";"BSMMAT0";2670;7869,453413;315,348552;5,25743711809603;438,404126;4,31683939184747;567,91955;6,56648495395678;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"54";"Qatar";"Boy";"BSMMAT0";2719;7736,157187;294,368178;7,64419552599251;434,258428;5,93423710067805;577,095718;6,9467724616705;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"55";"Russian Federation";"Girl";"BSMMAT0";2294;612120,75908;422,93186;7,08016264477167;537,265452;5,37754993238966;637,326364;5,2398932462118;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"56";"Russian Federation";"Boy";"BSMMAT0";2484;644959,881427;434,07328;6,14340275577063;546,080454;5,97652253746329;643,803142;5,56760940092011;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"57";"Saudi Arabia";"Girl";"BSMMAT0";1998;188431,888283001;275,292834;7,04656778304772;372,734256;5,43706108301314;477,006374;8,52083124052496;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"58";"Saudi Arabia";"Boy";"BSMMAT0";1761;180137,842619999;244,628998;11,6349339384714;354,800112;7,80939317339089;484,782972;11,9328642904436;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"59";"Singapore";"Girl";"BSMMAT0";2977;23081,114875;519,549752;10,1243725071262;638,80469;4,41273769816427;712,184378;3,27097694352991;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"60";"Singapore";"Boy";"BSMMAT0";3136;24493,8970820001;492,00538;9,42240568838447;628,88505;4,26141818572995;718,285804;3,20617135613422;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"61";"Slovenia";"Girl";"BSMMAT0";2049;8250,432326;424,388486;5,82436626481081;516,733844;3,61746728516604;602,819002;5,06271888573366;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
