IDCNTRY;Variable;RASDHHER;RASDGSATR;RASDHHER.se;RASDGSATR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Greece;RASDHHER;1;,0626617855950879;0;,0255031335701698; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;RASDGSATR;,0626617855950879;1;,0255031335701698;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;RASDHHER;1;,0893660512087636;0;,0133187383066996; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;RASDGSATR;,0893660512087636;1;,0133187383066996;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;RASDHHER;1;,167125593899783;0;,0191032165215239; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;RASDGSATR;,167125593899783;1;,0191032165215239;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;RASDHHER;1;,125198149566183;0;,0182162044589851; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;RASDGSATR;,125198149566183;1;,0182162044589851;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;RASDHHER;1;,159273674779787;0;,0313189865453243; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;RASDGSATR;,159273674779787;1;,0313189865453243;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
