"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"19";"Egypt";"BSSSCI0_";1341003,23847701;370,776691426222;114,632139214076;19723,9812355888;4,30149123225408;1,87657089856685;7822;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"20";"Egypt";"BSMALG0_";1341003,23847701;419,700056375658;99,6679925973795;19723,9812355888;4,330086033545;2,36238668668786;7822;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"21";"England";"BSSSCI0_";559953,906889;536,629973290652;81,2427525098572;12326,6598805653;3,81052845336961;2,29803288995069;4814;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"22";"England";"BSMALG0_";559953,906889;492,424149649211;90,0201533524011;12326,6598805653;4,68674158293114;2,79194314431446;4814;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"23";"Georgia";"BSSSCI0_";38990,0498099997;443,165909943642;86,5986568890381;1153,70743414934;3,12639992121636;1,70021612074076;4035;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"24";"Georgia";"BSMALG0_";38990,0498099997;468,702432454011;94,7980483390543;1153,70743414934;3,77734577105785;1,75127352960326;4035;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"25";"Hong Kong, SAR";"BSSSCI0_";59247,5816299993;545,760354704954;71,5118694365221;907,593454351682;3,92282731763785;2,22841741748725;4155;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"26";"Hong Kong, SAR";"BSMALG0_";59247,5816299993;593,002721270141;79,071998738047;907,593454351682;4,69936668485212;2,91275237404053;4155;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"27";"Hungary";"BSSSCI0_";85027,457018001;527,259808965477;85,3891002012649;2138,53420740497;3,37890401454633;2,27824445733752;4893;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"28";"Hungary";"BSMALG0_";85027,457018001;502,822074205714;96,0408799336341;2138,53420740497;4,1187398802429;2,31819728401386;4893;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"29";"Iran, Islamic Republic of";"BSSSCI0_";960204,244539017;456,424689178263;89,3930613131083;10483,1389012594;4,00952525405257;2,3482542432131;6130;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"30";"Iran, Islamic Republic of";"BSMALG0_";960204,244539017;437,363370736579;100,23671038823;10483,1389012594;5,13120111660234;3,2653886399165;6130;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"31";"Ireland";"BSSSCI0_";58551,1945740001;530,096870834926;79,9693753960997;1065,71819270557;2,82361191415245;2,53133431617406;4704;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"32";"Ireland";"BSMALG0_";58551,1945740001;500,995014026344;77,6005612370479;1065,71819270557;2,81180766619603;1,71579703725717;4704;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"33";"Israel";"BSSSCI0_";95792,142008;506,730694515607;104,220010240666;1456,0024483404;3,90451298755254;2,4581698186445;5512;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"34";"Israel";"BSMALG0_";95792,142008;517,071569729453;110,304999879461;1456,0024483404;4,65104454625462;2,65103793255888;5512;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"35";"Italy";"BSSSCI0_";528838,939369001;498,925771493011;75,7448661148364;6213,44626956157;2,41832690044268;1,66070397435216;4481;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"36";"Italy";"BSMALG0_";528838,939369001;481,338026278896;76,0319126521566;6213,44626956157;2,97803277710548;1,67466348405718;4481;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"37";"Japan";"BSSSCI0_";1144520,34027801;570,899510948754;74,7856276384614;16523,0744453886;1,79507529112223;1,30721123621026;4745;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"38";"Japan";"BSMALG0_";1144520,34027801;595,90228933092;100,769635636243;16523,0744453886;2,81049401078934;1,27889552875664;4745;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"39";"Jordan";"BSSSCI0_";124577,627920001;426,164331668418;101,145341660645;2582,06840739728;3,36625779298634;2,14540705490957;7865;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"40";"Jordan";"BSMALG0_";124577,627920001;417,572177258332;97,769412222956;2582,06840739728;3,52001818837268;1,96595249536977;7865;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"41";"Kazakhstan";"BSSSCI0_";231325,932247998;532,586054246087;90,0110335424652;6229,448125146;4,44524823824853;2,46909733463886;4887;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"42";"Kazakhstan";"BSMALG0_";231325,932247998;554,755039373124;100,492844912566;6229,448125146;5,63619382983898;2,9029241049205;4887;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
