IDCNTRY;S_SEX;dvar;n;TOTWGTS;p10;p10_se;p50;p50_se;p90;p90_se;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
United States;Boy;PVCIL;3437;1950047,62189799;394,700167073393;3,76231360168784;513,839229955284;2,73157599001507;610,028728415121;3,72279068047756;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;Girl;PVCIL;3346;1900959,74380799;428,806475723104;5,06696105357897;537,753778092959;2,32209564853054;621,100565719521;2,62396645435236;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;Boy;PVCIL;1313;22833,516943;308,572178881003;8,08243034897675;453,535680833813;10,0676273092599;577,417243051683;7,2662104259857;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;Girl;PVCIL;1300;23489,922278;324,950552260929;8,54617539152353;456,711693219731;7,56605585388333;576,868114970222;5,87951155807047;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);Boy;PVCIL;1452;46405,3140329999;454,920616094892;6,24181904834129;552,362997053524;4,58232840656611;626,249305972546;3,23397209713046;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);Girl;PVCIL;1400;44178,3233909999;459,932627208028;7,41561971538133;558,241736881375;3,78659326922258;633,133883083409;3,64146456098579;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;Boy;PVCIL;1008;85152,2576879999;412,499560197375;10,4861716906781;516,664713615343;4,99032087784635;609,083951028366;4,82685172267794;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;Girl;PVCIL;983;79044,9327309998;422,988627191217;8,25927980540002;522,399661406472;3,57261737025297;604,313840040147;4,32566564915077;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;Boy;PVCIL; ; ;378,364224373622;2,14977423073926;499,596333356728;1,37874395287334;595,294391751111;1,42268423360302;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;Girl;PVCIL; ; ;404,80822196117;2,16806421240619;514,787417486848;1,20026291246604;604,198235976129;1,36203779077376;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
