"";"S_SEX";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"23";"Boy";10;"PVCIL";"IDCNTRY";"Denmark";"Luxembourg";447,673843692806;5,42640167262488;351,255707828535;3,47989038823997;-96,418135864271;6,44635340536268;-14,957004340479;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"24";"Boy";10;"PVCIL";"IDCNTRY";"Denmark";"Portugal";447,673843692806;5,42640167262488;416,159710799135;7,76790772448596;-31,5141328936712;9,47555937814727;-3,32583350871609;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"25";"Boy";10;"PVCIL";"IDCNTRY";"Denmark";"United States";447,673843692806;5,42640167262488;394,700167073393;3,76231360168784;-52,9736766194128;6,60309311990309;-8,0225548326343;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"26";"Boy";10;"PVCIL";"IDCNTRY";"Denmark";"Uruguay";447,673843692806;5,42640167262488;308,572178881003;8,08243034897675;-139,101664811803;9,73506627911318;-14,2887229345576;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"27";"Boy";10;"PVCIL";"IDCNTRY";"Denmark";"Russian Federation (Moscow)";447,673843692806;5,42640167262488;454,920616094892;6,24181904834129;7,24677240208623;8,27080045369868;0,876187551937067;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"28";"Boy";10;"PVCIL";"IDCNTRY";"Denmark";"Germany, North-Rhine Westphalia";447,673843692806;5,42640167262488;412,499560197375;10,4861716906781;-35,1742834954308;11,8070162123648;-2,97910012680382;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"29";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Chile";401,847594564067;8,11452624483247;356,748840334818;10,3271404461245;-45,0987542292498;13,13374912095;-3,43380658591319;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"30";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Denmark";401,847594564067;8,11452624483247;447,673843692806;5,42640167262488;45,8262491287386;9,76172993330286;4,69448032693457;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"31";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Finland";401,847594564067;8,11452624483247;401,847594564067;8,11452624483247;0;11,4756730676745;0;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"32";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"France";401,847594564067;8,11452624483247;375,876259407685;6,97265202985136;-25,9713351563822;10,6987575216688;-2,4275094658217;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"33";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Germany";401,847594564067;8,11452624483247;393,66165248209;11,0348106346754;-8,18594208197741;13,6971742312501;-0,597637289544087;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"34";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Italy";401,847594564067;8,11452624483247;342,846392289225;9,1927311153872;-59,001202274842;12,2618041714049;-4,81178800852451;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"35";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Kazakhstan";401,847594564067;8,11452624483247;250,202041602083;9,04714774072294;-151,645552961984;12,1530415296148;-12,4779918337685;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"36";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Korea, Republic of";401,847594564067;8,11452624483247;390,134575983595;8,14159736326727;-11,7130185804728;11,4948311776918;-1,0189813490436;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"37";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Luxembourg";401,847594564067;8,11452624483247;351,255707828535;3,47989038823997;-50,5918867355324;8,82922268901628;-5,73004991690488;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"38";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Portugal";401,847594564067;8,11452624483247;416,159710799135;7,76790772448596;14,3121162350674;11,2332509361361;1,27408497472685;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"39";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"United States";401,847594564067;8,11452624483247;394,700167073393;3,76231360168784;-7,1474274906742;8,94430208655322;-0,799103990619859;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"40";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Uruguay";401,847594564067;8,11452624483247;308,572178881003;8,08243034897675;-93,275415683064;11,4530003284788;-8,14419043114208;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"41";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Russian Federation (Moscow)";401,847594564067;8,11452624483247;454,920616094892;6,24181904834129;53,0730215308248;10,2374724033968;5,18419190201824;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"42";"Boy";10;"PVCIL";"IDCNTRY";"Finland";"Germany, North-Rhine Westphalia";401,847594564067;8,11452624483247;412,499560197375;10,4861716906781;10,6519656333078;13,2591603393448;0,803366530058429;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"43";"Boy";10;"PVCIL";"IDCNTRY";"France";"Chile";375,876259407685;6,97265202985136;356,748840334818;10,3271404461245;-19,1274190728676;12,4606462963753;-1,53502624325607;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
