IDCNTRY;S_SEX;xvar;n;TOTWGTS;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Italy;Boy;S_HISCED;1441;277884,614840999;5757,17182741837;283506,724730999;5570,4667268003;52,2967850632455;,663377580808835;52,3921695888304;,63552022060743;2,63774393536469;,0377251713309468;1,08860671420004;,0182313932777622;1,18506457820141;,0397225589994561;1,73055101053773;1,98306050600191;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;Girl;S_HISCED;1317;253476,183925;5371,94697379381;257617,506153;5278,91606616088;47,7032149367545;,663377580808864;47,6078304111696;,635520220607405;2,60193829578539;,040443477289076;1,13118764590621;,018974345006093;1,27958549025083;,0429356967035277;1,68350125939477;1,60754689766326;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Boy;S_HISCED;1726;115199,980633;2993,82886220555;116015,834845;2995,69254126597;51,6264179277943;,675688311911232;51,6883976550375;,677974997633227;2,92054006672829;,0353076792519436;1,0144014117122;,0159189590801933;1,0290102240837;,0323138530520584;2,09102606687213;,703226600998048;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Girl;S_HISCED;1624;107941,552824;3197,39929636757;108436,537657;3203,76680558534;48,3735820722057;,675688311911242;48,3116023449625;,677974997633226;2,87263381053618;,0378690725666233;1,03166112666321;,0248216619070702;1,064324680268;,0514523048053075;2,18817086011085;,456474214038175;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Boy;S_HISCED;1480;230509,057507998;6182,87395172657;233084,104587998;6159,47232773021;52,8533798813279;,894623957772262;53,0118436683691;,887449773185701;3,52494785227606;,0344462429377208;,834556827202782;,0220717108377985;,696485097830774;,0368285687439832;2,52135273418715;1,10477163792515;60;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Girl;S_HISCED;1370;205620,208066998;5771,45758123271;206598,970850998;5786,54520716028;47,1466201186721;,894623957772276;46,9881563316309;,887449773185701;3,50445122483392;,0309149786593718;,844132561258998;,0205919502305549;,712559780977676;,0347410578777952;1,83754153055254;,473750077247915;62;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;Boy;S_HISCED;2564;2947,23891;44,5751962008022;3276,181786;40,400172942025;52,15982393194;,716578984912026;52,7094470116788;,65086182943231;2,75566953613543;,0259057673998659;1,2972030096679;,0129515033796057;1,68273564829146;,0336476457989115;1,02257471362175;10,0404341848691;36;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;Girl;S_HISCED;2345;2703,161509;41,435208594186;2939,367744;40,6547824908434;47,84017606806;,716578984912065;47,2905529883212;,650861829432312;2,7774628090119;,0231409985615958;1,25826611758138;,0119130350903976;1,58323362265332;,0299596671229997;,7931622452084;8,03595383674456;38;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;Boy;S_HISCED;1639;50449,0964880001;1516,1634079044;50935,035546;1522,78123288056;51,4143780841188;1,01166858133855;51,4041265361389;1,03934868328128;2,36263908758706;,051395346441216;1,36165030764331;,0197918483028546;1,85409156030512;,053925284993954;2,33504563301308;,954036946849959;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;Girl;S_HISCED;1553;47673,4489320001;1394,1925034962;48152,4093310001;1454,69013360041;48,5856219158812;1,01166858133856;48,5958734638611;1,03934868328128;2,33243703998856;,0563850815841776;1,427639471946;,0213000979865879;2,03815446185826;,060710936625999;2,42249443494994;,99467587531835;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
