"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Azerbaijan, Republic of";"Girl";"BSMMAT0";2892;69154,4222619997;1807,39592870461;48,173025775456;0,831822972665367;479,230741333356;3,96343210876254;"471 to 487";14,8967420353449;0,812052045424906;99,6040307682824;2,9627053892268;9923,77074143964;588,504674914367;1,23664941246195;3,70184147788377;4,3412306761903;1,05451205662944;4,57788008865226;0;99;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"2";"Azerbaijan, Republic of";"Boy";"BSMMAT0";3122;74399,8202809998;1806,04406263086;51,826974224544;0,831822972665368;477,633691796743;4,48737248069863;"469 to 486";18,4583771822476;1,67813459828378;104,886797386973;3,07828421164779;11003,599191524;645,523717782471;1,47612932138401;3,87041887971096;5,23710947299558;1,09091452524319;5,71323879437958;0;99;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"3";"Australia";"Girl";"BSMMAT0";3779;133979,701064001;5912,89635456988;46,0780289547813;1,63565385876896;502,576565859101;4,44651128104327;"494 to 511";19,226964600001;0,544497972444013;90,4689556631468;2,91065543748227;8185,416740904;526,728151660683;1,25138095017001;7,29432910857927;8,87660354057666;1,02831949731909;9,12798449074667;0;122;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"4";"Australia";"Boy";"BSMMAT0";4053;150235,162452001;5633,65240804972;51,668574496839;1,65691747303072;518,048017093291;4,24196183345315;"510 to 526";16,1973490642756;1,79689113219755;94,6249903029852;2,58508987643619;8955,08628932218;488,838409694807;1,81325846826071;4,49138855268385;7,33078985914251;1,11093735925965;8,14404832740322;0;125;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"5";"Australia";"<Other>";"BSMMAT0";185;6552,133474;636,670533090986;2,25339654837969;0,203241387639566;477,078375894415;10,9693994155353;"456 to 499";112,602234866792;7,72548867075534;97,1135719751465;6,8856001109767;9434,17916836133;1336,73964530583;1,1514933497217;2,04914115067659;2,20807905792346;1,06860866198521;2,35957240764516;0;84;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"6";"Austria";"Girl";"BSMMAT0";2257;37824,578538;1031,35318056622;47,8333494401682;0,990796153505148;508,790352461001;2,47289667923153;"504 to 514";5,50956397291178;0,605654013242557;73,2657021507397;2,1119199637227;5368,65173819527;309,526537021992;1,25461906909759;2,04911524907125;2,31623999716586;1,10992775766291;2,57085906626345;0;79;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"7";"Austria";"Boy";"BSMMAT0";2259;39694,8252949999;1052,94776953764;50,1984826452096;0,990161010649341;515,367280603892;2,85469821466431;"510 to 521";6,97682159566307;1,17248030114456;74,5465410990304;1,85244663198602;5557,49778467261;276,260360733165;1,47658732453127;2,24335603066827;2,83592375476427;1,16805364521194;3,31251107929554;0;79;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"8";"Austria";"<Other>";"BSMMAT0";102;1556,343487;180,041021382816;1,96816791462225;0,229370550431671;517,452970065257;6,81653352473533;"504 to 531";42,4539140772835;4,0112152165571;65,5939630566955;4,91966578874139;4304,03388197481;644,934734172659;1,09506057882172;1,00557274833092;1,00610249701288;1,09448399055161;1,10116307583461;0;50;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"9";"Bahrain";"Girl";"BSMMAT0";2458;9059,510484;163,220863709469;49,7876094282282;0,789525201696447;431,251219842871;2,74269743660374;"426 to 437";5,06619659514919;2,45619263360351;91,993003067654;1,97302516113582;8463,93417954468;361,876627360205;1,7132996742801;1,27506425245468;1,47126749413671;1,48481984215837;2,18456716841681;0;70;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"10";"Bahrain";"Boy";"BSMMAT0";2676;9136,805001;144,70115109121;50,2123905717718;0,789525201696447;423,198782540246;3,6593127845747;"416 to 430";12,3751559702937;1,01541408505813;105,730067031121;2,15021667761562;11179,497965098;454,60744475371;1,24305636085795;2,57852919826583;2,96220076070434;1,08205262927559;3,20525712156228;0;73;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"11";"Brazil";"Girl";"BSMMAT0";11168;1247291,69561499;25245,2579454675;49,0237126866669;0,559422958431892;367,431520814768;2,80354672713355;"362 to 373";7,43470259303535;0,425171658185891;85,8261056174875;2,86301005051144;7366,31004346659;491,098754211451;1,64459913451939;7,24571006214509;11,2716893626628;1,05718744668875;11,9162884971822;0;125;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"12";"Brazil";"Boy";"BSMMAT0";11162;1256192,93667199;21240,2922195531;49,3735682061634;0,553700048969045;388,491793067152;3,26940282253063;"382 to 395";8,95678566413202;1,73220915183925;90,6776772143258;3,09816869300341;8222,73448633164;561,559513546316;3,35139765061969;4,32948916100812;12,1584421519663;1,19339629380392;14,509839802586;0;125;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"13";"Brazil";"<Other>";"BSMMAT0";380;40777,3733;4688,14449733484;1,60271910716964;0,181408453103637;389,321747076805;9,49222724481529;"371 to 408";81,009357757579;9,0930203096346;85,9880324363747;6,42184030579468;7407,59009011237;1108,13023803324;1,46646043795989;3,15190091956891;4,15567756495731;1,11224654239138;4,6221380029172;0;113;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
"14";"Chile";"Girl";"BSMMAT0";2093;114294,286475;3487,7176650722;46,9490667886146;1,10310706639687;404,066359362215;3,43725233265324;"397 to 411";9,18651865059325;2,62818494773687;81,9895668980729;1,95585363513928;6722,88164192525;320,923456170384;1,8182192382072;2,02297420441939;2,85999137866504;1,28609150513913;3,67821061687224;0;85;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h 9m";"NONE"
