IDCNTRY;Variable;ASDAGE;ASRREA0_;ASDAGE.se;ASRREA0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Slovenia;ASRREA0_;-,0624549597153154;1;,0273217806953951;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;ASDAGE;1;-,168515921843064;0;,02540659176855;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;ASRREA0_;-,168515921843064;1;,02540659176855;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);ASDAGE;1;-,20019362027057;0;,0209297023647072;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);ASRREA0_;-,20019362027057;1;,0209297023647072;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);ASDAGE;1;,0556519749517975;0;,0355971961118184;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);ASRREA0_;,0556519749517975;1;,0355971961118184;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;ASDAGE;1;-,0823847646128592;0;,0197072014797828;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;ASRREA0_;-,0823847646128592;1;,0197072014797828;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);ASDAGE;1;-,115518076696081;0;,0275868641818949;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);ASRREA0_;-,115518076696081;1;,0275868641818949;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid;ASDAGE;1;-,058080537669003;0;,0238668942523996;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid;ASRREA0_;-,058080537669003;1;,0238668942523996;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid, Bilingual;ASDAGE;1;-,0666886988208862;0;,034198158875137;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid, Bilingual;ASRREA0_;-,0666886988208862;1;,034198158875137;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;ASDAGE;1;,00599270193297487;0;,0227426354545337;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;ASRREA0_;,00599270193297487;1;,0227426354545337;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;ASDAGE;1;-,270153872613565;0;,0217621087835814;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;ASRREA0_;-,270153872613565;1;,0217621087835814;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;ASDAGE;1;,150785568513515;0;,0112391417768587;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;ASRREA0_;,150785568513515;1;,0112391417768587;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);ASDAGE;1;,118114860949271;0;,0287625714213784;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);ASRREA0_;,118114860949271;1;,0287625714213784;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);ASDAGE;1;,171259026870725;0;,0121295236426163;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);ASRREA0_;,171259026870725;1;,0121295236426163;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United States;ASDAGE;1;-,0443331587159354;0;,0252400306343757;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United States;ASRREA0_;-,0443331587159354;1;,0252400306343757;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Table Average;ASDAGE;1;-,0424017560090898;0;,00292277044026016;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Table Average;ASRREA0_;-,0424017560090898;1;,00292277044026016;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
