IDCNTRY;Variable;RBSDGHER;RBSDGSLM;RBSDGHER.se;RBSDGSLM.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina, Buenos Aires;RBSDGHER;1;-,0144893936014285;0;,0219394636244532; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Argentina, Buenos Aires;RBSDGSLM;-,0144893936014285;1;,0219394636244532;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;RBSDGHER;1;,0915567460958989;0;,0143747550093997; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;RBSDGSLM;,0915567460958989;1;,0143747550093997;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;RBSDGHER;1;,0438724026772064;0;,0170026435841113; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;RBSDGSLM;,0438724026772064;1;,0170026435841113;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;RBSDGHER;1;-,00953819379619448;0;,0179102187945466; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;RBSDGSLM;-,00953819379619448;1;,0179102187945466;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;RBSDGHER;1;,11345087214988;0;,0163878818588519; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;RBSDGSLM;,11345087214988;1;,0163878818588519;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);RBSDGHER;1;,128881513324114;0;,0190218468739618; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);RBSDGSLM;,128881513324114;1;,0190218468739618;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);RBSDGHER;1;,0535108497559113;0;,0255830737569729; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);RBSDGSLM;,0535108497559113;1;,0255830737569729;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;RBSDGHER;1;,00573107149694206;0;,0182631397842209; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;RBSDGSLM;,00573107149694206;1;,0182631397842209;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;RBSDGHER;1;,141845771110454;0;,0152920041403321; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;RBSDGSLM;,141845771110454;1;,0152920041403321;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;RBSDGHER;1;,0586528482107678;0;,0151753441273402; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;RBSDGSLM;,0586528482107678;1;,0151753441273402;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
England;RBSDGHER;1;,112474736342155;0;,0193117297797133; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
