IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Chinese Taipei;RBSDGHER;2861,00939183437;1286,52182583053;266312,570877003;5698;2245,19983899513;30,3305209405546;20,4805391415783; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;RBSDGSLM;2870,94194803003;1458,51926704151;266312,570877003;5698;2245,19983899513;29,0799720368688;7,96702181112311; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;RBSDGHER;3846,49177990533;1788,81625513483;1291716,503656;7559;19515,6631858903;40,9730991194018;20,0024686478838; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;RBSDGSLM;3773,53429883146;2024,76921583779;1291716,503656;7559;19515,6631858903;64,829930560792;15,3997094066639; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
England;RBSDGHER;2361,11871726622;1009,53612687249;544076,167848998;4701;12939,6671734505;27,1272522381307;17,6857599933074; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
England;RBSDGSLM;2346,57226083584;1240,02947160491;544076,167848998;4701;12939,6671734505;36,2650497589832;8,45304095017401; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;RBSDGHER;2055,2580881405;913,899214839139;38052,542902;3948;1082,49724557559;24,0497460641268;15,615044829336; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;RBSDGSLM;1950,35880507422;1057,02989466287;38052,542902;3948;1082,49724557559;33,3686605900402;9,03572339375119; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;RBSDGHER;2024,98695303044;921,592277795032;58885,4207719987;4126;906,960294116432;31,0343806768739;17,2011139678837; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;RBSDGSLM;2066,51204975721;1090,85506808341;58885,4207719987;4126;906,960294116432;23,043276795188;5,31874088977893; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;RBSDGHER;2567,86865813793;1126,60812539307;84820,4167990007;4882;2138,93921406422;42,6671353605831;20,7037182065044; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;RBSDGSLM;2439,05031699312;1238,44457135661;84820,4167990007;4882;2138,93921406422;34,0354073029547;10,317108858908; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
