"";"BSBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"15";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Hungary";48,173025775456;0,831822972665367;50,0449628194721;1,04643938598453;1,87193704401619;1,33677404462891;1,40033916093564;479,230741333356;3,96343210876254;498,146792468549;3,84025635743181;18,9160511351922;5,51872838356494;3,42761046032365;"8 to 30";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"16";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Iran, Islamic Republic of";48,173025775456;0,831822972665367;48,5497587372755;1,37934248169335;0,376732961819526;1,61074986874369;0,233886694098172;479,230741333356;3,96343210876254;423,176713405812;5,48667921717992;-56,0540279275444;6,7684889682265;-8,28161620572632;"-69 to -43";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"17";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Ireland";48,173025775456;0,831822972665367;45,769985586492;1,5357720840411;-2,40304018896392;1,74657532101361;-1,37585832116839;479,230741333356;3,96343210876254;514,123102405813;3,43473191287477;34,8923610724567;5,24463319919422;6,65296499244553;"25 to 45";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"18";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Israel";48,173025775456;0,831822972665367;49,9188810415208;0,980083304574736;1,74585526606488;1,28549319008697;1,35812097607982;479,230741333356;3,96343210876254;480,610606346317;4,27078191408926;1,37986501296127;5,82652316896464;0,236824770612981;"-10 to 13";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"19";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Italy";48,173025775456;0,831822972665367;49,1134209698383;0,724749557895953;0,94039519438231;1,1032639663853;0,852375517586595;479,230741333356;3,96343210876254;492,647170180726;3,35601897648467;13,4164288473696;5,19342444359163;2,58334919340641;"3 to 24";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"20";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Ivory Coast";48,173025775456;0,831822972665367;49,4586711063087;1,38300947180577;1,28564533085276;1,61389115399965;0,796612167844521;479,230741333356;3,96343210876254;257,880957237575;8,6713260480756;-221,349784095781;9,5341853093384;-23,216434012351;"-240 to -203";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"21";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Japan";48,173025775456;0,831822972665367;47,9933093763009;1,29014699872148;-0,179716399155109;1,53505984774663;-0,117074522806991;479,230741333356;3,96343210876254;587,597477975184;3,36871874022313;108,366736641828;5,2016401289882;20,8331860633556;"98 to 119";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"22";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Kazakhstan";48,173025775456;0,831822972665367;47,4454085602607;0,792863971159607;-0,727617215195261;1,14915740201977;-0,633174545033077;479,230741333356;3,96343210876254;451,793893922497;4,00497477438091;-27,436847410859;5,63459111419784;-4,86935908121614;"-38 to -16";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"23";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Jordan";48,173025775456;0,831822972665367;48,289772317815;2,07839751587388;0,116746542359;2,23867498575487;0,0521498400178147;479,230741333356;3,96343210876254;393,688321496527;4,10730981104977;-85,5424198368296;5,70778310421091;-14,9869780044236;"-97 to -74";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"24";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Korea, Republic of";48,173025775456;0,831822972665367;49,3071137082008;0,996958943896182;1,13408793274481;1,29840540420488;0,87344671323153;479,230741333356;3,96343210876254;593,1198244024;3,56547151317474;113,889083069044;5,33117071495843;21,3628655239812;"103 to 124";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
