"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"45";"Italy";"Boy";"BSMMAT0";2326;269721,845913;397,839952;5,6015033786729;511,575466;4,19315051602918;615,404774;4,78464261417674;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"46";"Ivory Coast";"Girl";"BSMMAT0";4016;194640,172109;165,052908;3,99017963214365;250,942374;5,09912081775241;360,49309;25,7619030684717;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"47";"Ivory Coast";"Boy";"BSMMAT0";4233;198900,874901001;179,871388;5,31164713391466;264,714002;4,14099322528955;361,574594;7,50234865365413;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"48";"Japan";"Girl";"BSMMAT0";1813;497742,501263999;482,454556;4,81888159823896;590,397142;4,87254680361552;690,57861;5,95923124317221;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"49";"Japan";"Boy";"BSMMAT0";1984;524173,653793999;486,055194;5,69983601594259;606,154456;4,09193893673721;710,546864;5,34366259684181;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"50";"Japan";"<Other>";"BSMMAT0";49;15191,94966;486,832978;51,5592596459069;582,312892;27,3318526658896;701,479818;36,4339728182286;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"51";"Kazakhstan";"Girl";"BSMMAT0";3068;147045,078026;336,549158;5,17164687865618;447,573714;4,32136319234057;572,031538;6,53794920164222;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"52";"Kazakhstan";"Boy";"BSMMAT0";3287;162879,701817;342,173558;4,65343100954917;449,822642;4,63383894849117;583,905042;6,83093099132066;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"53";"Jordan";"Girl";"BSMMAT0";3434;82839,0413489998;285,385244;5,27718654863992;393,46869;4,61822788224553;503,095834;6,20260315530069;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"54";"Jordan";"Boy";"BSMMAT0";3514;88706,6863960002;266,526042;6,59797653806335;382,135038;5,86337186908984;500,387434;7,81798277584801;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"55";"Korea, Republic of";"Girl";"BSMMAT0";2121;199888,682236;469,028606;7,98665625695419;598,663476;3,7741508002697;708,791622;5,57542887299926;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"56";"Korea, Republic of";"Boy";"BSMMAT0";2126;205506,538054;459,810368;6,49439567962434;607,846538;4,12819245820909;722,55761;5,31315841645911;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"57";"Kuwait";"Girl";"BSMMAT0";2217;21865,370504;288,801784;5,79964206272817;392,49028;5,88949873322766;516,61892;11,9955074256924;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"58";"Kuwait";"Boy";"BSMMAT0";2102;22362,5095509999;274,522426;6,01218485361901;391,22122;8,12833763885642;541,147288;13,7127197123209;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"59";"Lithuania";"Girl";"BSMMAT0";2686;13112,666121;393,40644;5,04625055413418;512,532072;3,94742830341019;623,944198;4,80219898347981;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"60";"Lithuania";"Boy";"BSMMAT0";2662;12939,957823;391,115762;5,78483857524338;518,673152;4,83400236198059;638,669714;5,88603374189749;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"61";"Malaysia";"Girl";"BSMMAT0";4509;213206,137347001;307,438092;4,36732908354111;405,644614;4,76824477291236;523,81928;5,82436454667374;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
