"";"IDCNTRY";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"18";"Chile";"BSDGSLM";"BSBG01";"Girl";"Boy";47,7459096922283;1,78691932477689;52,2540903077717;1,78691932477689;4,50818061554334;3,57383864955378;1,26143932550123;2,3978392177234;0,0234843868524841;2,2815034153173;0,0241488078012876;-0,116335802406102;0,0262177785033162;-4,43728679725427;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"19";"Chile";"BSDGSLM";"BSBG01";"Boy";"Girl";52,2540903077717;1,78691932477689;47,7459096922283;1,78691932477689;-4,50818061554334;3,57383864955378;-1,26143932550123;2,2815034153173;0,0241488078012876;2,3978392177234;0,0234843868524841;0,116335802406102;0,0262177785033162;4,43728679725427;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"20";"Chile";"BSDGSLM";"BSBG01";"Boy";"Boy";52,2540903077717;1,78691932477689;52,2540903077717;1,78691932477689;0;NA;NA;2,2815034153173;0,0241488078012876;2,2815034153173;0,0241488078012876;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"21";"Chinese Taipei";"BSDGSLM";"BSBG01";"Girl";"Girl";48,7521071943877;0,812099106603196;48,7521071943877;0,812099106603196;0;NA;NA;2,52522739380636;0,0138859579739702;2,52522739380636;0,0138859579739702;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"22";"Chinese Taipei";"BSDGSLM";"BSBG01";"Girl";"Boy";48,7521071943877;0,812099106603196;51,2478928056123;0,812099106603198;2,49578561122452;1,62419821320639;1,53662625099032;2,52522739380636;0,0138859579739702;2,38150241580626;0,019260196327411;-0,143724978000093;0,0207144704747358;-6,93838532707779;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"23";"Chinese Taipei";"BSDGSLM";"BSBG01";"Boy";"Girl";51,2478928056123;0,812099106603198;48,7521071943877;0,812099106603196;-2,49578561122452;1,62419821320639;-1,53662625099032;2,38150241580626;0,019260196327411;2,52522739380636;0,0138859579739702;0,143724978000093;0,0207144704747358;6,93838532707779;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"24";"Chinese Taipei";"BSDGSLM";"BSBG01";"Boy";"Boy";51,2478928056123;0,812099106603198;51,2478928056123;0,812099106603198;0;NA;NA;2,38150241580626;0,019260196327411;2,38150241580626;0,019260196327411;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"25";"Georgia";"BSDGSLM";"BSBG01";"Girl";"Girl";47,672239857473;0,878873310968185;47,672239857473;0,878873310968185;0;NA;NA;2,14605512662082;0,0254055810732759;2,14605512662082;0,0254055810732759;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"26";"Georgia";"BSDGSLM";"BSBG01";"Girl";"Boy";47,672239857473;0,878873310968185;52,327760142527;0,878873310968175;4,65552028505407;1,75774662193636;2,6485730235257;2,14605512662082;0,0254055810732759;2,06075115398284;0,0293261112197265;-0,0853039726379823;0,0304023618301338;-2,80583374129282;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"27";"Georgia";"BSDGSLM";"BSBG01";"Boy";"Girl";52,327760142527;0,878873310968175;47,672239857473;0,878873310968185;-4,65552028505407;1,75774662193636;-2,6485730235257;2,06075115398284;0,0293261112197265;2,14605512662082;0,0254055810732759;0,0853039726379823;0,0304023618301338;2,80583374129282;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"28";"Georgia";"BSDGSLM";"BSBG01";"Boy";"Boy";52,327760142527;0,878873310968175;52,327760142527;0,878873310968175;0;NA;NA;2,06075115398284;0,0293261112197265;2,06075115398284;0,0293261112197265;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"29";"Hong Kong, SAR";"BSDGSLM";"BSBG01";"Girl";"Girl";47,4644511747261;2,08602616217306;47,4644511747261;2,08602616217306;0;NA;NA;2,43431870117358;0,0192624474050143;2,43431870117358;0,0192624474050143;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
