"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";"BSSSCI0_";307636,435365996;520,15124050124;94,072614149305;6210,51930746531;3,16243530532909;2,0081713839943;8442;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"2";"Australia";"BSMALG0_";307636,435365996;498,438387120081;94,7030626308117;6210,51930746531;3,43256099044276;2,20665505044223;8442;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"3";"Austria";"BSSSCI0_";79364,1753230002;511,740591826238;84,2404935402497;1368,65043743885;2,37723408569236;1,75526310596368;4639;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"4";"Austria";"BSMALG0_";79364,1753230002;517,430612056192;77,4378913585163;1368,65043743885;2,71885500779917;2,00525362778651;4639;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"5";"Azerbaijan, Republic of";"BSSSCI0_";146742,84097;411,359443277136;80,1217880286657;2564,30769330095;2,9817805140724;1,51330785941567;6174;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"6";"Azerbaijan, Republic of";"BSMALG0_";146742,84097;489,307438108457;110,53662690234;2564,30769330095;4,16107538846651;2,51797227821826;6174;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"7";"Bahrain";"BSSSCI0_";18323,999949;451,828354433668;105,971249039637;128,980984177071;2,64326022588364;1,86863900518994;5168;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"8";"Bahrain";"BSMALG0_";18323,999949;433,534138620429;108,496647995781;128,980984177071;2,82332024280791;1,7988181892864;5168;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"9";"Chile";"BSSSCI0_";246486,489003;455,210028391907;82,0115290242977;5126,67617654897;2,67068658964;1,44707907831001;4478;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"10";"Chile";"BSMALG0_";246486,489003;414,295208146606;87,4215388030347;5126,67617654897;3,66923028608667;2,31437162183289;4478;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"11";"Chinese Taipei";"BSSSCI0_";183229,273772;571,828422392986;90,4379292727033;1683,08599575343;2,39758818694291;1,23754141486892;5543;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"12";"Chinese Taipei";"BSMALG0_";183229,273772;612,242517865479;109,039104927193;1683,08599575343;3,18614458239868;1,87010284589214;5543;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"13";"Cyprus";"BSSSCI0_";9619,12230199995;464,253390500151;91,8037788966426;89,3814562742496;2,97955014383809;1,99170295921585;4200;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"14";"Cyprus";"BSMALG0_";9619,12230199995;507,308555330494;93,7161720960789;89,3814562742496;2,98233282508011;2,10370909138169;4200;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"15";"Czech Republic";"BSSSCI0_";112883,350479998;527,152862780976;77,0772602642619;1925,38284755045;2,02709792945544;1,22255697505217;8110;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"16";"Czech Republic";"BSMALG0_";112883,350479998;513,409866198589;87,6968710092097;1925,38284755045;2,64898938604129;1,76670348396959;8110;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"17";"England";"BSSSCI0_";582742,942734997;531,353492756888;97,9048597046554;13505,2792357818;4,33711826882418;2,44483288483172;4239;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"18";"England";"BSMALG0_";582742,942734997;512,932234436692;100,414345351112;13505,2792357818;4,84842802263781;2,83257522379056;4239;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"19";"Finland";"BSSSCI0_";58126,8879190002;530,637474075124;93,9207934433857;870,487891247159;3,15875761509739;1,64580365978852;5880;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"20";"Finland";"BSMALG0_";58126,8879190002;490,422108271914;86,2444780818117;870,487891247159;2,70547283579559;1,33042185972482;5880;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"21";"France";"BSSSCI0_";821590,792135006;486,195193766076;80,8687810274253;13322,9455506438;3,16857845595562;1,64947282479048;4511;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"22";"France";"BSMALG0_";821590,792135006;465,920067069176;86,9534059777886;13322,9455506438;3,58072677188194;2,06227501088631;4511;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
