IDCNTRY;EqVar;TOTWGT;mean;stdev;var;TOTWGT.se;mean.se;stdev.se;var.se;NObs;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Austria;ASDAGE;77368,4822580003;10,2906430271169;,475671510628751;,226263386023838;2058,10348053957;,0123864439735514;,00923368334895944;,00878423681813959;4333; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRIIE0_;77368,4822580003;534,709424149896;65,5746385362944;4300,63116428575;2058,10348053957;2,51287574965446;1,49598785274565;196,446217952152;4333; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASDGSLR_D2;77368,4822580003;,454332721595624;,49791334995066;,247917704059088;2058,10348053957;,00849586769806879;,00077936013450314;,000776100053954965;4333; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASDGSLR_D3;77368,4822580003;,176081855238815;,380892255976124;,145078910662581;2058,10348053957;,00839856476298602;,00714252164957295;,00544095236907906;4333; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASBG01_D2;77368,4822580003;,515074125754604;,499775948928567;,249775999127449;2058,10348053957;,0087282005709065;,000263740798742121;,000263620153230868;4333; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRINF0_;77368,4822580003;539,182857982524;66,7735649754417;4459,22120636315;2058,10348053957;2,38401646936427;1,48229240335389;198,236231751222;4333; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASDAGE;125283,697346;10,1317524351106;,486583652665035;,236763651040847;2519,44573867485;,00983796762193477;,017447997027845;,0169752189811059;5840; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRIIE0_;125283,697346;466,592514198769;88,927142727586;7908,55209620472;2519,44573867485;3,88990938756931;2,68664196661594;478,126044911298;5840; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASDGSLR_D2;125283,697346;,319359462751978;,466230341495292;,217370731330817;2519,44573867485;,0122235126683737;,00473614802835349;,00441614270108731;5840; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASDGSLR_D3;125283,697346;,0414731672761085;,199382699800484;,0397534609797298;2519,44573867485;,00372385358371234;,00856506430430733;,00341499350663525;5840; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASBG01_D2;125283,697346;,528460144580128;,499191355286037;,24919200919231;2519,44573867485;,0078560473452545;,000448040988952787;,000447313651202862;5840; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRINF0_;125283,697346;479,099601599533;92,9432852906633;8638,52937043749;2519,44573867485;4,23264695366706;2,72264030433125;506,167170081095;5840; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASDAGE;16896,6194320001;9,88262045371479;,512045633619604;,262190730908902;126,542390824131;,0106458190981694;,0193966358837367;,0198610485700093;5408; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRIIE0_;16896,6194320001;446,763036214307;101,066509415146;10214,7181441799;126,542390824131;2,65743382902992;1,27761282817749;258,278311935243;5408; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASDGSLR_D2;16896,6194320001;,360905382969742;,480277356472072;,230666339139802;126,542390824131;,0107068518120963;,00310139574428755;,00297893261237899;5408; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASDGSLR_D3;16896,6194320001;,0990222973733597;,298700790876806;,0892221624704296;126,542390824131;,00615965316195937;,00826969950565003;,00494006716805095;5408; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASBG01_D2;16896,6194320001;,499449115544232;,500014493033104;,250014493243152;126,542390824131;,015268784827031;,000102408665696444;,000102405528685378;5408; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRINF0_;16896,6194320001;454,278534140701;96,4824692462394;9309,1264383364;126,542390824131;2,13366387078578;1,23427421364987;238,238800831331;5408; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASDAGE;68781,4428369989;10,0851749686197;,611728197794497;,374211387976903;1537,63985223136;,0162194429118076;,0161557827191998;,0197598873919446;5127; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
