"";"IDCNTRY";"EqVar";"b";"ExpB";"df";"b.se";"ExpB.se";"b.wald";"b.sig";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";"CONSTANT";1,14566122042665;3,4551864630259;1;1,50835079372389;5,63667776867202;0,576909530360527;0,447526242337249;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"2";"Australia";"BSDAGE";-0,184234547066424;0,832070111919904;1;0,106948029479139;0,0891580611108449;2,96753990574528;0,084950950585557;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"3";"Australia";"BSDGSLM(1)";1,77412283886547;5,89735342395997;1;0,133472547641195;0,78852606148517;176,678406376741;2,57451594241743e-40;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"4";"Australia";"BSDGSLM(2)";1,0127513801288;2,75487103586089;1;0,085050476703361;0,234165127319042;141,792148462843;1,07976553449047e-32;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"5";"Australia";"BSBG01(1)";0,207550997415054;1,23359700973381;1;0,236437198862168;0,293349683843842;0,770580542284819;0,380037516829742;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"6";"Australia";"BSBG01(2)";0,361436083457362;1,43861533282342;1;0,249606072967343;0,361778025545171;2,09677929717203;0,14760977924947;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"7";"Austria";"CONSTANT";10,7331103446464;60275,80874872;1;1,34204972409321;104688,355426455;63,9608128403878;1,26918801577667e-15;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"8";"Austria";"BSDAGE";-0,81786161150361;0,441985785060629;1;0,0980090926166077;0,0427499235070611;69,6348927312863;7,13632347447497e-17;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"9";"Austria";"BSDGSLM(1)";0,873034350627078;2,40149472804632;1;0,156782417895044;0,373541893779166;31,0075853731533;2,57021981257912e-08;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"10";"Austria";"BSDGSLM(2)";0,699188881548754;2,01263931646385;1;0,0964885253137097;0,194543401162555;52,5094765940988;4,28177216085237e-13;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
