IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Chinese Taipei;PVCIV;SGENDER;BOY;GIRL;51,5847983975957;,566390516034123;48,4152016024043;,566390516034132;-3,16959679519132;1,13278103206826;-2,79806662140538;546,124322611916;2,74957294033027;572,547653600475;2,73105868796255;26,4233309885594;2,53338127605895;10,4300648458509;21 to 31;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;SGENDER;GIRL;BOY;48,4152016024043;,566390516034132;51,5847983975957;,566390516034123;3,16959679519132;1,13278103206826;2,79806662140538;572,547653600475;2,73105868796255;546,124322611916;2,74957294033027;-26,4233309885594;2,53338127605895;-10,4300648458509;-31 to -21;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;SGENDER;GIRL;GIRL;48,4152016024043;,566390516034132;48,4152016024043;,566390516034132;0; ; ;572,547653600475;2,73105868796255;572,547653600475;2,73105868796255;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;BOY;BOY;47,7685219120201;1,36709392324838;47,7685219120201;1,36709392324838;0; ; ;460,626472831611;4,04960333202995;460,626472831611;4,04960333202995;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;BOY;GIRL;47,7685219120201;1,36709392324838;52,2314780879799;1,36709392324838;4,46295617595972;2,73418784649676;1,63227855089693;460,626472831611;4,04960333202995;463,409194415218;3,05538664694957;2,78272158360663;4,05548939686998;,686161720889798;-5 to 11;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;GIRL;BOY;52,2314780879799;1,36709392324838;47,7685219120201;1,36709392324838;-4,46295617595972;2,73418784649676;-1,63227855089693;463,409194415218;3,05538664694957;460,626472831611;4,04960333202995;-2,78272158360663;4,05548939686998;-,686161720889798;-11 to 5;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;GIRL;GIRL;52,2314780879799;1,36709392324838;52,2314780879799;1,36709392324838;0; ; ;463,409194415218;3,05538664694957;463,409194415218;3,05538664694957;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;PVCIV;SGENDER;BOY;BOY;50,3539061429911;,624476034187002;50,3539061429911;,624476034187002;0; ; ;434,814759069961;3,19984715172411;434,814759069961;3,19984715172411;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;PVCIV;SGENDER;BOY;GIRL;50,3539061429911;,624476034187002;49,6460938570089;,62447603418699;-,707812285982212;1,24895206837399;-,566724939976048;434,814759069961;3,19984715172411;475,079860749121;2,74149694524967;40,2651016791601;3,66503268665628;10,9862871962256;33 to 47;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;PVCIV;SGENDER;GIRL;BOY;49,6460938570089;,62447603418699;50,3539061429911;,624476034187002;,707812285982212;1,24895206837399;,566724939976048;475,079860749121;2,74149694524967;434,814759069961;3,19984715172411;-40,2651016791601;3,66503268665628;-10,9862871962256;-47 to -33;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;PVCIV;SGENDER;GIRL;GIRL;49,6460938570089;,62447603418699;49,6460938570089;,62447603418699;0; ; ;475,079860749121;2,74149694524967;475,079860749121;2,74149694524967;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Czech Republic;PVCIV;SGENDER;BOY;BOY;53,9993410045058;,971222288523617;53,9993410045058;,971222288523617;0; ; ;502,135645017552;2,44782222500328;502,135645017552;2,44782222500328;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Czech Republic;PVCIV;SGENDER;BOY;GIRL;53,9993410045058;,971222288523617;46,0006589954942;,971222288523621;-7,99868200901156;1,94244457704724;-4,11784310529496;502,135645017552;2,44782222500328;519,959408651506;3,03073182201158;17,8237636339538;2,79215671402125;6,38351119206492;12 to 23;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Czech Republic;PVCIV;SGENDER;GIRL;BOY;46,0006589954942;,971222288523621;53,9993410045058;,971222288523617;7,99868200901156;1,94244457704724;4,11784310529496;519,959408651506;3,03073182201158;502,135645017552;2,44782222500328;-17,8237636339538;2,79215671402125;-6,38351119206492;-23 to -12;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Czech Republic;PVCIV;SGENDER;GIRL;GIRL;46,0006589954942;,971222288523621;46,0006589954942;,971222288523621;0; ; ;519,959408651506;3,03073182201158;519,959408651506;3,03073182201158;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;PVCIV;SGENDER;BOY;BOY;47,3667255359925;,816134843356183;47,3667255359925;,816134843356183;0; ; ;573,347240442782;4,4510549900683;573,347240442782;4,4510549900683;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;PVCIV;SGENDER;BOY;GIRL;47,3667255359925;,816134843356183;52,6332744640075;,816134843356171;5,26654892801493;1,63226968671235;3,22651885952902;573,347240442782;4,4510549900683;581,442386905013;3,4355345825443;8,09514646223174;3,51328384255741;2,30415384153507;1 to 15;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;PVCIV;SGENDER;GIRL;BOY;52,6332744640075;,816134843356171;47,3667255359925;,816134843356183;-5,26654892801493;1,63226968671235;-3,22651885952902;581,442386905013;3,4355345825443;573,347240442782;4,4510549900683;-8,09514646223174;3,51328384255741;-2,30415384153507;-15 to -1;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;PVCIV;SGENDER;GIRL;GIRL;52,6332744640075;,816134843356171;52,6332744640075;,816134843356171;0; ; ;581,442386905013;3,4355345825443;581,442386905013;3,4355345825443;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;PVCIV;SGENDER;BOY;BOY;45,508370833808;1,16760123263463;45,508370833808;1,16760123263463;0; ; ;366,935747392683;2,66770402321309;366,935747392683;2,66770402321309;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;PVCIV;SGENDER;BOY;GIRL;45,508370833808;1,16760123263463;54,491629166192;1,16760123263462;8,98325833238394;2,33520246526925;3,84688628330485;366,935747392683;2,66770402321309;392,020387398534;2,79857281137366;25,0846400058507;2,71587174447768;9,23631244989994;20 to 30;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;PVCIV;SGENDER;GIRL;BOY;54,491629166192;1,16760123263462;45,508370833808;1,16760123263463;-8,98325833238394;2,33520246526925;-3,84688628330485;392,020387398534;2,79857281137366;366,935747392683;2,66770402321309;-25,0846400058507;2,71587174447768;-9,23631244989994;-30 to -20;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
