"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"16";"Austria";"ASDGSLR_D3";-3,98050393645836;-0,0231540597327221;2,40788314507258;0,0141569629829871;-1,65311341815068;-1,63552449494621;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"17";"Austria";"ASBG01_D2";-5,9415293624518;-0,0453536374825681;3,18524606247965;0,0243989659345087;-1,86532821826218;-1,85883441143799;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"18";"Austria";"ASRINF0_";0,800577091244259;0,815143911016132;0,0193010049593303;0,010930243423407;41,4785184984501;74,5769219805761;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"19";"Azerbaijan, Republic of";"(CONSTANT)";72,5203637091286;NA;23,9352827095439;NA;3,02985197998985;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"20";"Azerbaijan, Republic of";"ASDAGE";0,661099828234274;0,0036215605511046;2,04120385538131;0,0111296469768026;0,323877415032011;0,325397612220134;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"21";"Azerbaijan, Republic of";"ASDGSLR_D2";-3,7756156107039;-0,0197924708549124;2,71861756080604;0,0142709977469865;-1,38879983162636;-1,38690168731138;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"22";"Azerbaijan, Republic of";"ASDGSLR_D3";-3,3551148688806;-0,00758905478438861;6,05883732592727;0,0136189596949831;-0,553755562065222;-0,557241885897071;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"23";"Azerbaijan, Republic of";"ASBG01_D2";-1,61724596571111;-0,00906241155071571;1,85410148361814;0,0104006729058707;-0,872253207281392;-0,871329348853995;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"24";"Azerbaijan, Republic of";"ASRINF0_";0,813130576633618;0,849779959839421;0,0205662365960139;0,0104606048842523;39,5371595010833;81,2362161884834;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"25";"Bahrain";"(CONSTANT)";65,9370208287461;NA;31,5725044162206;NA;2,08843175566619;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
