"";"IDCNTRY";"SGENDER";"xvar";"n";"TOTWGTS";"sumw_se";"tsumw";"tsumw_se";"pct";"pct_se";"tpct";"tpct_se";"mnx";"mnx_se";"sdx";"sdx_se";"vrx";"vrx_se";"DEff";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"date";"time";"selcrit"
"31";"Ireland";"BOY";"HISCED";1604;26771,341602487;995,417733216266;28691,6126931752;1036,16433220549;51,7486336843629;1,74581598055149;51,9578088337001;1,72990419786028;3,71542943419249;0,0388843602627186;1,01789397935545;0,0250540281413214;1,03610815320808;0,050878236119329;2,34071850824488;6,69279594431797;59;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"32";"Ireland";"GIRL";"HISCED";1533;24962,0853431922;952,924563275553;26529,3701335018;975,063119926608;48,2513663156371;1,74581598055149;48,0421911662999;1,72990419786029;3,80229466943387;0,0396644590257675;1,00684905573776;0,0174934961721057;1,01374502104001;0,0352041872776493;2,37912078666437;5,90773464436848;63;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"33";"Italy";"BOY";"HISCED";1721;275787,983235861;5904,13333326914;278524,785331588;5677,70995385603;51,8285598145439;0,773003954375387;51,8381867170117;0,770213267114742;3,17365447455075;0,0436747262442746;1,12036112347271;0,0191971705899366;1,25520904698904;0,0430079923688213;2,61532215299782;0,982606302871419;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"34";"Italy";"GIRL";"HISCED";1596;256327,869920588;6858,14671801241;258771,757952371;6804,89326419923;48,1714401854561;0,773003954375385;48,1618132829883;0,770213267114732;3,1027455482521;0,0498796951292275;1,13799391130965;0,0228397793773522;1,29503014217784;0,0519345772442985;3,06620078763036;0,944418375143103;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"35";"Korea, Republic of";"BOY";"HISCED";2960;370899,48301218;16260,5449265464;372021,811631371;16315,6815537136;56,8424402159997;2,49205688122191;56,8232795517103;2,48768596788337;3,97637398509904;0,0255714930633307;1,01859324372099;0,0104013063868264;1,03753219615405;0,0211911961163635;1,8655302739897;0,301683552980106;74;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"36";"Korea, Republic of";"GIRL";"HISCED";2267;281605,021725429;16363,8053181065;282677,837115273;16370,0445131864;43,1575597840003;2,49205688122192;43,1767204482897;2,48768596788336;3,85724184237489;0,0321160996373442;1,03095954854612;0,0123118653319256;1,06287759073842;0,0253772876502193;2,19995533045031;0,379518748548464;68;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"37";"Latvia";"BOY";"HISCED";1307;10081,3566250648;439,023132572581;10327,4103076463;482,883877534698;49,4326671747942;1,25632491859513;49,7645014737313;1,20394774495843;4,00316692111793;0,0363617758556492;0,919296992460549;0,0184564866984306;0,84510696034701;0,0338633314567521;2,04481527034575;2,38253032707891;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"38";"Latvia";"GIRL";"HISCED";1398;10312,7616801787;440,119155131901;10425,1542751573;438,622802676715;50,5673328252058;1,25632491859512;50,2354985262687;1,20394774495844;3,9747953706959;0,037817785515207;0,946831234129159;0,0209484366972603;0,896489385922546;0,0396055207306406;2,2302533899203;1,07809047244883;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"39";"Liechtenstein";"BOY";"HISCED";172;173;10,7819293264239;182;11,1915146427997;50,0832308026344;3,26542198813117;50,4609412906356;3,13402079290668;3,29046242774566;0,0764665898357278;1,08897327420875;0,0512136045679435;1,18586279194093;0,11205063358441;0,848081225707462;4,94505494505495;72;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"40";"Liechtenstein";"GIRL";"HISCED";166;172,425;12,2827947158408;178,675;11,638762650363;49,9167691973656;3,26542198813118;49,5390587093644;3,13402079290668;3,29062927149052;0,0839745655578908;1,07140962354502;0,0507258617859053;1,14791858142488;0,108725940220506;1,01974722825084;3,4979711767175;70;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"41";"Lithuania";"BOY";"HISCED";1944;18984,0809219455;463,012521276156;19280,8140094826;462,380320513868;51,0290606292467;0,995681492385772;51,324844591267;0,987516946042428;3,81879495232912;0,0426750261008058;0,961950692820844;0,0209831923752162;0,925349135418502;0,0403012119568593;3,82594064245417;1,5390070532874;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"42";"Lithuania";"GIRL";"HISCED";1911;18218,4085768814;483,740355225426;18285,4254268532;481,25353136114;48,9709393707533;0,995681492385781;48,6751554087329;0,98751694604243;3,79970464066999;0,0398827535942332;0,959999274713059;0,0164915538325179;0,921598607449599;0,0316620636739123;3,29829235297959;0,366504187938738;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"43";"Luxembourg";"BOY";"HISCED";2176;2633,25475235124;79,0661565706986;2841,87218051674;90,7686395848303;49,2175141637291;0,965841068076903;49,344075751665;1,02285463884661;3,18594755636914;0,03393588514967;1,3989220688434;0,0179801958167368;1,95698295469711;0,0502965895457842;1,28053133662984;7,34084486965064;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"44";"Luxembourg";"GIRL";"HISCED";2319;2716,98448076269;53,6177471316993;2917,42543976719;56,2961995680169;50,7824858362709;0,965841068076915;50,655924248335;1,0228546388466;3,06649774315881;0,0505511136106467;1,40363762171333;0,0287920592475067;1,97019857308906;0,0806321516271809;3,00782249481731;6,87047409240722;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"45";"Malta";"BOY";"HISCED";1110;2378,57712971939;57,7129518959954;2416,14502873143;59,7639385312428;49,8561051272676;1,00179732100306;49,7667488037695;0,954261873620482;3,17455646434061;0,0438387406692792;1,29027547457018;0,0264745152731357;1,66481080027731;0,0683198486059849;1,28136906205467;1,55486937105621;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"46";"Malta";"GIRL";"HISCED";994;2392,30724571989;73,4580415946823;2438,79343280702;68,0031987951641;50,1438948727324;1,00179732100308;50,2332511962305;0,95426187362048;3,14263162943395;0,0600180858155341;1,3356755076529;0,0189953173745616;1,78402906174384;0,0507458218067675;2,00700631956699;1,90611416538161;65;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
