"";"IDCNTRY";"ASBGSEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"24";"Colombia";"BOY";"ASRREA0";"Percentile";50;90;418,9046912;4,86465711861843;515,9977684;4,61100962974594;97,0930772;4,57931539446902;21,2025311288388;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"25";"Cyprus";"GIRL";"ASRREA0";"Percentile";10;50;400,8056296;4,55308214874369;510,6434104;3,4531649053626;109,8377808;5,31273620094707;20,6744277610509;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"26";"Cyprus";"GIRL";"ASRREA0";"Percentile";10;90;400,8056296;4,55308214874369;604,2521774;8,08291099725982;203,4465478;10,0727193659311;20,1977778203687;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"27";"Cyprus";"GIRL";"ASRREA0";"Percentile";50;90;510,6434104;3,4531649053626;604,2521774;8,08291099725982;93,608767;7,61289482956374;12,2960804129964;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"28";"Cyprus";"BOY";"ASRREA0";"Percentile";10;50;370,8595634;4,98839288101846;488,4117696;5,85888309096421;117,5522062;6,09342439343729;19,2916492615557;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"29";"Cyprus";"BOY";"ASRREA0";"Percentile";10;90;370,8595634;4,98839288101846;582,788549;6,4759430277292;211,9289856;7,07740676666551;29,944440469097;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"30";"Cyprus";"BOY";"ASRREA0";"Percentile";50;90;488,4117696;5,85888309096421;582,788549;6,4759430277292;94,3767794;6,73764984454515;14,0073737248913;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"31";"Czech Republic";"GIRL";"ASRREA0";"Percentile";10;50;461,4374832;5,47334563079871;547,5435466;2,48686155125179;86,1060634;5,43784088889797;15,8346051602569;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"32";"Czech Republic";"GIRL";"ASRREA0";"Percentile";10;90;461,4374832;5,47334563079871;618,242516;3,41625240517587;156,8050328;5,25198284325066;29,8563490171166;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"33";"Czech Republic";"GIRL";"ASRREA0";"Percentile";50;90;547,5435466;2,48686155125179;618,242516;3,41625240517587;70,6989694;3,61785132568119;19,5417011467956;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"34";"Czech Republic";"BOY";"ASRREA0";"Percentile";10;50;440,0685936;6,20762535853178;535,7864304;2,72558455819497;95,7178368;5,54741395508482;17,254496883591;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"35";"Czech Republic";"BOY";"ASRREA0";"Percentile";10;90;440,0685936;6,20762535853178;611,655462;5,94879116206802;171,5868684;8,62061443505121;19,9042504096149;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"36";"Czech Republic";"BOY";"ASRREA0";"Percentile";50;90;535,7864304;2,72558455819497;611,655462;5,94879116206802;75,8690316;5,18555799279658;14,6308327291667;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"37";"France";"GIRL";"ASRREA0";"Percentile";10;50;441,7279316;2,84608760985659;531,7258696;3,01602790943334;89,997938;3,22834383888298;27,8774326687394;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"38";"France";"GIRL";"ASRREA0";"Percentile";10;90;441,7279316;2,84608760985659;619,1407498;3,73702373305904;177,4128182;4,06831789509091;43,6083960926646;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"39";"France";"GIRL";"ASRREA0";"Percentile";50;90;531,7258696;3,01602790943334;619,1407498;3,73702373305904;87,4148802;3,8133133350741;22,9236027881516;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"40";"France";"BOY";"ASRREA0";"Percentile";10;50;426,3624112;4,540670930915;525,2522936;4,35310994336373;98,8898824;6,05235523181079;16,3390743954091;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"41";"France";"BOY";"ASRREA0";"Percentile";10;90;426,3624112;4,540670930915;608,2264098;4,82441938628622;181,8639986;6,25882545257204;29,0572088929663;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"42";"France";"BOY";"ASRREA0";"Percentile";50;90;525,2522936;4,35310994336373;608,2264098;4,82441938628622;82,9741162;4,36252837237042;19,0197310177986;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"43";"Germany";"GIRL";"ASRREA0";"Percentile";10;50;456,5636204;8,05262143453859;550,552747;4,10305434565721;93,9891266;7,00114137010976;13,4248291287577;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"44";"Germany";"GIRL";"ASRREA0";"Percentile";10;90;456,5636204;8,05262143453859;625,6752936;3,87129430175835;169,1116732;9,07270362180786;18,6396117683719;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"45";"Germany";"GIRL";"ASRREA0";"Percentile";50;90;550,552747;4,10305434565721;625,6752936;3,87129430175835;75,1225466;4,71218018688582;15,9422058623881;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
