S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Boy;PVCIL;IDCNTRY;Chile;Russian Federation (Moscow);50,973053879782;1,66166351336527;51,2292455377873;,746876009703025;,256191658005324;1,82179839870369;,140625690629445;471,882589762081;4,65859442433786;546,14077310732;2,67965169290687;74,2581833452392;5,37429392625398;13,8172910458954;64 to 85;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Chile;Germany, North-Rhine Westphalia;50,973053879782;1,66166351336527;51,8597531850013;1,095269129023;,886699305219288;1,99016082180316;,445541533882627;471,882589762081;4,65859442433786;512,661978148244;3,19696605175547;40,7793883861625;5,650052561397;7,21752372089077;30 to 52;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Chile;50,542261844675;,915246704332115;50,973053879782;1,66166351336527;,430792035106956;1,89705091166268;,227085120625142;544,622343235348;2,81251539102684;471,882589762081;4,65859442433786;-72,7397534732665;5,44175935109544;-13,3669552033064;-83 to -62;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Denmark;50,542261844675;,915246704332115;50,542261844675;,915246704332115;0; ; ;544,622343235348;2,81251539102684;544,622343235348;2,81251539102684;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Finland;50,542261844675;,915246704332115;50,6209352275822;,809034366548872;,0786733829072034;1,22156176104523;,0644039338951526;544,622343235348;2,81251539102684;516,339077456485;3,64741233551298;-28,2832657788624;4,60585058051335;-6,14072586256372;-37 to -19;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;France;50,542261844675;,915246704332115;50,2227167623303;,635399858970222;-,3195450823447;1,11418558174578;-,28679700005094;544,622343235348;2,81251539102684;486,822946020285;2,84974230418089;-57,7993972150629;4,0039073447073;-14,4357479429355;-66 to -50;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Germany;50,542261844675;,915246704332115;51,5018528311028;,916626652076171;,959590986427779;1,29533044011448;,740807871652404;544,622343235348;2,81251539102684;510,569719692525;3,63684151568924;-34,0526235428223;4,59748398964082;-7,40679546020185;-43 to -25;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Italy;50,542261844675;,915246704332115;52,3921695888305;,635520220607424;1,84990774415542;1,11425422619423;1,66022053196409;544,622343235348;2,81251539102684;453,507037268286;3,11487881650636;-91,1153059670619;4,19675027447225;-21,7109191655488;-99 to -83;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Kazakhstan;50,542261844675;,915246704332115;51,6883976550375;,677974997633232;1,1461358103625;1,13900247023726;1,00626279600935;544,622343235348;2,81251539102684;391,169255433864;5,85094047027475;-153,453087801483;6,49182156343362;-23,6379090679011;-166 to -141;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Korea, Republic of;50,542261844675;,915246704332115;53,0118436683693;,887449773185703;2,46958182369426;1,27485043425421;1,93715416125576;544,622343235348;2,81251539102684;523,8913858382;3,91769244172243;-20,7309573971477;4,82271260730846;-4,29860932740041;-30 to -11;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Luxembourg;50,542261844675;,915246704332115;52,7094470116788;,65086182943231;2,16718516700375;1,12307508689436;1,92968857763257;544,622343235348;2,81251539102684;470,877994781358;1,29498523559314;-73,7443484539898;3,09632517432635;-23,8167325142244;-80 to -68;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Portugal;50,542261844675;,915246704332115;51,4041265361389;1,03934868328128;,861864691463867;1,3848906871047;,622334094300043;544,622343235348;2,81251539102684;510,942841282463;3,24645421184343;-33,6795019528844;4,29531230230804;-7,84099026624608;-42 to -25;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;United States;50,542261844675;,915246704332115;50,6373381485471;,414458803328756;,0950763038720197;1,00471519817683;,0946301041773297;544,622343235348;2,81251539102684;507,974053078872;2,33338298643507;-36,6482901564753;3,65443825863121;-10,0284332537067;-44 to -29;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
