IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Morocco;ASDGAGE;511503,261380994;11,1706507533283;1,03347061668804;22056,7172227136;,0336395037597323;,0190181817476717;2915;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Morocco;ASRREA0_;511503,261380994;348,893154029999;113,868215289659;22056,7172227136;9,7520844288605;7,08288439230854;2915;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;ASDGAGE;180853,841303996;10,2655325802695;,488499449464521;4286,62581066983;,0100103472976829;,00898867776202023;4090;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;ASRREA0_;180853,841303996;554,363576520147;57,2862172032137;4286,62581066983;2,49022296803551;1,24647032313014;4090;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;ASDGAGE;58087,172499;10,0512348855266;,359548812420122;1955,88508147721;,0124707146944898;,0138572079672671;2486;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;ASRREA0_;58087,172499;528,869596082449;93,3894304866343;1955,88508147721;3,56350614589819;1,88266896743734;2486;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;ASDGAGE;27364,9091980002;10,6547627882454;,415664918475834;725,207103505306;,012916863499125;,0165464894511952;3711;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;ASRREA0_;27364,9091980002;441,586442030743;103,08989847052;725,207103505306;4,6100177280469;2,27239766428788;3711;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;ASDGAGE;57510,863355;9,97014006618246;,333999686086286;1843,97048003151;,00779224455736471;,0196464960944028;3422;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;ASRREA0_;57510,863355;499,762598700749;80,8389208033279;1843,97048003151;2,94498588475343;1,65858043654549;3422;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Romania;ASDGAGE;283088,673265999;11,0807607110801;,53562021960679;6560,0112728648;,0205510850582555;,0258406905986506;3620;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Romania;ASRREA0_;283088,673265999;511,777029057754;89,8047477125865;6560,0112728648;4,58961531960807;2,66000663546754;3620;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;ASDGAGE;1823854,82940302;10,2824976635484;,631839016773706;62288,4024260161;,0388077097571228;,0320619859132176;4093;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;ASRREA0_;1823854,82940302;527,933472045828;66,3521043751237;62288,4024260161;4,4322824183944;4,15465378010858;4093;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;ASDGAGE;64375,3225189997;9,78094905780724;,312741266998992;2085,64678878881;,00939004463491058;,00451470660643899;2717;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;ASRREA0_;64375,3225189997;528,17551611785;84,1716315697007;2085,64678878881;3,60115430850596;1,8201704276285;2717;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;ASDGAGE;49300,9998410001;10,1471815692807;,415763197187203;1291,44143771608;,00688790916306278;,0152661503450614;7002;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;ASRREA0_;49300,9998410001;527,947996967684;91,8151706446755;1291,44143771608;5,15563139551517;3,65597813353005;7002;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovak Republic;ASDGAGE;71363,3403859995;10,3486734511063;,491253392238544;1614,92893187683;,0143107202462518;,0190183189030369;3804;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
