SGENDER;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;10;PVCIV;IDCNTRY;Austria;Latvia;362,306844454078;10,6197173219189;361,255335752738;6,23855779203942;-1,05150870134049;12,3165741715008;-,0853734720953143;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Liechtenstein;362,306844454078;10,6197173219189;407,521718611719;14,2400835210206;45,2148741576409;17,7639628091005;2,54531461496177;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Lithuania;362,306844454078;10,6197173219189;386,701846325178;3,85489457423797;24,3950018710993;11,2977257966351;2,15928429404483;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Luxembourg;362,306844454078;10,6197173219189;338,332446063515;6,75261826557252;-23,974398390563;12,5847625896561;-1,90503382322591;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Malta;362,306844454078;10,6197173219189;351,581455700405;8,45402533039855;-10,7253887536729;13,5738329253194;-,790151817300384;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Mexico;362,306844454078;10,6197173219189;336,860333881639;5,30360808944504;-25,4465105724397;11,8704108927994;-2,14369248059269;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Netherlands;362,306844454078;10,6197173219189;367,143784480245;15,488262727301;4,83694002616626;18,7793684214184;,257566703928636;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;New Zealand;362,306844454078;10,6197173219189;352,002059180942;10,229401779032;-10,3047852731367;14,7451367153488;-,698859934096783;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Norway;362,306844454078;10,6197173219189;374,924948870164;9,69443121923891;12,6181044160859;14,3791652282745;,87752690895256;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Paraguay;362,306844454078;10,6197173219189;295,641192789092;6,40989216762996;-66,6656516649867;12,4042377274103;-5,37442550924932;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Poland;362,306844454078;10,6197173219189;384,388527182229;8,69642832151456;22,0816827281502;13,726116040188;1,60873495921923;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Russian Federation;362,306844454078;10,6197173219189;387,963656766786;4,99438961088554;25,6568123127078;11,7355154800625;2,18625354431991;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Slovak Republic;362,306844454078;10,6197173219189;401,212666403745;7,71265684000238;38,905821949667;13,124917962757;2,96427162897821;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Slovenia;362,306844454078;10,6197173219189;384,178225441961;6,27742768705245;21,8713809878821;12,3363079713356;1,77292760838187;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Spain;362,306844454078;10,6197173219189;378,500078454722;10,3540241660202;16,1932340006435;14,8318647656994;1,09178678854276;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Sweden;362,306844454078;10,6197173219189;394,693312455434;9,60505859480016;32,386468001356;14,3190623508318;2,26177295746426;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Switzerland;362,306844454078;10,6197173219189;411,307149936545;7,44717629290305;49,0003054824667;12,9706912204031;3,77777133460616;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Thailand;362,306844454078;10,6197173219189;333,705807777617;5,50813941947877;-28,6010366764612;11,9631933806104;-2,39075268337774;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;England;362,306844454078;10,6197173219189;363,148051415151;11,4435842209921;,841206961072396;15,6119830841698;,0538821337774418;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Austria;Belgium (Flemish);362,306844454078;10,6197173219189;397,637536819188;8,19637374419572;35,3306923651093;13,4148775079017;2,63369474259446;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
