IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Armenia;RASBGBOOK;1691,7874626351;967,659363238727;30530,743159338;3437;1040,07719957837;38,3906095815996;12,0072023590072; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;RASDMSCL;1703,46082073128;904,032133445072;30530,743159338;3437;1040,07719957837;22,4890049452252;8,5461703032542; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;RASBGBOOK;2056,8657298529;1158,197569383;246283,772547634;4157;7614,54852645958;45,1987920240162;14,3236166193452; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;RASDMSCL;2095,74983553474;1021,03450353225;246283,772547634;4157;7614,54852645958;19,6507427549205;10,2426926105469; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);RASBGBOOK;2295,45208335841;1255,92534124553;64161,3021729193;4569;1755,36050546866;30,62124552332;13,5345755068799; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);RASDMSCL;2301,70802741105;1139,56769638429;64161,3021729193;4569;1755,36050546866;20,2181088937904;8,87277978690255; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);RASBGBOOK;2272,68378854293;1192,92773770697;136711,853751974;4202;4539,97670317166;53,2553707556886;15,818459230734; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);RASDMSCL;2100,39040994494;1011,64738889101;136711,853751974;4202;4539,97670317166;29,8785115699009;12,5231204639089; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);RASBGBOOK;1897,38988457694;1091,96109391957;82545,8544368384;4152;1987,23987249496;26,6295309567807;12,3747689168442; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);RASDMSCL;2065,84200391686;958,017719868326;82545,8544368384;4152;1987,23987249496;22,8186980127022;11,1122545118189; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;RASBGBOOK;2292,19937399758;1298,6688985016;308360,561563697;4615;4362,81874887368;35,8709927996549;9,03746521172855; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;RASDMSCL;2303,05994430412;1236,6852700062;308360,561563697;4615;4362,81874887368;21,2652121793099;8,44082147017849; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;RASBGBOOK;2038,79685074617;1136,05274015938;9423,59014576529;4108;202,30238033703;32,455232924121;10,9503507084074; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;RASDMSCL;2052,91715849196;934,982561197188;9423,59014576529;4108;202,30238033703;19,8156229195862;9,90209471974372; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
England;RASBGBOOK;1700,91024943327;952,742563533106;566002,209604465;3427;15081,3684584021;37,7654471710647;12,3041961656785; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
England;RASDMSCL;1709,59858087802;860,850081552155;566002,209604465;3427;15081,3684584021;19,3432866203571;6,52701761725712; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;RASBGBOOK;2252,6141089966;1270,44973759878;77929,9915162592;4542;2250,73848642502;47,538052258072;11,3653980435618; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;RASDMSCL;2260,57402962628;1213,04229634618;77929,9915162592;4542;2250,73848642502;28,4164972161999;8,40227895174699; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;RASBGBOOK;1553,43689155874;869,12524616783;95526,3276660932;3119;2146,8994078809;29,1023100645983;8,57128656104164; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;RASDMSCL;1560,46954444876;758,438086410142;95526,3276660932;3119;2146,8994078809;13,496934929029;5,66788742269467; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;RASBGBOOK;1682,9372935761;998,311585276681;1189144,18584102;3918;42354,8156153147;43,1443481638082;14,7899955427988; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;RASDMSCL;2036,35844537266;998,063866947803;1189144,18584102;3918;42354,8156153147;30,2144693773415;9,07974773718859; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;RASBGBOOK;2051,07808965115;1140,87045360331;492665,454027774;4095;6133,67413567487;29,6326853020683;11,8221060921063; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;RASDMSCL;2051,54120493903;1017,91363108047;492665,454027774;4095;6133,67413567487;22,4370969843832;8,02080347401261; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;RASBGBOOK;2224,63359651937;1228,16244094477;1151574,25848222;4454;7239,85319159254;26,9259162728705;11,9295984983694; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;RASDMSCL;2240,02541363698;1194,19551402373;1151574,25848222;4454;7239,85319159254;23,4637129038619;8,64795271423213; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;RASBGBOOK;1739,3369555356;996,112473886997;28211,915486963;3536;689,869550936385;29,9977789121923;11,3154700982847; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;RASDMSCL;1792,9180953174;927,602059946812;28211,915486963;3536;689,869550936385;20,788042945624;6,43552617725469; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;RASBGBOOK;1954,87150494713;1128,48105431601;40688,0467695336;4066;1323,98267016352;39,1321033737097;10,6039938950226; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;RASDMSCL;2043,74727422828;1007,82929306951;40688,0467695336;4066;1323,98267016352;26,110830501903;9,73141509436228; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;RASBGBOOK;1803,21660267865;1033,21715104675;52977,7271178046;3737;1406,81748145081;32,6941190793021;12,9267195529447; RASBGBOOK RASDMSCL;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;21h49m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
