IDCNTRY;EqVar;b;beta;b.se;beta.se;b.t;beta.t;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Belgium (Flemish);ASDAGE;-16,5307112820053;-,142177281303479;2,36927640243937;,0214660761590839;-6,97711388379405;-6,62334747393099; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);ASDMSCL_D2;-22,0225501658993;-,162646817565965;2,76973918966463;,0216860098035611;-7,95112776252621;-7,5000804223217; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);ASDMSCL_D3;-35,1325637949927;-,199194314600216;3,2042528161116;,0179665282381046;-10,9643545035958;-11,0869674964667; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);ASBGSEX_D2;-1,25838502090171;-,0107448588760844;3,78265348604048;,0320350264213584;-,332672560557201;-,335409708572008; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);ASSSCI0_;,44171670038029;,409631634995997;,024099391274922;,0199624720370822;18,3289567500381;20,5200856003739; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);(CONSTANT);362,145072460134; ;32,9949645816747; ;10,9757678800864; ; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);ASDAGE;-6,739817953441;-,0367891473087653;3,39315139852596;,0186576820242728;-1,98630039212776;-1,97179624247558; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);ASDMSCL_D2;-19,0244365702509;-,122132997022046;4,37518016760273;,0276653163266448;-4,34826357806308;-4,41466114393995; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);ASDMSCL_D3;-25,4258320388927;-,113173738640704;5,94878318325752;,0267011783756931;-4,27412317034047;-4,23852974008552; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);ASBGSEX_D2;-1,21172653949227;-,00932596274487625;4,94887510885225;,0375722870444013;-,244848882390427;-,248213869276981; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);ASSSCI0_;,473755597511372;,556798296573849;,0228515016602678;,0257018752860884;20,7319240789807;21,6637226029661; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);(CONSTANT);435,467384545781; ;39,97082963814; ;10,8946296208538; ; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);ASDAGE;-11,2607101125033;-,0808302803437009;3,97145730947081;,027751814116977;-2,83541008627985;-2,9126124873492; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);ASDMSCL_D2;-22,4854835861631;-,160592777185455;2,51355809392977;,0190342357156588;-8,9456788925887;-8,43704888309967; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);ASDMSCL_D3;-41,6502109027422;-,195225300838014;5,15622230702789;,0247395826190705;-8,0776600430849;-7,89121238801843; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);ASBGSEX_D2;,836153987018356;,00750170905844067;4,11670445438602;,0358642470274951;,203112464419811;,209169568029395; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);ASSSCI0_;,386032164027914;,467136126430684;,023109071356774;,0206585057773066;16,7047891309901;22,612290136871; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;(CONSTANT);337,670638252033; ;38,4306705260481; ;8,78648833418509; ; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASDAGE;,907264206513875;,00466852474566117;3,64448650548001;,0188083134875391;,248941573840285;,24821602153506; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASDMSCL_D2;-19,2522404059096;-,153709062720253;3,18991627861073;,0241959620066688;-6,03534347750791;-6,35267416430428; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASDMSCL_D3;-22,1618262315033;-,14444444740812;4,93460010939171;,0306401982845933;-4,4911088518245;-4,7142138594041; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASBGSEX_D2;-13,7399511908979;-,112267642311438;3,18925881257534;,0255955311681229;-4,3081957277098;-4,38622045286008; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASSSCI0_;,428173588156862;,477736365653423;,0186288292176621;,0205120036511941;22,9844604378523;23,2905753029939; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;(CONSTANT);274,407217808824; ;40,8260179124119; ;6,72138091933278; ; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASDAGE;-1,76621265291343;-,00807720638082143;3,86608821841094;,0175482388635169;-,456847478156975;-,460285869348069; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASDMSCL_D2;-24,2226794107207;-,139342626080297;3,45363418884768;,0196264360817788;-7,01367837072597;-7,0997416698421; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASDMSCL_D3;-43,3118492979978;-,128376690436685;5,49164270151833;,017193534124106;-7,88686585272982;-7,4665679266426; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
