IDCNTRY;rsq;arsq;rsq.se;arsq.se;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Italy;,532540240935136;,53253579598973;,0227244277413711;,0227246397715356; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;,577198343494977;,577196493486106;,0113182547641148;,0113183019920503; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Jordan;,50627515808953;,506254976744706;,0189254591567018;,0189262597124782; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kazakhstan;,465767684414827;,465756069285057;,0260886189273724;,0260891256134028; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Korea, Republic of;,574231879826455;,574228124017984;,0132839562715669;,0132840783749683; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kuwait;,417234302934523;,41715245863346;,0311940227910357;,0311984179714679; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lebanon;,400324510115924;,400272740626594;,0346948739957336;,0346980482719589; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lithuania;,616906928567522;,616836384352416;,0150220289178472;,0150247365493645; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;,545664011987545;,545658913248128;,0164441216302995;,0164442746955428; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;,660381680439627;,659949295051192;,0138461519521962;,0138639676734238; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;,443566583507632;,4435602590748;,0137572204448465;,0137573857562816; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;,632391217572152;,632357398336141;,0131950097544602;,0131961969582103; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;,523854606394696;,523814290204745;,0142584915579543;,0142597160152869; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);,462432939611709;,462386459624277;,0161775531827762;,0161789289992828; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;,511724083972564;,511670799151089;,0147927542695845;,0147943986338359; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;,621812151269959;,621689338553841;,0164112139525031;,0164164954735177; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;,553789385634267;,553787605492309;,0187987733018678;,0187988456195294; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;,386671569699272;,386662968044769;,0355881215740825;,0355886280028045; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;,730059203053319;,73003071224121;,0134800393000367;,0134814656178093; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;,570307306838439;,570180901803057;,0148678260829913;,014872314159129; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;,570203594888259;,570201048195481;,0260413175238643;,026041486669352; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;,547193043214137;,547169428902093;,0161480471853858;,0161487014547851; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;,556258354871433;,556255042579099;,0280802475730107;,0280804419316741; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;,681238895724411;,681237544545441;,0172595050110789;,0172595778201871; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;,633990092998468;,633957904624363;,00878077553111131;,00878144733734896; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);,632755449975436;,632667468320568;,0178241500224005;,0178286197124486; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);,609382949558176;,609261666289306;,0138409993295996;,0138452966833472; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;,636549823123778;,636549319730467;,0113863482090104;,0113863644254654; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;,559354346284401;,559309522254805;,0029123247577708;,0029125819199782; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
