"";"IDCNTRY";"BSBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"22";"Canada";"Boy";"BSMMAT0";"Percentile";10;50;433,355528;5,79905445069828;535,125916;2,95705318531744;101,770388;5,17336107313832;19,6720055996909;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"23";"Canada";"Boy";"BSMMAT0";"Percentile";10;90;433,355528;5,79905445069828;619,067652;3,21537350848289;185,712124;6,50041615621992;28,5692668802906;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"24";"Canada";"Boy";"BSMMAT0";"Percentile";50;90;535,125916;2,95705318531744;619,067652;3,21537350848289;83,941736;3,09293818823877;27,1398039311608;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"25";"Chile";"Girl";"BSMMAT0";"Percentile";10;50;316,723026;6,33097177140017;418,671428;4,74759868548975;101,948402;6,62903375637004;15,3790741979605;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"26";"Chile";"Girl";"BSMMAT0";"Percentile";10;90;316,723026;6,33097177140017;519,125464;5,18352498802173;202,402438;6,95820375402329;29,0883172087292;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"27";"Chile";"Girl";"BSMMAT0";"Percentile";50;90;418,671428;4,74759868548975;519,125464;5,18352498802173;100,454036;5,77886386879857;17,3830078507948;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"28";"Chile";"Boy";"BSMMAT0";"Percentile";10;50;332,499944;6,15420867827425;436,424314;4,5494561760551;103,92437;5,60227437788261;18,5503891794886;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"29";"Chile";"Boy";"BSMMAT0";"Percentile";10;90;332,499944;6,15420867827425;542,370188;6,81794579988459;209,870244;7,96827285933945;26,3382351112657;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"30";"Chile";"Boy";"BSMMAT0";"Percentile";50;90;436,424314;4,5494561760551;542,370188;6,81794579988459;105,945874;6,05548321587184;17,4958579229992;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"31";"Chinese Taipei";"Girl";"BSMMAT0";"Percentile";10;50;465,305694;5,27356159616876;609,874582;3,6795506540587;144,568888;5,7059819113956;25,3363733437845;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"32";"Chinese Taipei";"Girl";"BSMMAT0";"Percentile";10;90;465,305694;5,27356159616876;710,815776;3,8752244776382;245,510082;6,95458120279604;35,3019218326611;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"33";"Chinese Taipei";"Girl";"BSMMAT0";"Percentile";50;90;609,874582;3,6795506540587;710,815776;3,8752244776382;100,941194;4,13845286045228;24,3910459787062;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"34";"Chinese Taipei";"Boy";"BSMMAT0";"Percentile";10;50;454,719;5,8814046155064;613,974172;3,61999404498742;159,255172;6,19737593314659;25,6971940572825;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"35";"Chinese Taipei";"Boy";"BSMMAT0";"Percentile";10;90;454,719;5,8814046155064;717,340078;4,00619716749989;262,621078;6,8589685996835;38,288712680813;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
