"";"IDCNTRY";"EqVar";"b";"ExpB";"df";"b.se";"ExpB.se";"b.wald";"b.sig";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"15";"Bahrain";"BSBG01(1)";-0,0204294994899012;0,979919463234685;1;0,0911122892267189;0,0892947940056811;0,0502760948037747;0,822583542874851;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"16";"Botswana";"CONSTANT";13,1012635794243;959414,718597393;1;2,57560511833229;5188981,86046802;25,8742523417364;3,64397410663872e-07;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"17";"Botswana";"BSDAGE";-1,15221348961904;0,316967580824054;1;0,177995787826104;0,0555810574269924;41,9031296578827;9,59090057544132e-11;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"18";"Botswana";"BSDGSLM(1)";0,949538889324783;2,61730567320595;1;0,397603509345685;1,07224336446434;5,70328527061071;0,0169331891449811;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"19";"Botswana";"BSDGSLM(2)";0,289239374096207;1,34904130159199;1;0,37874568264678;0,529479842121737;0,583202590209273;0,44505973867403;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"20";"Botswana";"BSBG01(1)";-0,270872336837987;0,763541857365601;1;0,190408209294942;0,144902416269062;2,02375517121267;0,154855772161964;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"21";"Canada";"CONSTANT";0,667987933206457;1,96531888781281;1;1,35680197196243;2,77364533079524;0,242384197623355;0,622489399993062;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"22";"Canada";"BSDAGE";-0,122313344526668;0,884905156312934;1;0,097521330199029;0,0863923078569066;1,57307145486179;0,209761524104336;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"23";"Canada";"BSDGSLM(1)";1,47527936253394;4,37307705488344;1;0,0912892539541522;0,398703419645967;261,161538617261;9,57922976744648e-59;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"24";"Canada";"BSDGSLM(2)";0,855789852400149;2,35391689528225;1;0,0778270179019987;0,183633051549466;120,913136004219;3,99235408513266e-28;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"25";"Canada";"BSBG01(1)";-0,0772674791034544;0,926074116528376;1;0,0671011621425443;0,0622905502243962;1,32596909825967;0,249523587300052;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"26";"Canada (Ontario)";"CONSTANT";-4,72623428785136;0,00992567314768957;1;1,74042745656737;0,018772346805605;7,3742633172457;0,00661638891337304;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"27";"Canada (Ontario)";"BSDAGE";0,234508585223602;1,26508799465398;1;0,124966593883791;0,158641980919961;3,52151568987305;0,0605770258139489;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"28";"Canada (Ontario)";"BSDGSLM(1)";1,89227427168907;6,63904284012146;1;0,124541105276545;0,825869484742215;230,856835222085;3,87688207093673e-52;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"29";"Canada (Ontario)";"BSDGSLM(2)";1,07787871049631;2,93902127093019;1;0,101822518113006;0,299651338076925;112,060388047021;3,46590979810772e-26;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"30";"Canada (Ontario)";"BSBG01(1)";0,0180855175827791;1,01871514731789;1;0,0826998135168109;0,0841917381450958;0,0478247627103994;0,826892524952931;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"31";"Canada (Quebec)";"CONSTANT";14,9784944025043;3410342,12510281;1;2,01597486288625;8610137,53801764;55,2034344184945;1,08678682403142e-13;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"32";"Canada (Quebec)";"BSDAGE";-1,07095946280132;0,342772415449725;1;0,142462584340322;0,0488736067363721;56,5124880603755;5,58425944057013e-14;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"33";"Canada (Quebec)";"BSDGSLM(1)";1,22405436420992;3,40849986570674;1;0,183439219610071;0,626411173095723;44,5263427481007;2,50957685568342e-11;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"34";"Canada (Quebec)";"BSDGSLM(2)";0,682101079667633;1,98113819695685;1;0,130663954187432;0,260540140730536;27,2512156401227;1,78662764322839e-07;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"35";"Canada (Quebec)";"BSBG01(1)";-0,40980534700165;0,664670692638611;1;0,114165227662038;0,0758907799407409;12,8850926941245;0,000331209738700286;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"36";"Chile";"CONSTANT";4,57818286193351;113,097519313294;1;1,67041833663475;272,656401751288;7,51165742111713;0,00613009373265893;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"37";"Chile";"BSDAGE";-0,54201332155217;0,582046419957053;1;0,115093895515156;0,0665092272705408;22,1776406491667;2,48551615731888e-06;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"38";"Chile";"BSDGSLM(1)";1,58247062143241;4,88737559997171;1;0,211433122662504;1,03508619452395;56,0176988237299;7,18215475507418e-14;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"39";"Chile";"BSDGSLM(2)";0,807862138018246;2,24594525444616;1;0,151608882692426;0,341683396593138;28,3939108786804;9,89761287489622e-08;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"40";"Chile";"BSBG01(1)";-0,546748216329007;0,580256599792985;1;0,225064008678323;0,133007710708242;5,90150324029034;0,0151279680442264;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
