IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Denmark;RHOMELIT;2106,42334848461;1166,49444824724;57240,066460681;4168;1321,11802766627;33,8240046181952;11,7454694703552; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;RHISCED;2083,03994843593;1105,71298808612;57240,066460681;4168;1321,11802766627;33,2994805108989;11,6215111483619; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;RHOMELIT;2210,25951532329;1207,90667580262;155213,161323941;4453;8532,40986084726;32,6753195351438;14,7084152184477; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;RHISCED;2231,77722008898;1230,56872505025;155213,161323941;4453;8532,40986084726;45,3451172019899;21,1777880834274; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
England;RHOMELIT;1233,72194385593;696,514233951237;463435,154628743;2444;12548,5073415317;25,8228575386475;9,07093823947168; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
England;RHISCED;1228,45266069231;667,112664401052;463435,154628743;2444;12548,5073415317;21,4345288331756;6,95343005069409; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;RHOMELIT;1330,36040578529;746,129687605054;11394,0114524591;2665;255,079479192075;26,577612619972;6,59352195026947; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;RHISCED;1308,2021415741;721,784456295196;11394,0114524591;2665;255,079479192075;24,7042574222839;4,71923806428312; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;RHOMELIT;1599,41722102119;891,81172110476;60576,3874353301;3192;1037,19131602072;24,7192568398931;10,2759861931987; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;RHISCED;1592,15793499573;877,133402437663;60576,3874353301;3192;1037,19131602072;19,7532961586253;7,11218780527693; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
