BSBG01;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Girl;10;BSMMAT0;IDCNTRY;Australia;Korea, Republic of;398,137218;6,65676303580608;497,20833;4,72236012503072;99,071112;8,16168973101491;12,1385540574428;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Kuwait;398,137218;6,65676303580608;292,768408;7,94765237000109;-105,36881;10,367143883889;-10,1637260155854;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Lebanon;398,137218;6,65676303580608;344,479238;5,1068974117554;-53,65798;8,39004739492383;-6,39543228712443;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Lithuania;398,137218;6,65676303580608;409,852398;7,12863226407519;11,71518;9,75345539136197;1,20113124322847;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Malaysia;398,137218;6,65676303580608;357,439348;7,05849754945726;-40,69787;9,7023132175048;-4,19465637602519;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Malta;398,137218;6,65676303580608;375,57671;3,72211239299941;-22,560508;7,62670405752012;-2,95809406394297;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Morocco;398,137218;6,65676303580608;285,641224;3,52920411715531;-112,495994;7,53443931659285;-14,9309045136582;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Oman;398,137218;6,65676303580608;305,316528;5,6307975623471;-92,82069;8,71885171929241;-10,6459764414405;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;New Zealand;398,137218;6,65676303580608;383,64756;5,1400642686274;-14,489658;8,4102767374501;-1,7228515127783;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Norway;398,137218;6,65676303580608;420,14939;4,83519205298507;22,012172;8,22748906435761;2,67544226772165;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Qatar;398,137218;6,65676303580608;315,348552;5,25743711809603;-82,788666;8,48251962365004;-9,75991446800519;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Russian Federation;398,137218;6,65676303580608;422,93186;7,08016264477167;24,794642;9,71808608684314;2,5513914754849;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Saudi Arabia;398,137218;6,65676303580608;275,292834;7,04656778304772;-122,844384;9,69363768850271;-12,6726816028725;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Singapore;398,137218;6,65676303580608;519,549752;10,1243725071262;121,412534;12,1167410130747;10,020230181448;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Slovenia;398,137218;6,65676303580608;424,388486;5,82436626481081;26,251268;8,84509674913397;2,96788930008824;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;South Africa;398,137218;6,65676303580608;269,995784;4,26049276158121;-128,141434;7,90343549896879;-16,2133839159843;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Sweden;398,137218;6,65676303580608;405,522312;5,85356221594198;7,385094;8,86434908669428;,83312310106168;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Thailand;398,137218;6,65676303580608;335,321352;5,26844949840216;-62,815866;8,48934945870931;-7,39937333308344;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;United Arab Emirates;398,137218;6,65676303580608;352,826566;3,6413820747851;-45,310652;7,58763187888292;-5,97164605812042;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Turkey;398,137218;6,65676303580608;329,015024;7,60205721925493;-69,122194;10,1046409179001;-6,84063833258559;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Egypt;398,137218;6,65676303580608;269,594518;7,84019014516638;-128,5427;10,2849927383172;-12,4980836905318;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;United States;398,137218;6,65676303580608;409,843174;5,31885880120031;11,705956;8,52072491411266;1,37382160766764;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;England;398,137218;6,65676303580608;414,528106;7,34756815843421;16,390888;9,91459792214039;1,65320753586964;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Norway (8);398,137218;6,65676303580608;401,842106;5,5388643759498;3,70488799999999;8,65976400891155;,427827824890769;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;United Arab Emirates (Dubai);398,137218;6,65676303580608;392,688156;6,40521921889689;-5,44906200000001;9,23792873738481;-,589857548689275;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;United Arab Emirates (Abu Dhabi);398,137218;6,65676303580608;340,08697;6,2681495529247;-58,050248;9,14342347989549;-6,34885260730191;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Canada (Ontario);398,137218;6,65676303580608;430,499422;4,5864099609677;32,362204;8,08378936173735;4,0033457765709;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Canada (Quebec);398,137218;6,65676303580608;458,009004;6,7265147778494;59,871786;9,46353502511088;6,32657731398828;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Argentina, Buenos Aires;398,137218;6,65676303580608;268,75091;8,18196364586276;-129,386308;10,5478444820302;-12,2666112702391;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Australia;368,672566;7,10700461182033;398,137218;6,65676303580608;29,464652;9,73765930125457;3,02584544072145;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Bahrain;368,672566;7,10700461182033;368,672566;7,10700461182033;0;10,0508223098844;0;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Botswana;368,672566;7,10700461182033;296,508176;4,88587875231839;-72,16439;8,6244608953135;-8,36740880107809;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Canada;368,672566;7,10700461182033;435,566202;3,83680496733075;66,893636;8,0765454811924;8,28245642345148;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Chile;368,672566;7,10700461182033;316,723026;6,33097177140017;-51,94954;9,51791563960835;-5,45807947528075;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Chinese Taipei;368,672566;7,10700461182033;465,305694;5,27356159616876;96,633128;8,84985686104704;10,919174119678;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Georgia;368,672566;7,10700461182033;338,417844;8,58510127787062;-30,254722;11,1451100714049;-2,71461850140222;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Hong Kong, SAR;368,672566;7,10700461182033;497,14825;10,8100683255181;128,475684;12,9370433930943;9,93083814409859;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Hungary;368,672566;7,10700461182033;384,780506;8,55387421330861;16,10794;11,1210736266577;1,44841591205624;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Iran, Islamic Republic of;368,672566;7,10700461182033;322,496774;6,70567555402258;-46,175792;9,7711616089517;-4,72572185866794;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Ireland;368,672566;7,10700461182033;426,931638;5,99269495726872;58,259072;9,29633838687628;6,26688375309625;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Israel;368,672566;7,10700461182033;376,883946;7,06052118132622;8,21138;10,0180074817496;,819661995158131;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Italy;368,672566;7,10700461182033;393,991462;6,05738667108301;25,318896;9,33817154669208;2,71133335615031;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Japan;368,672566;7,10700461182033;472,43579;5,57115816690749;103,763224;9,03035535696882;11,49049178003;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Kazakhstan;368,672566;7,10700461182033;410,105288;8,05588957901385;41,432722;10,74275902465;3,8568045606282;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Jordan;368,672566;7,10700461182033;278,210844;6,47393298319698;-90,461722;9,61360092906717;-9,40976463111598;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Korea, Republic of;368,672566;7,10700461182033;497,20833;4,72236012503072;128,535764;8,53288929395639;15,063568689569;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Kuwait;368,672566;7,10700461182033;292,768408;7,94765237000109;-75,904158;10,6618334608462;-7,11924063330621;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Lebanon;368,672566;7,10700461182033;344,479238;5,1068974117554;-24,193328;8,75156647273101;-2,76445686328087;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Lithuania;368,672566;7,10700461182033;409,852398;7,12863226407519;41,179832;10,0661269865251;4,09093110539186;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Malaysia;368,672566;7,10700461182033;357,439348;7,05849754945726;-11,233218;10,016581363326;-1,12146226267662;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Malta;368,672566;7,10700461182033;375,57671;3,72211239299941;6,904144;8,02269500969314;,860576650571697;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Morocco;368,672566;7,10700461182033;285,641224;3,52920411715531;-83,031342;7,93503599569538;-10,4638897725282;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Oman;368,672566;7,10700461182033;305,316528;5,6307975623471;-63,356038;9,06727057832562;-6,98733289722776;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;New Zealand;368,672566;7,10700461182033;383,64756;5,1400642686274;14,974994;8,7709620474641;1,70733768074274;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Norway;368,672566;7,10700461182033;420,14939;4,83519205298507;51,476824;8,59584764532768;5,98856868152852;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Qatar;368,672566;7,10700461182033;315,348552;5,25743711809603;-53,324014;8,84025789234508;-6,03195230833414;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Russian Federation;368,672566;7,10700461182033;422,93186;7,08016264477167;54,259294;10,0318601280548;5,40869722139168;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Saudi Arabia;368,672566;7,10700461182033;275,292834;7,04656778304772;-93,379732;10,0081782594797;-9,33034260371526;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Singapore;368,672566;7,10700461182033;519,549752;10,1243725071262;150,877186;12,3698194495914;12,197201957138;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Slovenia;368,672566;7,10700461182033;424,388486;5,82436626481081;55,71592;9,18872988715533;6,06350613025242;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;South Africa;368,672566;7,10700461182033;269,995784;4,26049276158121;-98,676782;8,28621223020032;-11,9085511279035;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Sweden;368,672566;7,10700461182033;405,522312;5,85356221594198;36,849746;9,20726371775779;4,00224726146693;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Thailand;368,672566;7,10700461182033;335,321352;5,26844949840216;-33,351214;8,84681155386783;-3,76985694754839;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;United Arab Emirates;368,672566;7,10700461182033;352,826566;3,6413820747851;-15,846;7,98556059190597;-1,98433157166965;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Turkey;368,672566;7,10700461182033;329,015024;7,60205721925493;-39,657542;10,4067664775021;-3,81074583404305;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;Egypt;368,672566;7,10700461182033;269,594518;7,84019014516638;-99,078048;10,5819703299905;-9,36291115079028;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Bahrain;United States;368,672566;7,10700461182033;409,843174;5,31885880120031;41,170608;8,87692365065407;4,6379364766719;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
