"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"23";"Iceland";"GIRL";"ASRREA0";1812;2187,581707;428,7168738;2,1346116566494;525,3464764;2,84347471446906;610,8578278;3,51436364209793;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"24";"Iceland";"BOY";"ASRREA0";1834;2230,955106;399,3565736;5,29127509551328;508,5568988;2,88491958781865;598,3647762;3,46418609119927;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"25";"Iran, Islamic Republic of";"GIRL";"ASRREA0";3874;989953,341984004;304,6506332;7,88541982620994;429,486998;6,89456463772007;541,6491312;6,73981161681575;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"26";"Iran, Islamic Republic of";"BOY";"ASRREA0";3552;822444,623644992;279,7700788;5,85693988276731;397,8321984;6,05629755390574;520,579914;8,20275873949413;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"27";"Israel";"GIRL";"ASRREA0";2018;43131,5794179997;395,653808;5,22770801805035;531,2132478;2,86219045250985;625,776576;5,03649913130426;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"28";"Israel";"BOY";"ASRREA0";1937;42258,1050939999;364,9691118;7,6671199604662;509,0720854;2,29385608620928;611,8851448;5,00364490810995;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"29";"Italy";"GIRL";"ASRREA0";1681;274495,918303;451,794193;5,33444025444277;550,9839062;3,18739389204966;628,4030446;1,88773001600425;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"30";"Italy";"BOY";"ASRREA0";1821;298821,64441;442,991367;4,39522415421504;540,729377;2,65072846291485;625,4969826;3,428122232661;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"31";"Kuwait";"GIRL";"ASRREA0";4019;10734,307513;313,5195992;4,51666690629499;425,4142554;6,65975458900821;525,106573;8,61931794864536;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"32";"Kuwait";"BOY";"ASRREA0";3107;11583,882438;254,5155438;7,49735959290598;374,862898;7,4923323236418;487,5317392;7,51278101001758;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
