"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"21";"Australia";"BSMMAT0";10;50;"BSBG01";"<Other>";"<Other>";137,969844;30,0278853507526;137,969844;30,0278853507526;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"22";"Australia";"BSMMAT0";10;90;"BSBG01";"Girl";"Girl";233,133748;9,99640349825146;233,133748;9,99640349825146;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"23";"Australia";"BSMMAT0";10;90;"BSBG01";"Girl";"Boy";233,133748;9,99640349825146;248,582562;7,640265667713;15,448814;11,210052070878;1,37812152007158;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"24";"Australia";"BSMMAT0";10;90;"BSBG01";"Girl";"<Other>";233,133748;9,99640349825146;264,949998;32,8571919885659;31,81625;31,2627109833496;1,01770604657239;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"25";"Australia";"BSMMAT0";10;90;"BSBG01";"Boy";"Girl";248,582562;7,640265667713;233,133748;9,99640349825146;-15,448814;11,210052070878;-1,37812152007158;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"26";"Australia";"BSMMAT0";10;90;"BSBG01";"Boy";"Boy";248,582562;7,640265667713;248,582562;7,640265667713;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"27";"Australia";"BSMMAT0";10;90;"BSBG01";"Boy";"<Other>";248,582562;7,640265667713;264,949998;32,8571919885659;16,367436;33,1768038911397;0,49333974585693;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"28";"Australia";"BSMMAT0";10;90;"BSBG01";"<Other>";"Girl";264,949998;32,8571919885659;233,133748;9,99640349825146;-31,81625;31,2627109833496;-1,01770604657239;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"29";"Australia";"BSMMAT0";10;90;"BSBG01";"<Other>";"Boy";264,949998;32,8571919885659;248,582562;7,640265667713;-16,367436;33,1768038911397;-0,49333974585693;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"30";"Australia";"BSMMAT0";10;90;"BSBG01";"<Other>";"<Other>";264,949998;32,8571919885659;264,949998;32,8571919885659;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
