IDCNTRY;ASBGSEX;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Iran, Islamic Republic of;BOY;ASDMSCL;2555;763879,446597863;61170,4491876841;805844,810020421;64767,4057224925;60,6065706735971;4,23401132640263;60,9541223223438;4,20363380378621;1,63917119389401;,0235372625416143;,613285916446757;,0108547167291491;,376119615311938;,0133323442707167;3,76336918441669;5,20762346555212;66;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;GIRL;ASDMSCL;2027;244076,778152697;4891,08372919809;247858,63482701;4861,21682338376;49,0030289401909;,818598316069571;48,2538883264973;,825131728971922;1,50728067993052;,0201648534780236;,673369208664649;,0116456113856876;,453426091177656;,0157010854331288;1,81776351900252;1,52581195202373;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;BOY;ASDMSCL;2113;254008,306446048;5232,55829782192;265796,623687992;5435,42501949321;50,9969710598091;,818598316069573;51,7461116735027;,82513172897192;1,45290310951658;,0179892857091907;,650943538147543;,012785832636866;,423727489856042;,0166252916004562;1,61376649913141;4,43508915891341;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;GIRL;ASDMSCL;2200;566761,512620027;6525,67516463633;571294,1374;6564,62692090695;49,0756146510986;,591793216153463;48,8664300822209;,593808087119376;1,94944733969155;,0172336467798965;,748266280440783;,00710471237571017;,559902426444685;,0106341544755402;1,16698347439627;,793395990563652;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;BOY;ASDMSCL;2267;588112,484678628;8830,56421804615;597799,116268749;9032,07366100196;50,9243853489014;,591793216153458;51,1335699177791;,593808087119383;1,70051183935064;,0185883066036366;,737648815950093;,00949173722824286;,544125775672574;,0140037185254102;1,43956697664566;1,6203823870771;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;GIRL;ASDMSCL;1764;14148,9461953615;416,855732822586;14294,7238750689;429,719214497422;49,0393369392098;,899220114966095;48,9452951678625;,912181923492962;1,72566002064831;,0245074312266388;,76080414649937;,00999362727227162;,578822949330635;,0151999513018932;1,83041018699166;1,01980059902843;71;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;BOY;ASDMSCL;1830;14703,2917802474;436,163644677467;14910,78776;442,604487863567;50,9606630607902;,899220114966095;51,0547048321375;,912181923492966;1,60153563603251;,0209224777651558;,717316954756533;,0109413005594881;,514543613581187;,0157159909790963;1,55687995658856;1,39158294729173;71;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;GIRL;ASDMSCL;2018;20162,1499187869;769,660405902049;20635,8620860709;767,68095933734;49,0909704565601;,942332002191422;48,9203563692436;,926943797186652;1,52014472627179;,0200306929185159;,665047171819718;,0121990573785816;,442287740745405;,0162284235059547;1,83066216595899;2,29557730764166;74;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;BOY;ASDMSCL;2081;20908,8448716463;769,962097950696;21546,7048811737;798,465307064579;50,9090295434399;,942332002191431;51,0796436307563;,926943797186638;1,41017645077108;,0196926445857227;,605710862027669;,0152838254786025;,366885648378302;,0185362001253376;2,19962902729901;2,96035989282371;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;GIRL;ASDMSCL;1933;27186,38257;824,934401604704;27941,726636482;875,439319060615;49,8122729598852;,886688625339405;49,5677187896529;,832807975606001;1,53682610291512;,0232418731369076;,639343965557146;,0129093695028529;,408760706294337;,0165077545974055;2,55449446353882;2,70328343085099;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
