S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Boy;S_HISCED;IDCNTRY;Chile;Russian Federation (Moscow);50,7935012390907;1,6409774354534;50,8398703940305;,806981779670845;,046369154939832;1,8286679677809;,0253567928988777;2,69136775235732;,0503674170901528;3,61623995083443;,0242905520159908;,924872198477111;,0559187591204863;16,5395694222098;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Germany, North-Rhine Westphalia;50,7935012390907;1,6409774354534;51,7438819246505;1,18705673126685;,95038068555985;2,02531741386706;,46925024149436;2,69136775235732;,0503674170901528;2,3535750536094;,0503180858847393;-,337792698747918;,0711954104661067;-4,7445853115592;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Chile;50,0583220035144;,938507742644435;50,7935012390907;1,6409774354534;,735179235576297;1,89039776943128;,388901874232254;2,92969198044394;,0410860866861539;2,69136775235732;,0503674170901528;-,238324228086619;,0649995632563448;-3,66655122199388;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Denmark;50,0583220035144;,938507742644435;50,0583220035144;,938507742644435;0; ; ;2,92969198044394;,0410860866861539;2,92969198044394;,0410860866861539;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Finland;50,0583220035144;,938507742644435;50,1814578303344;,83762360737052;,123135826820068;1,25793882626619;,0978869753035284;2,92969198044394;,0410860866861539;3,28204142263531;,0305710995556675;,352349442191367;,0512118994690168;6,88022599912621;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;France;50,0583220035144;,938507742644435;50,0273947909281;,694410151289275;-,0309272125863203;1,16747686967115;-,0264906426754576;2,92969198044394;,0410860866861539;2,79625242994161;,030979747275773;-,133439550502326;,0514568873956919;-2,5932301243992;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Germany;50,0583220035144;,938507742644435;50,9592572899568;1,02274339808776;,900935286442405;1,38809251901149;,649045560078369;2,92969198044394;,0410860866861539;2,24245783712008;,046631434490857;-,68723414332386;,0621494746708067;-11,0577627077944;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Italy;50,0583220035144;,938507742644435;52,2967850632455;,663377580808835;2,23846305973111;1,14928960567967;1,94769277357844;2,92969198044394;,0410860866861539;2,63774393536469;,0377251713309468;-,291948045079247;,0557786255758551;-5,23404874295831;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Kazakhstan;50,0583220035144;,938507742644435;51,6264179277943;,675688311911232;1,56809592427997;1,15643913711747;1,35596926284299;2,92969198044394;,0410860866861539;2,92054006672829;,0353076792519436;-,00915191371565349;,0541728597485889;-,16893909160651;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Korea, Republic of;50,0583220035144;,938507742644435;52,8533798813279;,894623957772262;2,79505787781353;1,29659122657207;2,15569704663444;2,92969198044394;,0410860866861539;3,52494785227606;,0344462429377208;,595255871832119;,0536153911830048;11,1023319740471;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
