"";"IDCNTRY";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"18";"Germany";"S_HISCED";"S_SEX";"Boy";"Girl";50,9592572899568;1,02274339808776;49,0407427100432;1,02274339808776;-1,91851457991357;2,04548679617552;-0,937925672999037;2,24245783712008;0,046631434490857;2,26298740145528;0,0465129446834134;0,020529564335205;0,0547537423141865;0,374943583169216;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"19";"Germany";"S_HISCED";"S_SEX";"Girl";"Boy";49,0407427100432;1,02274339808776;50,9592572899568;1,02274339808776;1,91851457991357;2,04548679617552;0,937925672999037;2,26298740145528;0,0465129446834134;2,24245783712008;0,046631434490857;-0,020529564335205;0,0547537423141865;-0,374943583169216;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"20";"Germany";"S_HISCED";"S_SEX";"Girl";"Girl";49,0407427100432;1,02274339808776;49,0407427100432;1,02274339808776;0;NA;NA;2,26298740145528;0,0465129446834134;2,26298740145528;0,0465129446834134;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"21";"Italy";"S_HISCED";"S_SEX";"Boy";"Boy";52,2967850632455;0,663377580808835;52,2967850632455;0,663377580808835;0;NA;NA;2,63774393536469;0,0377251713309468;2,63774393536469;0,0377251713309468;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"22";"Italy";"S_HISCED";"S_SEX";"Boy";"Girl";52,2967850632455;0,663377580808835;47,7032149367545;0,663377580808864;-4,59357012649099;1,3267551616177;-3,46225909601143;2,63774393536469;0,0377251713309468;2,60193829578539;0,040443477289076;-0,0358056395793045;0,0383950662273183;-0,932558349224271;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"23";"Italy";"S_HISCED";"S_SEX";"Girl";"Boy";47,7032149367545;0,663377580808864;52,2967850632455;0,663377580808835;4,59357012649099;1,3267551616177;3,46225909601143;2,60193829578539;0,040443477289076;2,63774393536469;0,0377251713309468;0,0358056395793045;0,0383950662273183;0,932558349224271;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"24";"Italy";"S_HISCED";"S_SEX";"Girl";"Girl";47,7032149367545;0,663377580808864;47,7032149367545;0,663377580808864;0;NA;NA;2,60193829578539;0,040443477289076;2,60193829578539;0,040443477289076;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"25";"Kazakhstan";"S_HISCED";"S_SEX";"Boy";"Boy";51,6264179277943;0,675688311911232;51,6264179277943;0,675688311911232;0;NA;NA;2,92054006672829;0,0353076792519436;2,92054006672829;0,0353076792519436;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"26";"Kazakhstan";"S_HISCED";"S_SEX";"Boy";"Girl";51,6264179277943;0,675688311911232;48,3735820722057;0,675688311911242;-3,25283585558868;1,35137662382247;-2,40705351731465;2,92054006672829;0,0353076792519436;2,87263381053618;0,0378690725666233;-0,0479062561921046;0,0360424631847026;-1,32916154888208;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"27";"Kazakhstan";"S_HISCED";"S_SEX";"Girl";"Boy";48,3735820722057;0,675688311911242;51,6264179277943;0,675688311911232;3,25283585558868;1,35137662382247;2,40705351731465;2,87263381053618;0,0378690725666233;2,92054006672829;0,0353076792519436;0,0479062561921046;0,0360424631847026;1,32916154888208;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"28";"Kazakhstan";"S_HISCED";"S_SEX";"Girl";"Girl";48,3735820722057;0,675688311911242;48,3735820722057;0,675688311911242;0;NA;NA;2,87263381053618;0,0378690725666233;2,87263381053618;0,0378690725666233;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"29";"Korea, Republic of";"S_HISCED";"S_SEX";"Boy";"Boy";52,8533798813279;0,894623957772262;52,8533798813279;0,894623957772262;0;NA;NA;3,52494785227606;0,0344462429377208;3,52494785227606;0,0344462429377208;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"30";"Korea, Republic of";"S_HISCED";"S_SEX";"Boy";"Girl";52,8533798813279;0,894623957772262;47,1466201186721;0,894623957772276;-5,70675976265583;1,78924791554454;-3,18947403156205;3,52494785227606;0,0344462429377208;3,50445122483392;0,0309149786593718;-0,0204966274421428;0,0396469495232739;-0,516978675247401;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"31";"Korea, Republic of";"S_HISCED";"S_SEX";"Girl";"Boy";47,1466201186721;0,894623957772276;52,8533798813279;0,894623957772262;5,70675976265583;1,78924791554454;3,18947403156205;3,50445122483392;0,0309149786593718;3,52494785227606;0,0344462429377208;0,0204966274421428;0,0396469495232739;0,516978675247401;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"32";"Korea, Republic of";"S_HISCED";"S_SEX";"Girl";"Girl";47,1466201186721;0,894623957772276;47,1466201186721;0,894623957772276;0;NA;NA;3,50445122483392;0,0309149786593718;3,50445122483392;0,0309149786593718;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"33";"Luxembourg";"S_HISCED";"S_SEX";"Boy";"Boy";52,15982393194;0,716578984912026;52,15982393194;0,716578984912026;0;NA;NA;2,75566953613543;0,0259057673998659;2,75566953613543;0,0259057673998659;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"34";"Luxembourg";"S_HISCED";"S_SEX";"Boy";"Girl";52,15982393194;0,716578984912026;47,84017606806;0,716578984912065;-4,31964786388001;1,43315796982409;-3,01407657413384;2,75566953613543;0,0259057673998659;2,7774628090119;0,0231409985615958;0,0217932728764718;0,0395625005181893;0,550856811147519;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
