"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"31";"Jordan";"Girl";"BSMMAT0";4278;62850,4691020004;3569,42494776269;50,4733381555364;2,58278994518666;394,851654141609;4,03451514001795;"387 to 403";15,5342127138657;0,743099701168368;89,0708020201193;1,85682504079756;7934,31806991554;331,291037523217;1,40066209768575;6,26585724644248;8,3756866569158;1,04783632842269;8,77634875460155;0;67;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"32";"Jordan";"Boy";"BSMMAT0";3585;61671,64772;3361,96415268267;49,5266618444636;2,58278994518666;376,259253718098;5,37209354022966;"366 to 387";27,3924001177996;1,46698888717766;97,3749213392964;2,24049430587045;9482,59656211775;436,673414647873;1,55461129513216;7,01822358220043;10,3559983575195;1,05355459473682;10,9106096526517;0;60;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"33";"Korea, Republic of";"Girl";"BSMMAT0";2605;268958,512374003;4301,63425919885;47,4138831718149;0,548383605829961;605,044751662261;2,64899983463679;"600 to 610";6,25074736811358;0,766452755792173;80,9372333534197;1,38314429262302;6551,05618382312;223,771158383145;1,30477672192294;2,13857293337452;2,48558345967859;1,12261777842791;2,79036018160153;0;61;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"34";"Korea, Republic of";"Boy";"BSMMAT0";2703;298298,363421998;4979,12238946062;52,5861168281852;0,54838360582997;606,382307167597;3,14706096081884;"600 to 613";9,22985423822228;0,674138452887744;89,0326019920145;1,47203298192891;7927,05488992833;262,154887311947;1,22987052107722;2,74590241777184;3,14723391629503;1,07303890565206;3,37710443737226;0;60;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"35";"Kuwait";"Girl";"BSMMAT0";2132;18302,7785769999;962,51126847604;50,696604836578;2,66452099670305;395,968518915832;4,77625276700692;"387 to 405";18,6778176708691;4,13477282347212;82,5140523522242;3,62285934120946;6809,20630100069;597,607080143215;2,29462014660167;3,11282359869788;5,84812759578761;1,2213734439608;7,14274774238928;0;60;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"36";"Kuwait";"Boy";"BSMMAT0";2044;17799,7940429999;1115,73382844642;49,303395163422;2,66452099670306;388,712425596763;7,3376015714108;"374 to 403";50,8399562488093;3,00044057196102;98,1536011905831;4,15165384841494;9635,47582488916;814,601916094218;1,63649171463298;6,9791441192926;10,7848198118189;1,05901737124393;11,4213115264518;0;59;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"37";"Lebanon";"Girl";"BSMMAT0";2075;31692,838107;1291,77692231391;53,3790072074064;1,61622283751917;441,252287359753;3,7534676053637;"434 to 449";12,6082178890551;1,48030117545962;74,3183567057916;1,82828726086239;5523,54238436372;272,018581863994;1,55609692572904;3,4011760282009;4,73646263561769;1,11740764543295;5,29255956134673;0;70;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"38";"Lebanon";"Boy";"BSMMAT0";1792;27680,386996;1247,76182888822;46,6209927925936;1,61622283751917;443,86912174029;4,5013955510948;"435 to 453";19,8731542236435;0,389407683772597;76,3401410888387;2,19881277372953;5828,16088039023;335,896853606252;1,11973220774814;5,56399406677555;6,11045115254002;1,01959465917641;6,23018336028816;0;70;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"39";"Lithuania";"Girl";"BSMMAT0";2101;13528,543494;362,06701800987;49,7086125516973;0,821846261946053;509,941097180002;3,36753412470088;"503 to 517";9,35103573268532;1,98925034833962;76,1186630553845;1,8942684250136;5794,15634210695;288,470566038589;1,72131553501398;2,38890767231743;3,3907483530601;1,21273048304012;4,11206388807408;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"40";"Lithuania";"Boy";"BSMMAT0";2238;13687,149722;322,903640908701;50,2913874483028;0,821846261946058;512,643618175895;3,1450221551687;"506 to 519";9,7235508373471;0,167613519154873;78,51076866153;1,77152520801383;6164,26773537839;278,203441835485;1,06085379025893;3,38509198744463;3,53023387499684;1,01723789199632;3,59108766525577;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
