IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Bahrain;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Girl;186,409028;7,48430983525294;186,409028;7,48430983525294;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Boy;186,409028;7,48430983525294;220,700042;5,35021851197723;34,291014;9,68017677815834;3,54239543201027;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Girl;220,700042;5,35021851197723;186,409028;7,48430983525294;-34,291014;9,68017677815834;-3,54239543201027;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Boy;220,700042;5,35021851197723;220,700042;5,35021851197723;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Girl;93,394222;4,37343240820456;93,394222;4,37343240820456;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Boy;93,394222;4,37343240820456;115,331892;4,4406948723791;21,93767;5,90981835611554;3,71207178936366;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Girl;115,331892;4,4406948723791;93,394222;4,37343240820456;-21,93767;5,90981835611554;-3,71207178936366;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Boy;115,331892;4,4406948723791;115,331892;4,4406948723791;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Girl;107,452354;4,26367291329978;107,452354;4,26367291329978;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Boy;107,452354;4,26367291329978;118,669938;5,40564767019587;11,217584;6,55442983493123;1,71145077184546;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Girl;118,669938;5,40564767019587;107,452354;4,26367291329978;-11,217584;6,55442983493123;-1,71145077184546;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Boy;118,669938;5,40564767019587;118,669938;5,40564767019587;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Girl;201,383604;5,55982726538394;201,383604;5,55982726538394;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Boy;201,383604;5,55982726538394;227,33031;6,65450572023649;25,946706;8,6729919721609;2,99166724508512;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Girl;227,33031;6,65450572023649;201,383604;5,55982726538394;-25,946706;8,6729919721609;-2,99166724508512;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Boy;227,33031;6,65450572023649;227,33031;6,65450572023649;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Girl;93,93125;3,59206779771488;93,93125;3,59206779771488;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Boy;93,93125;3,59206779771488;108,660372;5,22902097666034;14,729122;5,90793711712596;2,49310744308756;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
