"";"IDCNTRY";"S_SEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"24";"France";"Girl";"PVCIL";"Percentile";50;90;516,166762678366;4,14045269119832;604,401961696192;3,83578806897796;88,235199017826;4,67836051175036;18,8602821001526;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"25";"Germany";"Boy";"PVCIL";"Percentile";10;50;393,66165248209;11,0348106346754;521,597376661421;3,56753678097327;127,935724179331;11,1111148455608;11,514211306208;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"26";"Germany";"Boy";"PVCIL";"Percentile";10;90;393,66165248209;11,0348106346754;610,579877043821;4,57657086324449;216,918224561731;11,7646796279418;18,4380902346493;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"27";"Germany";"Boy";"PVCIL";"Percentile";50;90;521,597376661421;3,56753678097327;610,579877043821;4,57657086324449;88,9825003823996;4,12100694517609;21,5924169908424;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"28";"Germany";"Girl";"PVCIL";"Percentile";10;50;424,349481535956;7,99266997284802;534,56366352493;3,726042882248;110,214181988975;7,82834126510664;14,0788678286464;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"29";"Germany";"Girl";"PVCIL";"Percentile";10;90;424,349481535956;7,99266997284802;614,911719279663;3,46701510067403;190,562237743707;8,7042184490228;21,8930899838688;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"30";"Germany";"Girl";"PVCIL";"Percentile";50;90;534,56366352493;3,726042882248;614,911719279663;3,46701510067403;80,3480557547328;4,39527592394925;18,2805487402798;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"31";"Italy";"Boy";"PVCIL";"Percentile";10;50;342,846392289225;9,1927311153872;459,29386178569;4,27552240049325;116,447469496465;9,17048336985409;12,6980732421652;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"32";"Italy";"Boy";"PVCIL";"Percentile";10;90;342,846392289225;9,1927311153872;553,655740827176;4,94724138406024;210,80934853795;10,255919613072;20,554894781864;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"33";"Italy";"Boy";"PVCIL";"Percentile";50;90;459,29386178569;4,27552240049325;553,655740827176;4,94724138406024;94,3618790414856;4,72100120139291;19,9876837594628;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"34";"Italy";"Girl";"PVCIL";"Percentile";10;50;364,334301763724;7,4277321312813;473,87509654029;4,70181707590377;109,540794776566;7,25535230382724;15,0979291134881;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"35";"Italy";"Girl";"PVCIL";"Percentile";10;90;364,334301763724;7,4277321312813;566,089149101005;4,74785275307665;201,754847337281;7,6561483776519;26,3520033031489;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"36";"Italy";"Girl";"PVCIL";"Percentile";50;90;473,87509654029;4,70181707590377;566,089149101005;4,74785275307665;92,214052560715;4,18899676439271;22,0133978962582;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"37";"Kazakhstan";"Boy";"PVCIL";"Percentile";10;50;250,202041602083;9,04714774072294;392,053196582627;7,84865779506272;141,851154980544;9,47189921143813;14,9759991965757;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"38";"Kazakhstan";"Boy";"PVCIL";"Percentile";10;90;250,202041602083;9,04714774072294;530,581949926091;8,17200305637145;280,379908324008;10,8263593675122;25,8978940940547;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
