IDCNTRY;ASBGSEX;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Iceland;GIRL;ASDGSATR;1727;2082,711099;39,052452161369;2187,581707;38,4401502206188;49,3367564087092;,784598453980475;49,5091882127994;,76494474287329;1,43765889634797;,016176624965512;,54109989684553;,00792362770237551;,292789098366243;,0085784064693815;1,54352358322549;4,79390587626632;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;BOY;ASDGSATR;1759;2138,707678;34,6044344663586;2230,955106;36,414106502784;50,6632435912908;,784598453980456;50,4908117872006;,764944742873285;1,70353688747547;,0144904487874307;,631293752482247;,0106554521399287;,398531801923117;,0134676432072772;,926758396141286;4,13488499844335;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;GIRL;ASDGSATR;3783;971061,251221;76194,0078422534;989953,341983999;78314,0460797684;54,6703602542699;3,53528809882404;54,6211903101782;3,55478170558178;1,28395422406598;,0222630596887199;,501598882514244;,0151303465424505;,251601438939539;,0151668892388141;7,45234448706767;1,9083819369848;64;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;BOY;ASDGSATR;3458;805150,295043976;71462,6030839354;822444,623644973;72667,0949619636;45,3296397457301;3,53528809882404;45,3788096898218;3,55478170558179;1,35438178991094;,0291840917978817;,530661835813957;,0163451269700731;,281601983989439;,0173790966708201;10,4587948441257;2,10279550790346;64;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;GIRL;ASDGSATR;1852;39504,6921649998;1239,40573719958;43131,5794179997;1408,78035313122;50,3169500622409;1,34481834023699;50,5114636088609;1,31952841938941;1,52070735590302;,0188857456986703;,599359933314214;,0108133476230909;,359232329662419;,0129556647912929;1,83879723743794;8,40889042770926;72;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;BOY;ASDGSATR;1784;39007,00641;1280,22005615257;42258,1050939998;1276,57996804711;49,6830499377591;1,34481834023698;49,4885363911391;1,31952841938941;1,74801684544343;,0216632265436773;,627282938307328;,0100002250415045;,393483884691475;,0125411985718391;2,12771856264652;7,69343224635414;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;GIRL;ASDGSATR;1636;266692,554670002;6038,74282692756;274495,918303001;5917,71484555007;47,6640917950889;,867870495484229;47,8785120420969;,859175033879417;1,36759030788581;,018404427651742;,548719238935784;,0133581204956998;,301092803178266;,0146252240013264;1,84046497329201;2,84279769303756;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;BOY;ASDGSATR;1787;292832,539853001;7486,43939469735;298821,644410001;7508,9031307282;52,3359082049112;,867870495484223;52,1214879579031;,859175033879417;1,62671598469599;,0189480052213071;,644183379295668;,010124491485457;,414972226160786;,0130359810748149;1,54608196209058;2,0042405458363;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Kuwait;GIRL;ASDGSATR;3193;8480,820901;312,526107653697;10734,3075130001;81,3734244222768;53,130130087545;1,73638673896887;48,0966760143517;,31632822410081;1,47248484572143;,0164657825528373;,544607725865095;,0055250550674749;,29659757507195;,00601142284366046;2,91874446401621;20,9933114853552;44;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Kuwait;BOY;ASDGSATR;1978;7481,535839;445,598718592991;11583,882438;118,818482625444;46,869869912455;1,73638673896886;51,9033239856483;,316328224100795;1,63908980828182;,0229718046260869;,596248804078661;,0102685775499634;,355512636365233;,0122351549020277;2,9360366552899;35,4142630586665;36;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;GIRL;ASDGSATR;1461;16091,205012;534,957128265803;16289,56881;542,720953134137;47,8303121372641;1,11556843151882;47,8070442693861;1,12882903507526;1,46463405397075;,0226627979342618;,567631055781276;,012315938433773;,322205015487366;,0139974129330415;2,32886853167262;1,21773510590548;71;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;BOY;ASDGSATR;1507;17551,069715;602,82775887574;17784,0056159999;606,690893162599;52,1696878627359;1,11556843151882;52,1929557306139;1,12882903507526;1,83036903326436;,0246824871581012;,624580561478418;,0110576805914441;,390100877776696;,0137956609223062;2,35349979190886;1,30980559739833;71;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;GIRL;ASDGSATR;1287;21522,1512049999;503,746259391923;21707,1279189999;503,70572901792;51,2030607520573;,975171766923293;51,0480306827869;,962396547888723;1,43835156797933;,0200217063423098;,555515895496559;,0114941361454411;,308597910149344;,0127866283493873;1,67181316504111;,852147343905836;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;BOY;ASDGSATR;1215;20510,7876249999;426,76398661602;20815,8208189999;419,348639611944;48,7969392479427;,975171766923277;48,9519693172131;,962396547888739;1,76993858693908;,0232193321343083;,609254597119598;,0123183470300902;,371191164111363;,014996108724036;1,76472929805761;1,46539114000048;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;GIRL;ASDGSATR;1713;29823,3671919998;1407,80761531477;30193,1782639998;1392,15688758772;50,3131167785467;1,0508893915026;50,0732038554082;1,03494969052324;1,290797371912;,0222145694506159;,471802652880742;,0128962086459578;,222597743265306;,0121481816087844;3,79762787724431;1,22481664158204;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;BOY;ASDGSATR;1731;29452,1639249999;1045,10193605246;30104,8972319998;1042,04836248999;49,6868832214534;1,05088939150259;49,9267961445918;1,03494969052326;1,44001424279048;,021627736240333;,545965571019508;,0104282777779569;,298078404738658;,0113964661406566;2,71636848777968;2,16819642986916;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Morocco;GIRL;ASDGSATR;1338;229581,034077;10951,4645496367;243071,45055;11336,5922697428;44,4808442843787;1,27999978597692;44,6806153783331;1,2680549549243;1,47727668118809;,0311694626409623;,541467530682978;,017236081435452;,293187086783922;,018883591353354;4,43373676935737;5,54997982793748;59;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Morocco;BOY;ASDGSATR;1581;286553,580206;13666,6853072473;300948,475075;14555,8111563088;55,5191557156213;1,27999978597693;55,3193846216669;1,2680549549243;1,60575276802758;,0295959885386872;,56339353387946;,0166715155718805;,317412274017187;,0189981952274833;4,36288589092911;4,78317587933038;59;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;GIRL;ASDGSATR;2025;89757,6629220004;2557,9045092619;90388,3254470004;2574,28253329752;50,3383551016348;,865923918822018;50,2070443100846;,853736932648593;1,49441153084125;,0199100021459029;,614431457905491;,0105633901188736;,377526016463868;,0129773518353313;2,12628147605502;,697725643086276;67;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;BOY;ASDGSATR;2013;88551,0298050002;2606,32265060464;89642,8368910003;2692,76559389624;49,6616448983652;,865923918822016;49,7929556899154;,853736932648585;1,93253299516497;,0270458781469791;,721347622697418;,00841857783586947;,520342392771216;,0121483400499716;2,82980649618439;1,21795240296507;67;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;GIRL;ASDGSATR;1171;27560,037095;1260,77583092047;27896,6701810001;1282,77823206;48,9278794657248;1,2871229883903;48,60605245932;1,2994815244994;1,43734293409883;,0197589470750816;,570379671122243;,0127897685508545;,325332969229517;,0145667319527531;1,40525912515359;1,20671422006944;74;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;BOY;ASDGSATR;1237;28767,842625;1181,85018261883;29496,73819;1202,31471867142;51,0721205342752;1,28712298839029;51,39394754068;1,29948152449941;1,69350314738799;,022854761278352;,671171318816111;,0132865936265902;,450470939201357;,0178393582346664;1,43435383653923;2,47110565346209;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;GIRL;ASDGSATR;1608;27009,13779;1035,51210768116;27498,3182460002;999,864165620847;48,3235494310798;,988798639726236;48,106382504498;,968260871144508;1,49960557863481;,0176248599325923;,589640499708373;,0108491717116534;,34767591889634;,012793753580623;1,43668905029822;1,77894681276065;69;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;BOY;ASDGSATR;1724;28883,1509760002;1087,63960318172;29663,1576630002;1072,01513583515;51,6764505689202;,988798639726229;51,893617495502;,968260871144502;1,79645055295784;,024296875518495;,648031672266069;,0116012526083763;,419945048259957;,0150177469476814;2,42351467648017;2,62954704910909;69;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Romania;GIRL;ASDGSATR;1745;138450,887788001;4047,61207045297;143398,762338001;4108,66445093485;50,5944303527956;,989616985510455;50,676988138065;,9959362341104;1,33936738998702;,019193337092903;,485483044841108;,00987348450056478;,235693786828193;,00955775612105196;2,72739650051928;3,45043044258465;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
