"";"IDCNTRY";"LL";"CSR";"NKR";"LL.svr";"LL.se";"CSR.se";"NKR.se";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";336092,758066458;0,0905094937288785;0,124558112738832;74280278,0988657;8731,24287957909;0,00984914103004744;0,0134189840840582;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"2";"Austria";92355,7977624964;0,062821438404698;0,0878481741201824;3255604,71616044;1913,22850726038;0,0100251719426317;0,0137890842077157;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"3";"Azerbaijan, Republic of";146465,449621811;0,0394817592916158;0,0569831446751288;21231609,1015031;4664,28878104834;0,00778935433058904;0,0111627859465086;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"4";"Bahrain";11843,5564245164;0,0245639320530448;0,0481196965944161;218931,42984012;532,177912041434;0,00486642967020551;0,00938437256166758;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"5";"Brazil";722892,560990533;0,0178684453931661;0,0644183214055176;17784123838,0514;137609,732161096;0,00645841711971282;0,0259052122521528;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"6";"Chile";102364,209523284;0,0218140124847325;0,059646815821133;37219849,2450521;7391,31057618915;0,00479785745661686;0,0126814381627772;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"7";"Chinese Taipei";200136,794058522;0,0645500468959112;0,0933323756920237;15790275,7020978;4068,10172909293;0,00715423660121351;0,010068795821498;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"8";"Cyprus";10455,3615961977;0,0625809203748116;0,0889445949530394;83027,4380315374;295,502749771747;0,00807755027227658;0,0115703380959076;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"9";"Czech Republic";136759,841529142;0,0650927514635071;0,0894434984387275;7707244,31108553;2853,3384475897;0,00904718165923991;0,0123718227084633;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"10";"England";700736,456027454;0,0670583604717215;0,0899533946779255;637847917,188833;25488,1920828855;0,0129280536841258;0,017338105766297;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"11";"Finland";63628,5432103149;0,0744946031742678;0,105097136821594;2410506,67505693;1660,11771960608;0,00995230819351471;0,0138878590314806;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"12";"France";743092,904016047;0,0696001581319944;0,10858371492278;809036542,967868;29707,1197426598;0,00993867333254142;0,0151329387802261;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"13";"Georgia";37611,1060150818;0,0420007717553022;0,0662460442780513;1681302,03394951;1385,97714921968;0,00904549043817317;0,0139713947702365;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"14";"Hong Kong, SAR";66361,4584404734;0,0442085238576002;0,0609007167583348;2324709,25545673;1534,84737758386;0,00809816059200387;0,0110711985894413;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"15";"Hungary";101668,668693631;0,0745307403292747;0,103257980767258;4668243,95584859;2270,73719587966;0,0106373495372315;0,0146664470170215;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"16";"Iran, Islamic Republic of";660665,587283573;0,0177574783557445;0,0411035921767489;2329855137,6788;50635,4207697876;0,00436052340062997;0,010011360525048;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"17";"Ireland";87577,0651595849;0,0775201117772252;0,105377351610003;5902620,11989469;2432,84489050696;0,0131011235946831;0,0176741177823979;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"18";"Israel";126520,008281047;0,0197439572229108;0,0282960021430349;11608213,3267976;3535,7694697583;0,00612849715791312;0,00866480341414539;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"19";"Italy";588429,927138576;0,0896552241507803;0,127104577091853;331032864,531231;18561,1104972981;0,0124148364012077;0,01729224467711;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
