"";"BSBG01";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Azerbaijan, Republic of";345,700792;8,18791297536278;345,700792;8,18791297536278;0;11,5794575772887;0;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"2";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Australia";345,700792;8,18791297536278;385,42484;8,46082166274706;39,724048;11,7740146976689;3,37387450415403;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Austria";345,700792;8,18791297536278;412,141486;6,53024849495686;66,440694;10,4731114907653;6,34393074671115;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"4";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Bahrain";345,700792;8,18791297536278;314,91093;4,17290448365763;-30,789862;9,18994291178374;-3,35038664500515;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"5";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Brazil";345,700792;8,18791297536278;261,90637;3,36658908779642;-83,794422;8,85301310166116;-9,46507375938221;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"6";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Chile";345,700792;8,18791297536278;302,269758;4,96783549842327;-43,431034;9,57712422554435;-4,53487215756893;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"7";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Chinese Taipei";345,700792;8,18791297536278;480,164294;6,12687007850226;134,463502;10,226458617281;13,1485890700012;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"8";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Cyprus";345,700792;8,18791297536278;367,819678;4,09912954855217;22,118886;9,15667963554081;2,41560116553031;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"9";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Czech Republic";345,700792;8,18791297536278;403,964986;3,97272753646358;58,264194;9,10079573285162;6,40209886149633;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"10";"Girl";10;"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Finland";345,700792;8,18791297536278;402,863664;4,85312366525997;57,162872;9,51812629683073;6,00568538568706;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
