"";"IDCNTRY";"ASBGSEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"20";"Cyprus";"GIRL";"ASMMAT0";"Percentile";10;90;395,136809031771;6,34125986009126;604,465522588846;5,2949841314615;209,328713557075;6,87007618838136;30,4696349526794;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"21";"Cyprus";"GIRL";"ASMMAT0";"Percentile";50;90;511,542725979427;3,26101300517066;604,465522588846;5,2949841314615;92,9227966094192;4,97130405483755;18,6918352980234;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"22";"Cyprus";"BOY";"ASMMAT0";"Percentile";10;50;397,151569326257;5,09050101425951;520,027137798894;3,39367121165867;122,875568472636;5,09752049208339;24,1049680258208;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"23";"Cyprus";"BOY";"ASMMAT0";"Percentile";10;90;397,151569326257;5,09050101425951;622,560444389475;4,82401074519883;225,408875063218;5,65638592674306;39,8503351755929;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"24";"Cyprus";"BOY";"ASMMAT0";"Percentile";50;90;520,027137798894;3,39367121165867;622,560444389475;4,82401074519883;102,533306590581;4,55717206853404;22,4993274444352;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"25";"Hong Kong, SAR";"GIRL";"ASMMAT0";"Percentile";10;50;498,383198281335;3,86386699188495;576,725463607718;4,244017473551;78,3422653263827;4,20237879668907;18,6423616519544;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"26";"Hong Kong, SAR";"GIRL";"ASMMAT0";"Percentile";10;90;498,383198281335;3,86386699188495;649,543138844962;6,47611616813538;151,159940563627;6,79387148583169;22,2494553920933;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"27";"Hong Kong, SAR";"GIRL";"ASMMAT0";"Percentile";50;90;576,725463607718;4,244017473551;649,543138844962;6,47611616813538;72,8176752372444;5,23873189288966;13,8998667475381;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"28";"Hong Kong, SAR";"BOY";"ASMMAT0";"Percentile";10;50;486,937186527392;3,94521666360928;579,184492079976;5,37331513080183;92,2473055525844;4,45026986210556;20,7284745444491;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"29";"Hong Kong, SAR";"BOY";"ASMMAT0";"Percentile";10;90;486,937186527392;3,94521666360928;657,278119906463;5,94574397120639;170,340933379072;5,82037917026723;29,2662949261518;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"30";"Hong Kong, SAR";"BOY";"ASMMAT0";"Percentile";50;90;579,184492079976;5,37331513080183;657,278119906463;5,94574397120639;78,0936278264874;4,30136559159884;18,1555429696595;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"31";"Hungary";"GIRL";"ASMMAT0";"Percentile";10;50;424,161915383871;7,22232326351294;532,631009182927;6,38818246716073;108,469093799056;6,29561198350554;17,2293168770954;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"32";"Hungary";"GIRL";"ASMMAT0";"Percentile";10;90;424,161915383871;7,22232326351294;620,459384058557;4,70735202443656;196,297468674686;7,54123413978899;26,0298864928465;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"33";"Hungary";"GIRL";"ASMMAT0";"Percentile";50;90;532,631009182927;6,38818246716073;620,459384058557;4,70735202443656;87,8283748756303;5,85747986988134;14,9942256442461;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"34";"Hungary";"BOY";"ASMMAT0";"Percentile";10;50;426,41939856236;8,16974071241129;535,629356343467;2,50369562001183;109,209957781107;7,34656437080163;14,8654462506521;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"35";"Hungary";"BOY";"ASMMAT0";"Percentile";10;90;426,41939856236;8,16974071241129;627,515467494275;4,52561707745801;201,096068931915;8,17566079021835;24,5969193306691;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"36";"Hungary";"BOY";"ASMMAT0";"Percentile";50;90;535,629356343467;2,50369562001183;627,515467494275;4,52561707745801;91,8861111508081;4,21303609015098;21,809951109988;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"37";"Iran, Islamic Republic of";"GIRL";"ASMMAT0";"Percentile";10;50;285,639326002031;9,51728761152617;395,510647809163;6,76294633953906;109,871321807132;9,29495708695207;11,8205302917821;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"38";"Iran, Islamic Republic of";"GIRL";"ASMMAT0";"Percentile";10;90;285,639326002031;9,51728761152617;501,514246799991;7,99861927011333;215,87492079796;11,2946247953514;19,1130670305054;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"39";"Iran, Islamic Republic of";"GIRL";"ASMMAT0";"Percentile";50;90;395,510647809163;6,76294633953906;501,514246799991;7,99861927011333;106,003598990828;5,14829170292426;20,590052993815;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"40";"Iran, Islamic Republic of";"BOY";"ASMMAT0";"Percentile";10;50;274,780438926763;9,07380357790395;386,920258446662;7,19035655501634;112,139819519899;5,23587946494238;21,417570872429;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"41";"Iran, Islamic Republic of";"BOY";"ASMMAT0";"Percentile";10;90;274,780438926763;9,07380357790395;499,954647198099;4,55882753214992;225,174208271336;8,16117008097236;27,5909221395013;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"42";"Iran, Islamic Republic of";"BOY";"ASMMAT0";"Percentile";50;90;386,920258446662;7,19035655501634;499,954647198099;4,55882753214992;113,034388751437;5,95604439284209;18,9780970886114;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"43";"Italy";"GIRL";"ASMMAT0";"Percentile";10;50;394,657532306204;5,58162395818032;499,342976676196;4,96808832875711;104,685444369991;5,46190817484655;19,1664599657852;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"44";"Italy";"GIRL";"ASMMAT0";"Percentile";10;90;394,657532306204;5,58162395818032;597,817984395805;8,17383435776382;203,160452089601;8,4540403973503;24,0311664648866;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"45";"Italy";"GIRL";"ASMMAT0";"Percentile";50;90;499,342976676196;4,96808832875711;597,817984395805;8,17383435776382;98,4750077196093;7,3337574187029;13,4276336259055;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"46";"Italy";"BOY";"ASMMAT0";"Percentile";10;50;393,114771600066;5,16633356943049;513,140612315638;3,4306744016025;120,025840715572;4,56959473829765;26,2661893645925;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"47";"Italy";"BOY";"ASMMAT0";"Percentile";10;90;393,114771600066;5,16633356943049;608,590028091418;6,01500256949342;215,475256491352;7,38497151277901;29,1775338765345;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"48";"Italy";"BOY";"ASMMAT0";"Percentile";50;90;513,140612315638;3,4306744016025;608,590028091418;6,01500256949342;95,4494157757803;5,23065160702713;18,2480927706117;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"49";"Japan";"GIRL";"ASMMAT0";"Percentile";10;50;473,734500722133;3,86232821544182;564,354911230055;1,37415750104433;90,6204105079224;3,82446448673099;23,6949279624195;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"50";"Japan";"GIRL";"ASMMAT0";"Percentile";10;90;473,734500722133;3,86232821544182;649,606066340907;3,30551959266514;175,871565618775;4,03194854584685;43,6194965334896;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"51";"Japan";"GIRL";"ASMMAT0";"Percentile";50;90;564,354911230055;1,37415750104433;649,606066340907;3,30551959266514;85,2511551108525;3,08878070909589;27,6002614429064;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"52";"Japan";"BOY";"ASMMAT0";"Percentile";10;50;466,65280427714;3,00526337732299;571,023378901876;2,64082010279434;104,370574624736;3,42554940216021;30,4682730772816;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"53";"Japan";"BOY";"ASMMAT0";"Percentile";10;90;466,65280427714;3,00526337732299;661,16839122543;5,40448289467935;194,51558694829;5,75570227450444;33,7952829509476;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"54";"Japan";"BOY";"ASMMAT0";"Percentile";50;90;571,023378901876;2,64082010279434;661,16839122543;5,40448289467935;90,1450123235541;4,91131846517847;18,3545442965443;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"55";"Latvia";"GIRL";"ASMMAT0";"Percentile";10;50;444,64145068999;8,27949862644168;539,112302038363;2,57838044316207;94,4708513483725;7,21748522121549;13,0891645016022;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"56";"Latvia";"GIRL";"ASMMAT0";"Percentile";10;90;444,64145068999;8,27949862644168;623,960541238308;4,4969107154006;179,319090548318;9,02430074435203;19,8706908854458;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"57";"Latvia";"GIRL";"ASMMAT0";"Percentile";50;90;539,112302038363;2,57838044316207;623,960541238308;4,4969107154006;84,8482391999452;4,61002341463211;18,4051644793471;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"58";"Latvia";"BOY";"ASMMAT0";"Percentile";10;50;433,166130004676;8,15445977539756;541,476228114;3,86925551722903;108,310098109324;7,88955193151794;13,7282952250604;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"59";"Latvia";"BOY";"ASMMAT0";"Percentile";10;90;433,166130004676;8,15445977539756;626,429467352128;4,44153236148914;193,263337347452;8,05737333315701;23,9858983016402;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"60";"Latvia";"BOY";"ASMMAT0";"Percentile";50;90;541,476228114;3,86925551722903;626,429467352128;4,44153236148914;84,9532392381277;4,29074204558331;19,7991951824684;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"61";"Lithuania";"GIRL";"ASMMAT0";"Percentile";10;50;437,239109768147;5,13938622942743;539,802359177329;6,82030576573221;102,563249409182;7,00828619621433;14,6345692138805;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"62";"Lithuania";"GIRL";"ASMMAT0";"Percentile";10;90;437,239109768147;5,13938622942743;624,495947990583;4,05099094937312;187,256838222436;5,32812563143717;35,1449742696715;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"63";"Lithuania";"GIRL";"ASMMAT0";"Percentile";50;90;539,802359177329;6,82030576573221;624,495947990583;4,05099094937312;84,6935888132543;6,04488961825599;14,0107750780881;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"64";"Lithuania";"BOY";"ASMMAT0";"Percentile";10;50;430,453107256665;4,96970224105388;542,079951612716;3,92844147453187;111,626844356051;6,05131713550201;18,446702074356;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"65";"Lithuania";"BOY";"ASMMAT0";"Percentile";10;90;430,453107256665;4,96970224105388;629,178522982115;4,9150353830757;198,725415725449;7,03068726836149;28,265432402281;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"66";"Lithuania";"BOY";"ASMMAT0";"Percentile";50;90;542,079951612716;3,92844147453187;629,178522982115;4,9150353830757;87,0985713693985;4,0253744441153;21,6373836964976;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"67";"Moldova";"GIRL";"ASMMAT0";"Percentile";10;50;392,930588170315;8,51976381135258;516,324005800871;7,81731225561229;123,393417630556;9,70452712027345;12,7150366113953;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"68";"Moldova";"GIRL";"ASMMAT0";"Percentile";10;90;392,930588170315;8,51976381135258;612,773246847521;8,02343333359211;219,842658677206;11,0758076368697;19,848905459985;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
