"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"21";"Australia";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";89,569536;4,51338096934282;89,569536;4,51338096934282;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"22";"Australia";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";89,569536;4,51338096934282;91,801404;3,83856060020629;2,23186799999996;5,55097875617216;0,402067472789071;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"23";"Australia";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";91,801404;3,83856060020629;89,569536;4,51338096934282;-2,23186799999996;5,55097875617216;-0,402067472789071;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"24";"Australia";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";91,801404;3,83856060020629;91,801404;3,83856060020629;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"25";"Austria";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";86,57198;5,10456719015821;86,57198;5,10456719015821;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"26";"Austria";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";86,57198;5,10456719015821;95,959856;6,51008820180311;9,38787600000001;7,05154104301161;1,33132260632643;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"27";"Austria";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";95,959856;6,51008820180311;86,57198;5,10456719015821;-9,38787600000001;7,05154104301161;-1,33132260632643;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"28";"Austria";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";95,959856;6,51008820180311;95,959856;6,51008820180311;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"29";"Austria";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";160,780756;6,334893420212;160,780756;6,334893420212;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"30";"Austria";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";160,780756;6,334893420212;170,863826;6,92711716974646;10,08307;7,24748815821664;1,39125028973915;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"31";"Austria";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";170,863826;6,92711716974646;160,780756;6,334893420212;-10,08307;7,24748815821664;-1,39125028973915;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"32";"Austria";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";170,863826;6,92711716974646;170,863826;6,92711716974646;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"33";"Austria";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";74,208776;4,247508415552;74,208776;4,247508415552;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"34";"Austria";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";74,208776;4,247508415552;74,90397;3,90121812480401;0,695193999999992;5,53357393753853;0,12563200706219;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"35";"Austria";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";74,90397;3,90121812480401;74,208776;4,247508415552;-0,695193999999992;5,53357393753853;-0,12563200706219;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"36";"Austria";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";74,90397;3,90121812480401;74,90397;3,90121812480401;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"37";"Bahrain";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";116,089062;5,46476314138808;116,089062;5,46476314138808;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"38";"Bahrain";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";116,089062;5,46476314138808;145,35883;5,66281206535852;29,269768;7,11836400531634;4,11186727429784;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"39";"Bahrain";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";145,35883;5,66281206535852;116,089062;5,46476314138808;-29,269768;7,11836400531634;-4,11186727429784;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"40";"Bahrain";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";145,35883;5,66281206535852;145,35883;5,66281206535852;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"41";"Bahrain";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";219,106684;5,74334698478472;219,106684;5,74334698478472;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"42";"Bahrain";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";219,106684;5,74334698478472;273,283748;7,05394600264376;54,177064;8,41345532723896;6,43933578925643;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"43";"Bahrain";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";273,283748;7,05394600264376;219,106684;5,74334698478472;-54,177064;8,41345532723896;-6,43933578925643;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"44";"Bahrain";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";273,283748;7,05394600264376;273,283748;7,05394600264376;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"45";"Bahrain";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";103,017622;3,69784026820165;103,017622;3,69784026820165;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"46";"Bahrain";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";103,017622;3,69784026820165;127,924918;5,66657888391081;24,907296;6,85407398147884;3,63394034953588;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"47";"Bahrain";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";127,924918;5,66657888391081;103,017622;3,69784026820165;-24,907296;6,85407398147884;-3,63394034953588;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"48";"Bahrain";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";127,924918;5,66657888391081;127,924918;5,66657888391081;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"49";"Bulgaria";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";117,094012;9,01660031369057;117,094012;9,01660031369057;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"50";"Bulgaria";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";117,094012;9,01660031369057;119,678578;9,54908557920092;2,58456600000001;11,1109983507098;0,232613300661222;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"51";"Bulgaria";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";119,678578;9,54908557920092;117,094012;9,01660031369057;-2,58456600000001;11,1109983507098;-0,232613300661222;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"52";"Bulgaria";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";119,678578;9,54908557920092;119,678578;9,54908557920092;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"53";"Bulgaria";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";210,5726;10,363984821563;210,5726;10,363984821563;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"54";"Bulgaria";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";210,5726;10,363984821563;212,676446;10,0580198464576;2,10384600000001;11,5053449490941;0,182858141959982;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"55";"Bulgaria";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";212,676446;10,0580198464576;210,5726;10,363984821563;-2,10384600000001;11,5053449490941;-0,182858141959982;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"56";"Bulgaria";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";212,676446;10,0580198464576;212,676446;10,0580198464576;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"57";"Bulgaria";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";93,478588;4,61107793592499;93,478588;4,61107793592499;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"58";"Bulgaria";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";93,478588;4,61107793592499;92,997868;4,73729242757756;-0,480719999999997;5,80444147949394;-0,0828193378636506;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"59";"Bulgaria";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";92,997868;4,73729242757756;93,478588;4,61107793592499;0,480719999999997;5,80444147949394;0,0828193378636506;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"60";"Bulgaria";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";92,997868;4,73729242757756;92,997868;4,73729242757756;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"61";"Canada";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";103,725452;5,0171198412768;103,725452;5,0171198412768;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"62";"Canada";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";103,725452;5,0171198412768;105,176592;4,10610660970995;1,45113999999999;6,19592978206403;0,234208593551325;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
